용도,개발위치,소재지,데이터기준일자
생활용수,대구광역시 북구 노원동3가 760번지 4호 (도로명 : 대구광역시 북구 팔달로27길 12-12 (노원동3가)),대구광역시 중구 달구벌대로 1970 204동 1102호 (남산동 남산휴먼시아2단지),2024-07-26
생활용수,대구광역시 북구 구암동 548번지 (도로명 : 대구광역시 북구 학정로48길 8 (구암동)),대구광역시 남구 중앙대로50길 27 (대명동),2024-07-26
생활용수,대구광역시 북구 사수동 800번지 (도로명 : 대구광역시 북구 내곡로 123 (사수동)),대구광역시 북구 사수로 363-36 (사수동),2024-07-26
생활용수,대구광역시 북구 서변동 1282번지 (도로명 : 대구광역시 북구 호국로 141 (서변동)),대구광역시 달서구 상인동 상인신일해피트리아파트 103동 2402호,2024-07-26
생활용수,대구광역시 북구 국우동 756번지 1호 (도로명 : 대구광역시 북구 구리로 161 (국우동)),대구광역시 수성구 지범로40길 11 102동 202호 (범물동서한화성타운),2024-07-26
농업용수,대구광역시 북구 동호동 49번지 ,대구광역시 북구 동호길 60(동호동),2024-07-26
농업용수,대구광역시 북구 매천동 491번지 (도로명 : 대구광역시 북구 매천로17길 17 (매천동)),대구광역시 남구 성당로60길 22 (대명동),2024-07-26
생활용수,대구광역시 북구 노원동3가 760번지 13호 (도로명 : 대구광역시 북구 팔달로27길 12-4 (노원동3가 금성뿌리사)),대구광역시 북구 노원동3가 925번지 10호 7통 2반 ,2024-07-26
공업용수,대구광역시 북구 노원동3가 1136번지 2호 대원열처리 (도로명 : 대구광역시 북구 노원동로11길 7-8 (노원동3가)),대구광역시 수성구 국채보상로186길 14 301호 (범어동),2024-07-26
생활용수,대구광역시 북구 침산동 1026번지 1호 삼주세차장 (도로명 : 대구광역시 북구 노원로 196 (침산동삼주세차장)),   ,2024-07-26
생활용수,대구광역시 북구 칠성동2가 2번지 5호 (도로명 : 대구광역시 북구 옥산로 103 (칠성동2가)),대구광역시 북구 옥산로 103 운동시설동 비101호 (칠성동2가 침산1차푸르지오아파트),2024-07-26
생활용수,대구광역시 북구 복현동 402번지 8호 (도로명 : 대구광역시 북구 대학로 136 (복현동)),대구광역시 북구 공항로15길 8 (복현동 복현2차서한타운),2024-07-26
공업용수,대구광역시 북구 노원동3가 313번지 2호 형제도금 (도로명 : 대구광역시 북구 노원로9길 17-15 (노원동3가형제도금)),대구광역시 달서구 호산로 126 107동 1103호 (호산동성서삼성한국형아파트),2024-07-26
생활용수,대구광역시 북구 복현동 45번지 (도로명 : 대구광역시 북구 복현로20길 52 (복현동)),대구광역시 북구 복현로20길 52(복현동),2024-07-26
생활용수,대구광역시 북구 복현동 470번지 1호 (도로명 : 대구광역시 북구 경대로 125 (복현동)),대구광역시 북구 경대로 125(복현동),2024-07-26
생활용수,대구광역시 북구 침산동 105번지 44호 오페라주유소 (도로명 : 대구광역시 북구 중앙대로 580 (침산동 오페라주유소)),부산광역시 금정구 금사로97번길 9 (금사동),2024-07-26
공업용수,대구광역시 북구 복현동 375번지 9호 현대오일뱅크(주)직영 중앙셀프주유소 (도로명 : 대구광역시 북구 동북로 315 현대오일뱅크(주)직영 중앙셀프주유소 (복현동)),충청남도 서산시 대산읍 평신2로 182,2024-07-26
농업용수,대구광역시 북구 금호동 30번지 ,대구광역시 북구 문주길 45 (금호동),2024-07-26
공업용수,대구광역시 북구 노원동3가 1200번지 8호 (도로명 : 대구광역시 북구 오봉로 165-20 (노원동3가)),대구광역시 북구 침산남로 80 102동 1506호 (침산동침산태왕리더스),2024-07-26
생활용수,대구광역시 북구 산격동 502번지 25호 (도로명 : 대구광역시 북구 대불로5길 17 (산격동)),대구광역시 북구 대불로5길 17 (산격동),2024-07-26
공업용수,대구광역시 북구 매천동 215번지 1호 (도로명 : 대구광역시 북구 매천로 145 (매천동)),대구광역시 수성구 들안로 325 1동 701호 (수성동2가 롬바드아파트),2024-07-26
농업용수,대구광역시 북구 서변동 40번지 9호 ,대구광역시 북구 이곡길 37 (서변동),2024-07-26
공업용수,대구광역시 북구 산격동 1420번지 (도로명 : 대구광역시 북구 대학로 45 (산격동)),대구광역시 북구 대학로 45 (산격동 금강오일뱅크),2024-07-26
농업용수,대구광역시 북구 동변동 73번지 1호 ,대구광역시 북구 화담길 117 (동변동),2024-07-26
농업용수,대구광역시 북구 구암동 453번지 (도로명 : 대구광역시 북구 구암로42길 3-4 (구암동)),대구광역시 북구 구암로42길 3-4 (구암동),2024-07-26
생활용수,대구광역시 북구 금호동 56번지 ,대구광역시 북구 문주길 146-35 (금호동),2024-07-26
생활용수,대구광역시 북구 노원동3가 722번지 4호 (도로명 : 대구광역시 북구 노원로 3(노원동3가)),대구광역시 북구 노원로 3 (노원동3가),2024-07-26
생활용수,대구광역시 북구 동변동 679번지 (도로명 : 대구광역시 북구 동변로 55 (동변동)),대구광역시 북구 동변로 55 (동변동동서변그린빌아파트),2024-07-26
공업용수,대구광역시 북구 침산동 561번지 (도로명 : 대구광역시 북구 침산로 205 (침산동)),대구광역시 북구 침산로 205 (침산동 무림에스피(주)),2024-07-26
공업용수,대구광역시 북구 침산동 550번지 (도로명 : 대구광역시 북구 침산로 205 (침산동)),대구광역시 북구 침산로 205 (침산동),2024-07-26
생활용수,대구광역시 북구 산격동 1421번지 8호 용천사우나 (도로명 : 대구광역시 북구 산격로 18 (산격동)),대구광역시 북구 산격로 18 (산격동),2024-07-26
농업용수,대구광역시 북구 금호동 82번지 ,대구광역시 북구 옥산로 65 (침산동),2024-07-26
생활용수,대구광역시 북구 산격동 1674번지 (2호공) (도로명 : 대구광역시 북구 유통단지로 80 (산격동)),서울특별시 중구 남대문로 84 (을지로2가),2024-07-26
농업용수,대구광역시 북구 팔달동 421번지 ,   ,2024-07-26
농업용수,대구광역시 북구 금호동 132번지 ,대구광역시 북구 옥산로 65 (침산동),2024-07-26
생활용수,대구광역시 북구 산격동 561번지 2호 SK네트웍스(주)신흥주유소 (도로명 : 대구광역시 북구 동북로 65-2 (산격동 SK네트웍스(주)신흥주유소)),대구광역시 수성구 교학로11길 46 107동 1001호 (만촌동만촌우방1차타운),2024-07-26
생활용수,대구광역시 북구 서변동 890번지 (도로명 : 대구광역시 북구 환성정길 37 (서변동)),대구광역시 북구 환성정길 35 (서변동),2024-07-26
생활용수,대구광역시 북구 팔달동 442번지 2호 (도로명 : 대구광역시 북구 사수로 531 (팔달동)),대구광역시 북구 사수로 531 (팔달동),2024-07-26
생활용수,대구광역시 북구 칠성동1가 244번지 2호 (도로명 : 대구광역시 북구 공평로 152 (칠성동1가)),대구광역시 북구 대현로10길 82102동 1403호 (대현동대현e-편한세상),2024-07-26
생활용수,대구광역시 북구 태전동 138번지 (도로명 : 대구광역시 북구 매천로 282 (태전동)),대구광역시 달서구 대명천로47길 22 805호 (본리동 본리드림뷰),2024-07-26
생활용수,대구광역시 북구 태전동 135번지 3호 (도로명 : 대구광역시 북구 매천로 307 (태전동)),대구광역시 북구 매천로 307 (태전동),2024-07-26
생활용수,대구광역시 북구 노원동3가 885번지 대우카서비스 (도로명 : 대구광역시 북구 노원로 36 (노원동3가대우카서비스)),   ,2024-07-26
생활용수,대구광역시 북구 매천동 209번지 2호 (도로명 : 대구광역시 북구 매천로 149 (매천동)),경상북도 구미시 산동면 강동로 1029,2024-07-26
공업용수,대구광역시 북구 노원동3가 62번지 8호 (도로명 : 대구광역시 북구 노원로17길 60 (노원동3가)),대구광역시 북구 노원로17길 60 (노원동3가),2024-07-26
생활용수,대구광역시 북구 검단동 986번지 1호 성광고등학교 ,   ,2024-07-26
생활용수,대구광역시 북구 침산동 847번지 1호 (도로명 : 대구광역시 북구 노원로 215 (침산동)),대구광역시 수성구 동대구로52길 55101동 1106호 (범어동범어동일하이빌),2024-07-26
생활용수,대구광역시 북구 산격동 500번지 1호 산격대우아파트 ,대구광역시 북구 산격동 500번지 1호 20통 4반 산격대우아파트 107동 1004호,2024-07-26
생활용수,대구광역시 북구 읍내동 378번지 (도로명 : 대구광역시 북구 칠곡중앙대로 736 (읍내동)),대구광역시 달서구 상인동 상인화성파크드림1단지아파트 1101동 2107호,2024-07-26
생활용수,대구광역시 북구 동호동 456번지 1호 (도로명 : 대구광역시 북구 호국로 896 (동호동)),대구광역시 북구 동북로65길 13 5동 206호 (복현동광명아파트),2024-07-26
농업용수,대구광역시 북구 서변동 92번지 ,대구광역시 북구 옥산로 65(침산동),2024-07-26
농업용수,대구광역시 북구 서변동 608번지 (도로명 : 대구광역시 북구 도곡길 75-33 (서변동)),   ,2024-07-26
농업용수,대구광역시 북구 산격동 932번지 성북두채 (도로명 : 대구광역시 북구 연암로 98-9 (산격동성북두채)),   ,2024-07-26
생활용수,대구광역시 북구 침산동 3번지 4호 (도로명 : 대구광역시 북구 중앙대로 619 (침산동)),대구광역시 북구 중앙대로 619 (침산동),2024-07-26
생활용수,대구광역시 북구 검단동 1121번지 1호 약천사우나 (도로명 : 대구광역시 북구 검단북로 188-38 (검단동 약천사우나)),   ,2024-07-26
생활용수,대구광역시 북구 구암동 695번지 1호 칠곡동서영남타운 (도로명 : 대구광역시 북구 구암로 180 (구암동칠곡동서영남타운)),대구광역시 북구 구암로 180 (구암동칠곡동서영남타운),2024-07-26
생활용수,대구광역시 북구 태전동 204번지 1호 한일목욕탕 (도로명 : 대구광역시 북구 태전로1길 20 (태전동한일목욕탕)),대구광역시 북구 태전로1길 20 (태전동),2024-07-26
농업용수,대구광역시 북구 동호동 239번지 2호 ,대구광역시 북구 동호길 84 (동호동),2024-07-26
농업용수,대구광역시 북구 연경동 296번지 5호 ,대구광역시 북구 도덕길 169 (연경동),2024-07-26
농업용수,대구광역시 북구 서변동 84번지 1호 ,대구광역시 북구 대현로21길 52 (대현동),2024-07-26
생활용수,대구광역시 북구 읍내동 597번지 ,   ,2024-07-26
생활용수,대구광역시 북구 구암동 816번지 3호 (도로명 : 대구광역시 북구 구암로60길 6 (구암동)),대구광역시 북구 구암로60길 6 (구암동),2024-07-26
생활용수,대구광역시 북구 금호동 451번지 3호 (도로명 : 대구광역시 북구 사수로 436 (금호동)),대구광역시 북구 사수로 436 (금호동),2024-07-26
생활용수,대구광역시 북구 읍내동 1431번지 미림목욕탕 (도로명 : 대구광역시 북구 대천로9길 16 (읍내동 미림목욕탕)),대구광역시 서구 고성로 132-4 (원대동1가),2024-07-26
농업용수,대구광역시 북구 도남동 46번지 1호 (도로명 : 대구광역시 북구 도남길 271-16 (도남동)),대구광역시 북구 동천로24길 12 206동 1205호 (동천동 부영그린타운),2024-07-26
생활용수,대구광역시 북구 노원동3가 764번지 4호 (도로명 : 대구광역시 북구 팔달로33길 17-27 (노원동3가)),대구광역시 북구 옥산로 65 (침산동),2024-07-26
공업용수,대구광역시 북구 노원동3가 58번지 49호 (도로명 : 대구광역시 북구 노원로25길 65 (노원동3가)),대구광역시 북구 노원로25길 65 (노원동3가),2024-07-26
생활용수,대구광역시 북구 노원동2가 77번지 (도로명 : 대구광역시 북구 노원로10길 161 (노원동2가)),대구광역시 북구 침산로21길 10 201동 604호 (침산동 대한동아침산2차무지개아파트),2024-07-26
농업용수,대구광역시 북구 복현동 299번지 2호 ,대구광역시 북구 동북로55길 5-14 (복현동),2024-07-26
농업용수,대구광역시 북구 연경동 151번지 ,대구광역시 남구 성당로 266 (대명동),2024-07-26
농업용수,대구광역시 북구 연경동 367번지 ,대구광역시 남구 성당로 266 (대명동),2024-07-26
생활용수,대구광역시 북구 복현동 539번지 106호 복현보성타운 (도로명 : 대구광역시 북구 검단로 64 (복현동복현보성타운)),대구광역시 북구 검단로 64 103동 1105호 (복현동복현보성타운),2024-07-26
생활용수,대구광역시 북구 노원동3가 733번지 (도로명 : 대구광역시 북구 노원로 8 (노원동3가)),대구광역시 달서구 송현로7길 9 2109동 1501호 (상인동 상인화성파크드림2단지아파트),2024-07-26
농업용수,대구광역시 북구 도남동 823번지 1호 ,   ,2024-07-26
생활용수,대구광역시 북구 노원동3가 876번지 6호 (도로명 : 대구광역시 북구 팔달로33길 59 (노원동3가)),대구광역시 북구 옥산로 65 (침산동),2024-07-26
농업용수,대구광역시 북구 도남동 514번지 ,대구광역시 북구 도남길 193-94 (도남동),2024-07-26
농업용수,대구광역시 북구 국우동 723번지 ,경상북도 칠곡군 지천면 송정리 248번지 ,2024-07-26
생활용수,대구광역시 북구 서변동 140번지 7호 (도로명 : 대구광역시 북구 호국로 303 (서변동)),대구광역시 동구 팔공로101길 55 207동 1009호 (지묘동팔공보성아파트),2024-07-26
농업용수,대구광역시 북구 태전동 571번지 (도로명 : 대구광역시 북구 학정로 102 (태전동)),경상북도 칠곡군 동명면 기성2길 19-14,2024-07-26
농업용수,대구광역시 북구 금호동 498번지 ,대구광역시 서구 서대구로54길 10-4 (비산동),2024-07-26
생활용수,대구광역시 북구 산격동 1203번지 33호 (도로명 : 대구광역시 북구 동북로 128 (산격동)),   ,2024-07-26
농업용수,대구광역시 북구 학정동 848번지 ,대구광역시 북구 칠곡중앙대로136길 47 (동호동 경상북도농업기술원),2024-07-26
생활용수,대구광역시 북구 산격동 758번지 (도로명 : 대구광역시 북구 동북로 15 (산격동)),대구광역시 동구 아양로6길 26 (신암동),2024-07-26
농업용수,대구광역시 북구 금호동 496번지 ,대구광역시 서구 북비산로 275 (평리동),2024-07-26
생활용수,대구광역시 북구 산격동 285번지 4호 (도로명 : 대구광역시 북구 유통단지로8길 46 (산격동)),대구광역시 북구 유통단지로8길 46 (산격동),2024-07-26
공업용수,대구광역시 북구 침산동 871번지 1호 (도로명 : 대구광역시 북구 침산로67길 43 (침산동)),대구광역시 북구 침산로67길 43 (침산동),2024-07-26
생활용수,대구광역시 북구 대현동 274번지 1호 (도로명 : 대구광역시 북구 신암로 111 (대현동)),대구광역시 북구 신암로 111 (대현동),2024-07-26
생활용수,대구광역시 북구 구암동 694번지 구암근린공원 ,대구광역시 남구 이천동 439번지 ,2024-07-26
생활용수,대구광역시 북구 검단동 1313번지 (도로명 : 대구광역시 북구 검단로46길 12 (검단동)),대구광역시 동구 신암동 뜨란채@ 108동 1105호,2024-07-26
농업용수,대구광역시 북구 연경동 212번지 1호 (도로명 : 대구광역시 북구 도덕길 226-12 (연경동)),대구광역시 북구 연경동 230번지 7통 5반 ,2024-07-26
농업용수,대구광역시 북구 도남동 557번지 6호 (도로명 : 대구광역시 북구 도남길 148-11 (도남동)),대구광역시 북구 도남길 148-13 (도남동),2024-07-26
농업용수,대구광역시 북구 연경동 552번지 ,대구광역시 수성구 명덕로 455 105동 2603호 (수성동3가롯데캐슬아파트),2024-07-26
생활용수,대구광역시 북구 팔달동 193번지 6호 (주)세종종합수산 (도로명 : 대구광역시 북구 매천로2길 24 (팔달동 (주)세종종합수산)),대구광역시 서구 와룡로 367 (중리동),2024-07-26
생활용수,대구광역시 북구 침산동 368번지 1호 침산동서타운 (도로명 : 대구광역시 북구 침산남로 116 (침산동 침산동서타운)),대구광역시 북구 침산남로 116 101동 512호 (침산동침산동서타운),2024-07-26
농업용수,대구광역시 북구 도남동 17번지 ,대구광역시 북구 동천로24길 12 206동 1205호 (동천동 부영그린타운),2024-07-26
생활용수,대구광역시 북구 산격동 507번지 1호 ,대구광역시 북구 산격동 507번지 1호 ,2024-07-26
농업용수,대구광역시 북구 서변동 1603번지 11호 임업시험장 ,   ,2024-07-26
생활용수,대구광역시 북구 읍내동 918번지 ,경상북도 칠곡군 석적읍 소학로 46,2024-07-26
생활용수,대구광역시 북구 산격동 277번지 7호 (도로명 : 대구광역시 북구 유통단지로8길 62 (산격동)),대구광역시 달서구 와룡로 169 101동 1201호 (감삼동 월드마크웨스트엔드),2024-07-26
공업용수,대구광역시 북구 산격동 344번지 4호 (도로명 : 대구광역시 북구 유통단지로3길 40 (산격동)),대구광역시 북구 유통단지로3길 40 (산격동),2024-07-26
생활용수,대구광역시 북구 읍내동 산 80번지 1호 ,경상북도 칠곡군 가산면 가산로 1097-13,2024-07-26
생활용수,대구광역시 북구 매천동 207번지 1호 ,서울특별시 영등포구 63로 50 (여의도동육삼빌딩),2024-07-26
생활용수,대구광역시 북구 사수동 829번지 ,대구광역시 북구 내곡로 38-8(사수동),2024-07-26
생활용수,대구광역시 북구 구암동 805번지 4호 (도로명 : 대구광역시 북구 구암로 340 (구암동)),대구광역시 북구 구암로 340 (구암동),2024-07-26
농업용수,대구광역시 북구 서변동 23번지 3호 ,대구광역시 북구 서변로 106 103동 1205호 (서변동 동서변리벤빌),2024-07-26
농업용수,대구광역시 북구 관음동 1345번지 19호 (도로명 : 대구광역시 북구 관음동로13길 10 (관음동)),대구광역시 북구 관음동로13길 10 (관음동),2024-07-26
생활용수,대구광역시 북구 칠성동2가 302번지 207호 뉴그랜드호텔 (도로명 : 대구광역시 북구 칠성남로38길 46 (칠성동2가 뉴그랜드호텔)),   ,2024-07-26
농업용수,대구광역시 북구 서변동 70번지 1호 ,대구광역시 북구 서변동 70번지 1호 1통 1반 ,2024-07-26
생활용수,대구광역시 북구 복현동 573번지 12호공 ,대구광역시 북구 대학로 80 경북대학교 (산격동),2024-07-26
농업용수,대구광역시 북구 국우동 산 288번지 ,   ,2024-07-26
농업용수,대구광역시 북구 금호동 152번지 5호 ,대구광역시 북구 영송로 63 104동 1508호 (태전동),2024-07-26
생활용수,대구광역시 북구 칠성동1가 58번지 2호 중앙튀김 (도로명 : 대구광역시 북구 칠성시장로3길 10-11 (칠성동1가 중앙튀김)),대구광역시 달성군 옥포면 본리로 102 102동 1002호 (세광무지개마을아파트),2024-07-26
생활용수,대구광역시 북구 노원동3가 58번지 2호 동양고무공업사 (도로명 : 대구광역시 북구 3공단로 177-2 (노원동3가 동양고무공업사)),대구광역시 북구 칠곡중앙대로52길 20 4동 1303호 (태전동삼성아파트),2024-07-26
농업용수,대구광역시 북구 노곡동 488번지 1호 (도로명 : 대구광역시 북구 부엉길 51 (노곡동)),대구광역시 북구 부엉길 51 (노곡동),2024-07-26
농업용수,대구광역시 북구 국우동 414번지 ,   ,2024-07-26
생활용수,대구광역시 북구 노원동3가 750번지 10호 (도로명 : 대구광역시 북구 팔달로33길 45 (노원동3가)),대구광역시 서구 서대구로62길 33-3 2층 (비산동),2024-07-26
생활용수,대구광역시 북구 칠성동1가 67번지 5호 칠성김밥 (도로명 : 대구광역시 북구 칠성시장로5길 21 (칠성동1가 칠성김밥)),   ,2024-07-26
농업용수,대구광역시 북구 국우동 721번지 ,   ,2024-07-26
농업용수,대구광역시 북구 태전동 75번지 1호 ,대구광역시 북구 칠곡중앙대로99길 39-10 (관음동),2024-07-26
생활용수,대구광역시 북구 산격동 1370번지 1호 (도로명 : 대구광역시 북구 대학로 80 (산격동)),   ,2024-07-26
생활용수,대구광역시 북구 칠성동1가 159번지 3호 영덕민물상회 (도로명 : 대구광역시 북구 칠성시장로 20 (칠성동1가 영덕민물상회)),서울특별시 동작구 노량진로23가길 23 104동 2401호 (본동 래미안 트윈파크),2024-07-26
생활용수,대구광역시 북구 칠성동1가 54번지 6호 (도로명 : 대구광역시 북구 칠성시장로3길 9-10 (칠성동1가)),   ,2024-07-26
지열냉난방시설,대구광역시 북구 복현동 573번지 10호공 ,대구광역시 북구 대학로 80 경북대학교 (산격동),2024-07-26
생활용수,대구광역시 북구 국우동 342번지 ,대구광역시 달성군 가창면 가창로 605,2024-07-26
생활용수,대구광역시 북구 서변동 358번지 ,   ,2024-07-26
생활용수,대구광역시 북구 산격동 1238번지 1호 (도로명 : 대구광역시 북구 동북로 156 (산격동)),   ,2024-07-26
농업용수,대구광역시 북구 서변동 884번지 (도로명 : 대구광역시 북구 환성정길 42 (서변동)),   ,2024-07-26
생활용수,대구광역시 북구 산격동 620번지 35호 ,   ,2024-07-26
농업용수,대구광역시 북구 서변동 634번지 ,대구광역시 북구 도곡길 75-25 (서변동),2024-07-26
농업용수,대구광역시 북구 도남동 13번지 2호 ,대구광역시 북구 학정로110길 29 103동 901호 (학정동 학정청아람),2024-07-26
생활용수,대구광역시 북구 대현동 500번지 75호 대현목욕탕 (도로명 : 대구광역시 북구 대현남로2길 22 (대현동대현목욕탕)),대구광역시 북구 대현남로2길 22 (대현동),2024-07-26
생활용수,대구광역시 북구 금호동 173번지 (도로명 : 대구광역시 북구 문주길 14-11 (금호동)),   ,2024-07-26
민방위비상급수시설,대구광역시 북구 매천동 380번지 1호 (도로명 : 대구광역시 북구 매천로동17길 49-9 (매천동)),대구광역시 북구 옥산로 65 (침산동),2024-07-26
지열냉난방시설,대구광역시 북구 복현동 573번지 13호공 ,대구광역시 북구 대학로 80 (산격동),2024-07-26
농업용수,대구광역시 북구 사수동 산 36번지 5호 ,대구광역시 달성군 다사읍 다사로 622,2024-07-26
지열냉난방시설,대구광역시 북구 복현동 573번지 1호공 ,대구광역시 북구 대학로 80 (산격동),2024-07-26
지열냉난방시설,대구광역시 북구 복현동 573번지 10호공 ,대구광역시 북구 대학로 80 (산격동),2024-07-26
생활용수,대구광역시 북구 동변동 37번지 1호 (도로명 : 대구광역시 북구 화담길 253 (동변동)),   ,2024-07-26
생활용수,대구광역시 북구 칠성동2가 411번지 (도로명 : 대구광역시 북구 칠성로17길 18 (칠성동2가)),대구광역시 북구 칠성로17길 18 (칠성동2가경명여자고등학교),2024-07-26
농업용수,대구광역시 북구 동호동 59번지 1호 ,대구광역시 북구 동호동 2번지 ,2024-07-26
생활용수,대구광역시 북구 칠성동1가 74번지 14호 (도로명 : 대구광역시 북구 칠성시장로3길 26-15 (칠성동1가)),   ,2024-07-26
농업용수,대구광역시 북구 동호동 293번지 1호 ,대구광역시 북구 옥산로 65 (침산동),2024-07-26
지열냉난방시설,대구광역시 북구 복현동 573번지 ,대구광역시 북구 대학로 80 (산격동),2024-07-26
생활용수,대구광역시 북구 태전동 405번지 9호 (도로명 : 대구광역시 북구 칠곡중앙대로 329 (태전동)),   ,2024-07-26
생활용수,대구광역시 북구 칠성동1가 80번지 1호 (도로명 : 대구광역시 북구 칠성시장로5길 27 (칠성동1가)),   ,2024-07-26
생활용수,대구광역시 북구 팔달동 238번지 10호 (도로명 : 대구광역시 북구 장태실2길 17-26 (팔달동)),대구광역시 북구 장태실2길 17-26 (팔달동),2024-07-26
생활용수,대구광역시 북구 연경동 570번지 55호 ,경상북도 칠곡군 동명면 경북대로 286-21 1층,2024-07-26
생활용수,대구광역시 북구 고성동2가 111번지 51호 (도로명 : 대구광역시 북구 고성로28길 3 (고성동2가)),   ,2024-07-26
지열냉난방시설,대구광역시 북구 복현동 573번지 2호공 ,대구광역시 북구 대학로 80 (산격동),2024-07-26
지열냉난방시설,대구광역시 북구 복현동 573번지 17호공 ,대구광역시 북구 대학로 80 경북대학교 (산격동),2024-07-26
농업용수,대구광역시 북구 서변동 293번지 ,   ,2024-07-26
농업용수,대구광역시 북구 동변동 146번지 1호 (도로명 : 대구광역시 북구 동변로24길 90-6 (동변동)),대구광역시 북구 동변로20길 21 401호 (동변동동변아트빌),2024-07-26
공업용수,대구광역시 북구 침산동 561번지 (도로명 : 대구광역시 북구 침산로 205 (침산동)),대구광역시 북구 침산로 205 (침산동 무림에스피(주)),2024-07-26
농업용수,대구광역시 북구 국우동 502번지 ,대구광역시 북구 옥산로 65 (침산동),2024-07-26
농업용수,대구광역시 북구 도남동 13번지 2호 ,대구광역시 북구 학정로110길 29 103동 901호 (학정동 학정청아람),2024-07-26
생활용수,대구광역시 북구 읍내동 1234번지 61호 (도로명 : 대구광역시 북구 동암로7길 1 (읍내동)),   ,2024-07-26
농업용수,대구광역시 북구 동호동 293번지 (도로명 : 대구광역시 북구 동호길 83-5 (동호동)),대구광역시 북구 동호길 71 (동호동),2024-07-26
농업용수,대구광역시 북구 구암동 46번지 ,대구광역시 북구 구암로49길 10 708동 304호 (구암동부영7단지아파트),2024-07-26
농업용수,대구광역시 북구 복현동 309번지 ,대구광역시 동구 신암남로23길 49-5 301호 (신암동 해성칸타빌),2024-07-26
생활용수,대구광역시 북구 칠성동1가 77번지 3호 (도로명 : 대구광역시 북구 칠성시장로1길 48 (칠성동1가)),대구광역시 북구 칠성시장로1길 48 (칠성동1가),2024-07-26
생활용수,대구광역시 북구 연경동 1050번지 ,대구광역시 달서구 도원동 1445번지 ,2024-07-26
생활용수,대구광역시 북구 구암동 786번지 (도로명 : 대구광역시 북구 구암서로 41 (구암동)),대구광역시 북구 구암서로 41 (구암동),2024-07-26
농업용수,대구광역시 북구 연경동 570번지 31호 ,대구광역시 북구 침산로21길 10 206동 1604호 (침산동 대한동아침산2차무지개아파트),2024-07-26
지열냉난방시설,대구광역시 북구 복현동 573번지 5호공 ,대구광역시 북구 대학로 80 경북대학교 (산격동),2024-07-26
농업용수,대구광역시 북구 동변동 34번지 (도로명 : 대구광역시 북구 화담길 262 (동변동)),   ,2024-07-26
지열냉난방시설,대구광역시 북구 복현동 573번지 ,대구광역시 북구 대학로 80 (산격동),2024-07-26
지열냉난방시설,대구광역시 북구 대현동 25번지 10호공 ,대구광역시 북구 대학로 80 경북대학교 (산격동),2024-07-26
생활용수,대구광역시 북구 칠성동1가 72번지 5호 (도로명 : 대구광역시 북구 칠성시장로3길 24 (칠성동1가)),대구광역시 북구 칠성시장로3길 26-4 (칠성동1가),2024-07-26
생활용수,대구광역시 북구 노원동2가 381번지 아이미즈 (도로명 : 대구광역시 북구 팔달로 183 (노원동2가아이미즈)),경상북도 안동시 서동문로 217 (동문동),2024-07-26
농업용수,대구광역시 북구 관음동 103번지 ,대구광역시 북구 양지마을길 58 (관음동),2024-07-26
농업용수,대구광역시 북구 연경동 130번지 1호 (도로명 : 대구광역시 북구 도덕길 324 (연경동)),대구광역시 북구 도덕길 324 (연경동),2024-07-26
농업용수,대구광역시 북구 국우동 504번지 1호 (도로명 : 대구광역시 북구 호국로 589-29 (국우동)),   ,2024-07-26
생활용수,대구광역시 북구 칠성동1가 18번지 71호 (도로명 : 대구광역시 북구 칠성시장로5길 46 (칠성동1가)),대구광역시 북구 칠성시장로5길 29-6 (칠성동1가),2024-07-26
생활용수,대구광역시 북구 칠성동1가 98번지 2호 (도로명 : 대구광역시 북구 칠성시장로5길 5 (칠성동1가)),대구광역시 동구 율하서로 59 511동 1001호 (율하동 율하휴먼시아5단지),2024-07-26
생활용수,대구광역시 북구 복현동 540번지 1호 (도로명 : 대구광역시 북구 복현로 140 (복현동)),   ,2024-07-26
농업용수,대구광역시 북구 관음동 1093번지 ,대구광역시 북구 옥산로 65 (침산동),2024-07-26
지열냉난방시설,대구광역시 북구 복현동 573번지 7호공 ,대구광역시 북구 대학로 80 (산격동),2024-07-26
공업용수,대구광역시 북구 침산동 821번지 (도로명 : 대구광역시 북구 노원로 245(침산동)),경상남도 합천군 가야면 황산1길 51-76,2024-07-26
농업용수,대구광역시 북구 동호동 336번지 ,대구광역시 북구 칠곡중앙대로95길 11 105동 405호 (관음동 동화훼밀리타운),2024-07-26
생활용수,대구광역시 북구 고성동2가 11번지 4호 (도로명 : 대구광역시 북구 고성로34길 85 (고성동2가)),대구광역시 북구 고성로34길 85 (고성동2가),2024-07-26
지열냉난방시설,대구광역시 북구 복현동 573번지 ,대구광역시 북구 대학로 80 (산격동),2024-07-26
지열냉난방시설,대구광역시 북구 복현동 573번지 18호공 ,대구광역시 북구 대학로 80 경북대학교 (산격동),2024-07-26
농업용수,대구광역시 북구 국우동 181번지 ,대구광역시 북구 노원로10길 40 103동 2502호 (노원동3가 대구노원한신더휴),2024-07-26
농업용수,대구광역시 북구 관음동 840번지 ,대구광역시 북구 관음로 50 103동 204호 (관음동한신아파트),2024-07-26
지열냉난방시설,대구광역시 북구 대현동 25번지 9호공 ,대구광역시 북구 대학로 80 경북대학교 (산격동),2024-07-26
지열냉난방시설,대구광역시 북구 복현동 573번지 ,대구광역시 북구 대학로 80 (산격동),2024-07-26
