순번,의료기관명,의료기관종별,수술실 유무,수술실 수,데이터 기준일자
540,김명효치과의원,치과의원,무,0,2024-05-31
541,녹십자연합의원,의원,무,0,2024-05-31
542,서춘교치과의원,치과의원,무,0,2024-05-31
543,대구광역시북구보건소,보건소,무,0,2024-05-31
544,최근배치과의원,치과의원,무,0,2024-05-31
545,인재의원,의원,무,0,2024-05-31
546,킴스건강내과외과의원,의원,무,0,2024-05-31
547,김가정의학과-외과의원,의원,무,0,2024-05-31
548,우리내과의원,의원,무,0,2024-05-31
549,우리아이아동병원,병원,무,0,2024-05-31
550,엔케이라피움한방병원,한방병원,무,0,2024-05-31
551,센트럴요양병원,요양병원(일반요양병원),무,0,2024-05-31
552,새로본한방병원,한방병원,무,0,2024-05-31
553,수월한방병원,한방병원,무,0,2024-05-31
554,미래병원,병원,무,0,2024-05-31
555,의료법인 대구의료재단 케이병원,병원,무,0,2024-05-31
556,경대자연병원,병원,무,0,2024-05-31
557,대구서울병원,병원,유,2,2024-05-31
558,새결요양병원,요양병원(일반요양병원),무,0,2024-05-31
559,의료법인 효민의료재단 큰사랑병원,병원,무,0,2024-05-31
560,프라임요양병원,요양병원(일반요양병원),무,0,2024-05-31
561,침산요양병원,요양병원(일반요양병원),무,0,2024-05-31
562,침산제이병원,병원,무,0,2024-05-31
563,해피아이병원,병원,무,0,2024-05-31
564,칠성요양병원,요양병원(일반요양병원),무,0,2024-05-31
565,문요양병원,요양병원(일반요양병원),무,0,2024-05-31
566,척척병원,병원,유,3,2024-05-31
567,아리채요양병원,요양병원(일반요양병원),무,0,2024-05-31
568,무지개아동병원,병원,무,0,2024-05-31
569,한솔요양병원,요양병원(일반요양병원),무,0,2024-05-31
570,햇살요양병원,요양병원(일반요양병원),무,0,2024-05-31
571,근로복지공단 대구병원,병원,유,1,2024-05-31
572,늘시원한위대항병원,병원,유,1,2024-05-31
573,뉴라이프병원,병원,무,0,2024-05-31
574,칠곡경북대학교병원,종합병원,유,34,2024-05-31
575,대구보건대학교병원,병원,무,0,2024-05-31
576,첨단요양병원,요양병원(일반요양병원),무,0,2024-05-31
577,의료법인강의료재단 강병원,병원,무,0,2024-05-31
578,의료법인 백산의료재단 K마디병원,병원,유,4,2024-05-31
579,의료법인 효민의료재단 대구큰사랑요양병원,요양병원(일반요양병원),무,0,2024-05-31
580,로즈마리병원,병원,유,2,2024-05-31
581,강북요양병원,요양병원(일반요양병원),무,0,2024-05-31
582,대구시티병원,병원,유,4,2024-05-31
583,대구병원,병원,무,0,2024-05-31
584,대구가톨릭대학교 칠곡가톨릭병원,종합병원,유,1,2024-05-31
585,M병원,정신병원,유,1,2024-05-31
586,한성병원,병원,유,1,2024-05-31
587,대구삼선병원,병원,유,1,2024-05-31
588,성동병원,정신병원,무,0,2024-05-31
589,의료법인배성의료재단 배성병원,정신병원,무,0,2024-05-31
590,신세계병원,병원,유,1,2024-05-31
