순번,행정구역,업소명,소재지,전화번호,관리구분
344,경기 양주시,유양엘피지충전소,경기도 양주시 부흥로 1320,031-842-5030,자동차충전
345,경기 양주시,KH에너지(주)직영양주충전소(일산방향),경기도 양주시 장흥면 수도권제1순환고속도로 58 ,031-871-2997,자동차충전
346,경기 양주시,양주에너지덕정LPG충전소,경기도 양주시 화합로 1277 (회정동) ,031-859-6531,자동차충전
347,경기 양주시,유양에너지,경기도 양주시 부흥로 1213,031-856-7701,자동차충전
348,경기 양주시,사과나무충전소,경기도 양주시 부흥로 1881,031-842-5155,자동차충전
349,경기 양주시,모정가스충전소,경기도 양주시 화합로 1547 (회암동) ,031-865-5151,자동차충전
350,경기 양주시,(주)에이치디에너지,경기도 양주시 장흥면 일영로 748 ,,자동차+탱크
351,경기 양주시,옥정LPG충전소,경기도 양주시 화합로 1677 (율정동) ,031-863-5149,자동차충전
352,경기 양주시,에이스산업사,경기도 양주시 백석읍 호명로 135-5 ,031-879-0661,기타
353,경기 양주시,에이치에너지산업(주),경기도 양주시 동일로 955 (마전동) ,031-845-7905,자동차충전
354,경기 양주시,(주)한국가스산업 양주충전소,경기도 양주시 광적면 부흥로 133 ,031-878-5643,용기+탱크+13kg용기
355,경기 양주시,송추LPG충전소,경기도 양주시 장흥면 호국로 682,031-855-0531,자동차충전
356,경기 양주시,모정제2충전소,경기도 양주시 은현면 화합로 959 ,031-866-9797,자동차충전
357,경기 양평군,천운봉주유소,경기도 양평군 옥천면 경강로 1564,031-774-1245,자동차충전
358,경기 양평군,용문가스충전소,경기도 양평군 용문면 경강로 3301,031-774-0173,자동차충전
359,경기 양평군,백안충전소,경기도 양평군 양평읍 경강로 2244,077-414-1422,자동차충전
360,경기 양평군,양평가스충전소,경기도 양평군 양평읍 경강로 2004,077-461-6122,자동차충전
361,경기 양평군,양평충전소,경기도 양평군 양평읍 경강로 1683,031-771-4478,자동차충전
362,경기 양평군,(주)삼호에너지강변충전소,경기도 양평군 옥천면 경강로 1574 강변LPG충전소,077-347-4789,자동차충전
363,경기 여주시,(주)한국가스산업 대성충전소,경기도 여주시 신륵로 19 (천송동) ,031-883-7701,용기+자동차+탱크+13kg용기
364,경기 여주시,(주)원일석유 한중충전소,경기도 여주시 향교로 9 (창동),031-885-1885,자동차충전
365,경기 여주시,성신충전소,경기도 여주시 가남읍 경충대로 1402,031-884-2024,자동차충전
366,경기 여주시,주식회사 여주에너지,경기도 여주시 영릉로 148 (하동),031-885-1100,용기+자동차+탱크+13kg용기
367,경기 여주시,(주)고신통상여주(하)충전소,경기도 여주시 가남읍 여주남로 722 여주(하)휴게소,031-881-6132,자동차충전
368,경기 여주시,능서충전소,경기도 여주시 능서면 중부대로 2171,031-881-4456,자동차충전
369,경기 여주시,"씨앤에스에너지(주) 여주(상)주유소, 충전소",경기도 여주시 가남읍 화평길 116 여주휴게소,031-881-3655,자동차충전
370,경기 여주시,가남LPG충전소,경기도 여주시 가남읍 경충대로 1331,031-881-0065,자동차충전
371,경기 여주시,서여주(마산방향)충전소,경기도 여주시 능서면 중부내륙고속도로 271,031-885-9764,자동차충전
372,경기 여주시,연세석유 여주LPG충전소,경기도 여주시 신륵로 164 (천송동),031-883-8970,자동차충전
373,경기 여주시,여주LPG충전소,경기도 여주시 가남읍 경충대로 900,031-884-7113,용기+자동차+탱크+13kg용기
374,경기 여주시,(주)유성티엔에스 서여주(양평방향)충전소,경기도 여주시 능서면 중부내륙고속도로 272,031-885-9760,자동차충전
375,경기 연천군,KH에너지(주)직영 연천충전소,경기도 연천군 청산면 평화로 193,031-835-5760,자동차충전
376,경기 연천군,전곡LPG충전소,경기도 연천군 전곡읍 청정로 2503 전곡LPG충전소,031-832-6066,자동차충전
377,경기 연천군,금강산LPG충전소,경기도 연천군 청산면 동서로 1883,031-833-5125,자동차충전
378,경기 오산시,오산엘피지충전소,경기도 오산시 경기대로 146,031-374-2822,자동차충전
379,경기 오산시,KH에너지(주)직영 오산충전소(과천방향),경기도 오산시 수도권제2순환고속도로 13,031-377-5259,자동차충전
380,경기 오산시,KH에너지(주)직영 오산충전소(동탄방향),경기도 오산시 수도권제2순환고속도로 14,031-376-5158,자동차충전
381,경기 오산시,(주)대원에너지 동서엘피지충전소,경기도 오산시 서동로 65 LPG동서충전소(SK),031-376-1881,자동차충전
382,경기 오산시,오산대역충전소,경기도 오산시 경기대로 497,031-377-4611,자동차+탱크
383,경기 오산시,신도시충전소,경기도 오산시 외삼미로 88,031-372-5818,자동차충전
384,경기 오산시,프라자충전소,경기도 오산시 경기동로 197,031-373-5803,자동차충전
385,경기 오산시,삼미충전소,경기도 오산시 경기대로 725 삼미충전소(LG),031-378-1148,자동차충전
386,경기 오산시,(주)조은에너지-SK오산충전소,경기도 오산시 오산천로 3-9,031-377-8228,자동차충전
387,경기 용인시 기흥구,수원IC LPG충전소,경기도 용인시 기흥구 중부대로 252-1 (영덕동),031-285-4412,자동차충전
388,경기 용인시 기흥구,민속촌LPG충전소,"경기도 용인시 기흥구 사은로 178, 외4필지(지곡동)",031-285-1222,자동차충전
389,경기 용인시 기흥구,(주)한미석유구성그린LPG충전소,경기도 용인시 기흥구 용구대로 2425 (마북동),031-283-7474,자동차충전
390,경기 용인시 기흥구,마북LPG충전소,경기도 용인시 기흥구 용구대로 2294 (마북동),031-284-4164,자동차충전
391,경기 용인시 기흥구,수지충전소,경기도 용인시 기흥구 신정로 609 (보정동),031-265-5159,자동차충전
392,경기 용인시 기흥구,신갈톨게이트엘피지충전소,"경기도 용인시 기흥구 중부대로 261 (영덕동,신갈충전소)",031-285-2245,자동차충전
393,경기 용인시 기흥구,르노코리아(주),경기도 용인시 기흥구 탑실로 61 (공세동),031-289-7102,자동차사
394,경기 용인시 기흥구,(주)대호에너지,경기도 용인시 기흥구 중부대로 208 GS칼텍스대호가스충전소,031-287-7400,자동차충전
395,경기 용인시 기흥구,동백LPG충전소,경기도 용인시 기흥구 동백죽전대로 563,031-281-5515,자동차충전
396,경기 용인시 기흥구,반도체충전소,경기도 용인시 기흥구 삼성2로 55,031-287-5187,자동차충전
397,경기 용인시 기흥구,영덕엘피지충전소,경기도 용인시 기흥구 중부대로 131 (영덕동),031-206-8581,자동차충전
398,경기 용인시 기흥구,(주)한미석유 기흥주유소,"경기도 용인시 기흥구 공세로81번길 40 (공세동,기흥휴게소內)",031-286-5182,자동차충전
399,경기 용인시 기흥구,구갈(대천)충전소,경기도 용인시 기흥구 중부대로 514,031-284-1891,자동차충전
400,경기 용인시 기흥구,신갈자동차충전소,경기도 용인시 기흥구 용구대로2469번길 51 신갈충전소,031-265-8844,자동차+13kg용기
401,경기 용인시 기흥구,그린에너지,"경기도 용인시 기흥구 덕영대로 1872 (하갈동,영통그린충전소)",031-273-5113,자동차+13kg용기
402,경기 용인시 처인구,베스트오일(주)직영용인웰컴엘피지충전소,경기도 용인시 처인구 양지면 중부대로 1863,031-334-8851,자동차충전
403,경기 용인시 처인구,용인충전소,경기도 용인시 처인구 백옥대로 1225-6 (유방동),031-321-1248,자동차충전
404,경기 용인시 처인구,서일산업(주)동백가스,경기도 용인시 처인구 중부대로 997 (삼가동),031-321-2260,자동차충전
405,경기 용인시 처인구,태흥LPG,경기도 용인시 처인구 중부대로 1656(마평동) ,031-335-9055,자동차충전
406,경기 용인시 처인구,유림충전소,경기도 용인시 처인구 백옥대로 1214 (유방동),031-337-3800,자동차충전
407,경기 용인시 처인구,"서창산업(주) 용인(하)고속도로 주유소,충전소",경기도 용인시 처인구 양지면 주북로94번길 30 용인(하)휴게소 내 주유소,031-332-3221,자동차충전
408,경기 용인시 처인구,양지엘피지충전소,경기도 용인시 처인구 양지면 양지로 17-9,031-338-3686,자동차충전
409,경기 용인시 처인구,서일산업(주)용인충전소,경기도 용인시 처인구 이동읍 남북대로 2617,031-339-8402,자동차+탱크
410,경기 용인시 처인구,고려LPG충전소,경기도 용인시 처인구 중부대로 1558 (마평동),031-321-1248,자동차충전
411,경기 용인시 처인구,(주)한진가스,경기도 용인시 처인구 중부대로 1148 LPG한진가스,031-336-4343,자동차충전
412,경기 용인시 처인구,남동충전소,경기도 용인시 처인구 백옥대로 1002,031-338-9582,자동차충전
413,경기 용인시 처인구,송전휴게소충전소,경기도 용인시 처인구 이동읍 남북대로 2616 송전휴게소,031-335-4194,자동차충전
414,경기 용인시 처인구,서창산업(주) 용인(상)충전소,경기도 용인시 처인구 주북로 66-16 용인(상)휴게소 내 주유소,031-339-2262,자동차충전
415,경기 용인시 처인구,에버충전소,경기도 용인시 처인구 포곡읍 백옥대로 1858,031-334-5858,자동차+13kg용기
416,경기 용인시 처인구,경안충전소,경기도 용인시 처인구 모현읍 백옥대로 2547 SK경안LPG충전소,031-334-2427,자동차충전
417,경기 용인시 처인구,대한에너지,경기도 용인시 처인구 중부대로 1788 (마평동),031-321-5111,자동차충전
418,경기 용인시 처인구,(주)한미석유직영유방동엘피지충전소,경기도 용인시 처인구 백옥대로 1260 (유방동),031-335-5186,자동차충전
419,경기 용인시 처인구,모과나무충전소,경기도 용인시 처인구 모현읍 포은대로 230,031-334-7131,자동차충전
420,경기 용인시 처인구,백암충전소,경기도 용인시 처인구 백암면 죽양대로 1401 SK백암주유소,031-338-5180,자동차충전
421,경기 용인시 처인구,동경엘피지충전소,경기도 용인시 처인구 포곡읍 백옥대로 1827,031-333-2400,자동차충전
422,경기 용인시 처인구,선봉대에너지,경기도 용인시 처인구 성산로 153 (역북동),031-333-5596,자동차충전
423,경기 의왕시,청계충전소,경기도 의왕시 안양판교로 469 (청계동),031-426-2651,자동차충전
424,경기 의왕시,의왕가스충전소,경기도 의왕시 경수대로 75 의왕가스충전소,031-458-5201,자동차충전
425,경기 의왕시,SK원일충전소,경기도 의왕시 안양판교로 372,031-426-0105,자동차충전
426,경기 의왕시,의왕오렌지충전소,경기도 의왕시 경수대로 399,031-427-5801,자동차충전
427,경기 의왕시,(주)삼진에너지 의왕충전소,경기도 의왕시 오봉로 183,031-461-5230,자동차충전
428,경기 의정부시,녹양LPG충전소,경기도 의정부시 평화로 801 (녹양동),031-848-8894,자동차충전
429,경기 의정부시,KH에너지(주)직영 장암충전소,경기도 의정부시 동일로 141 (장암동),031-826-3465,자동차충전
430,경기 의정부시,대로충전소,경기도 의정부시 가금로 75 (가능동),031-846-2206,자동차충전
431,경기 의정부시,의정부LPG충전소,경기도 의정부시 금신로 54 (신곡동),031-874-6531,자동차충전
432,경기 의정부시,복지북부충전소,경기도 의정부시 평화로 75 (호원동),031-871-5541,자동차충전
433,경기 의정부시,대성산업(주)의정부충전소,경기도 의정부시 평화로 433,031-877-2207,자동차충전
434,경기 의정부시,(주)케이엘페트로 의정부지점,"경기도 의정부시 구리포천고속도로 19, 외45필지, 산19임, 19-1임, 산21-12임 (산곡동)",031-928-4779,자동차충전
435,경기 의정부시,의정부가득충전소,경기도 의정부시 민락로 554 (자일동),031-853-3004,자동차충전
436,경기 의정부시,SK금오가스충전소,경기도 의정부시 호국로 1620 금오가스충전소,,자동차충전
437,경기 이천시,이천 강가충전소,경기도 이천시 부발읍 중부대로 1782 ,031-635-5185,자동차충전
438,경기 이천시,덕평충전소,경기도 이천시 마장면 서이천로 189-11,031-633-0383,용기+자동차+탱크+13kg용기+부탄캔
439,경기 이천시,서천가스,경기도 이천시 경충대로 2839 (관고동),031-631-6092,자동차충전
440,경기 이천시,(주)디에스덕평(강릉방향)충전소,경기도 이천시 마장면 덕이로154번길 287-74,031-635-8858,자동차충전
441,경기 이천시,(주)대주에너지,경기도 이천시 설성면 서동대로 8213,031-677-2257,자동차+탱크
442,경기 이천시,대보건설(주)이천(하남)충전소,경기도 이천시 신둔면 서이천로853번길 346-149,031-637-0953,자동차충전
443,경기 이천시,스피드충전소,경기도 이천시 마장면 중부대로 566,031-638-5102,자동차충전
444,경기 이천시,(주)디에스덕평(인천방향)충전소,경기도 이천시 마장면 덕이로154번길 287-74,031-635-8858,자동차충전
445,경기 이천시,장호원LPG충전소,경기도 이천시 장호원읍 경충대로 113,031-642-4981,자동차충전
446,경기 이천시,KH에너지(주) 직영 마장프리미엄충전소(통영방향),경기도 이천시 마장면 중부고속도로 82 마장휴게소 내,031-638-7869,자동차충전
447,경기 이천시,서창산업(주)이천(하)충전소,경기도 이천시 마장면 중부대로609번길 244-35 이천휴게소,031-637-0401,자동차충전
448,경기 이천시,삼원가스,경기도 이천시 이섭대천로 1126 (진리동),031-631-5211,자동차충전
449,경기 이천시,서진충전소,경기도 이천시 황무로 747 (송정동),031-631-4653,자동차충전
450,경기 이천시,광신직영 (랜드마크충전소),경기도 이천시 모가면 사실로 878,031-635-2004,용기+자동차+탱크+13kg용기
451,경기 이천시,양촌충전소,경기도 이천시 마장면 중부대로 88,031-633-1112,자동차충전
452,경기 이천시,관리LPG충전소,경기도 이천시 마장면 마도로 259,031-638-5137,자동차충전
453,경기 이천시,동일석유(주)이천충전소,경기도 이천시 경충대로 2806,031-634-2000,용기+자동차+탱크+13kg용기
454,경기 파주시,(주)청담산업 문발충전소,경기도 파주시 파주로 65 문발충전소,031-949-9615,자동차충전
455,경기 파주시,(주)교하충전소,경기도 파주시 천정구로 82 (당하동) ,031-957-1177,자동차+13kg용기
456,경기 파주시,(주)경기에너지,경기도 파주시 시청로 302 (야동동) ,031-949-8989,자동차+13kg용기
457,경기 파주시,신성석유(주)금촌충전소,경기도 파주시 통일로 598,031-941-5252,자동차충전
458,경기 파주시,신성가스공업(주),경기도 파주시 문산읍 통일로 1708 ,031-952-2650,용기+자동차+탱크+13kg용기
459,경기 파주시,파주역충전소,경기도 파주시 파주읍 통일로 1120 ,031-952-5184,자동차충전
460,경기 파주시,금촌엘피지(주),경기도 파주시 아리랑로 54 (금촌동) ,031-948-3450,자동차충전
461,경기 파주시,운정드림주유소 충전소,경기도 파주시 파주로 725 (교하동) ,031-948-7790,자동차충전
462,경기 파주시,통일충전소,경기도 파주시 적성면 율곡로 1468,031-959-9533,자동차충전
463,경기 파주시,이케이에너지(주) 파동충전소,경기도 파주시 통일로 647 파동충전소,031-943-1447,자동차충전
464,경기 파주시,흥안LPG충전소,경기도 파주시 법원읍 화합로 212,031-959-3400,자동차충전
465,경기 파주시,대일충전소,경기도 파주시 새꽃로 312,031-948-4114,자동차충전
466,경기 파주시,우경실업(구:삼미상사(주)미래로충전소),경기도 파주시 미래로 292,031-945-5199,자동차충전
467,경기 파주시,케이와이에너지(주)아동충전소,경기도 파주시 새꽃로 279외1필지,031-945-0501,자동차충전
468,경기 평택시,만호엘피지충전소,경기도 평택시 포승읍 서동대로 775,031-683-7053,자동차충전
469,경기 평택시,(주)에이치케이하이웨이평택(평택방향)충전소,경기도 평택시 청북읍 평택제천고속도로 6 E1동(평택방면충전소사무실),031-683-4800,자동차충전
470,경기 평택시,한국석유공사,경기도 평택시 포승읍 남양만로 175-108,031-680-1473,탱크로리
471,경기 평택시,에스케이가스(주)-평택기지,경기도 평택시 포승읍 남양만로 138 (원정리1346외 7필지),031-680-2963,탱크로리
472,경기 평택시,청북LPG충전소,경기도 평택시 청북읍 서해로 1578,031-681-0089,자동차충전
473,경기 평택시,(주)정원가스,경기도 평택시 평택로 290,031-652-3200,자동차충전
474,경기 평택시,은실충전소,경기도 평택시 은실고가길 5(신대동),031-618-3738,자동차충전
475,경기 평택시,한일크린에너지(주),경기도 평택시 청북읍 서해로 1576-2,031-683-8989,탱크로리
476,경기 평택시,에스케이서평택LPG충전소,경기도 평택시 오성면 서동대로 1988,031-683-9999,자동차충전
477,경기 평택시,(주)평송,경기도 평택시 진위면 경기대로 1915,031-664-8688,자동차충전
478,경기 평택시,(주)정원상사,경기도 평택시 남북대로 660,031-658-0660,자동차충전
479,경기 평택시,에스케이(SK)송탄충전소,경기도 평택시 탄현로 400,031-663-3151,자동차충전
480,경기 평택시,라인45충전소,경기도 평택시 팽성읍 팽성로 226,031-656-3543,자동차충전
481,경기 평택시,평택항충전소,경기도 평택시 포승읍 포승향남로 228,031-686-5158,자동차충전
482,경기 평택시,(주)에이치케이하이웨이평택(제천방향)충전소,경기도 평택시 청북읍 평택제천고속도로 6 B2동(충전탱크기계실),031-683-4800,자동차충전
483,경기 평택시,(주)현곡,경기도 평택시 청북읍 청원로 27,031-683-3223,자동차충전
484,경기 평택시,조이에너지(주) 오성엘피지충전소,경기도 평택시 오성서로 5,031-682-8673,자동차충전
485,경기 평택시,(주)몬타나파트너스-평택엘피지충전소,경기도 평택시 서동대로 3616,031-658-7764,자동차충전
486,경기 평택시,지산엘피지충전소,경기도 평택시 지산로 229,031-611-9015,자동차충전
487,경기 평택시,도원엘피지충전소,경기도 평택시 청원로 1630,031-611-9071,자동차충전
488,경기 평택시,(주)동신에너지 안중충전소,경기도 평택시 안중읍 안현로 544,031-682-6823,자동차+13kg용기
489,경기 평택시,에스케이평택충전소,경기도 평택시 청북읍 고렴길 161-95,031-683-1171,용기+자동차+탱크+13kg용기
490,경기 평택시,한이에너지(충전소),경기도 평택시 오성면 서동대로 2043(죽리1-5),031-686-8786,자동차충전
491,경기 평택시,(주)성림가스 블루에너지,경기도 평택시 청원로 1409,031-611-5104,자동차충전
492,경기 평택시,동아에너지,경기도 평택시 남북대로 545,031-664-7743,자동차충전
493,경기 평택시,(주)엘충전소,경기도 평택시 현덕면 서해로 470-6,031-682-3773,자동차+탱크
494,경기 평택시,에스케이에너지,경기도 평택시 경기대로 1038,031-662-5858,자동차충전
495,경기 포천시,설문제2충전소,경기도 포천시 소흘읍 호국로 261,054-228-2877,자동차충전
496,경기 포천시,포천충전소,경기도 포천시 신북면 중앙로 284,031-533-6331,자동차+13kg용기
497,경기 포천시,축석충전소,경기도 포천시 소흘읍 호국로 68,031-543-8877,자동차충전
498,경기 포천시,(주)광일에너지,경기도 포천시 호국로 1397 (어룡동),031-535-0920,자동차충전
499,경기 포천시,일동충전소,경기도 포천시 일동면 화동로 871,031-535-2544,자동차+13kg용기
500,경기 포천시,대성산업(주)북부충전소,경기도 포천시 영중면 호국로 2583,031-533-5903,용기+자동차+탱크+13kg용기+부탄캔
501,경기 포천시,(주)오름씨앤엔 내촌충전소,경기도 포천시 내촌면 금강로 2427,031-531-6036,자동차충전
502,경기 포천시,에스케이포천충전소,경기도 포천시 내촌면 금강로 2199-14,031-531-1871,용기+탱크+13kg용기
503,경기 포천시,하늘땅충전소,경기도 포천시 내촌면 금강로 2971,031-532-0888,자동차충전
504,경기 포천시,(주)삼호에너지 서파충전소,경기도 포천시 내촌면 금강로 3138,031-531-5182,자동차충전
505,경기 포천시,광릉LPG충전소,경기도 포천시 내촌면 금강로 2113 (외),031-535-1006,자동차충전
506,경기 포천시,대안가스,경기도 포천시 영북면 문암길 3,031-536-9895,자동차충전
507,경기 포천시,선진충전소,경기도 포천시 신북면 호국로 2223,031-533-2198,자동차충전
508,경기 포천시,포천엘피지충전소,경기도 포천시 영북면 호국로 3603,031-536-7471,자동차충전
509,경기 포천시,송우리LPG충전소,경기도 포천시 소흘읍 호국로 636,031-544-5551,자동차충전
510,경기 하남시,만남의광장충전소,경기도 하남시 중부고속도로 117-2,,자동차충전
511,경기 하남시,SK하남충전소,"경기도 하남시 창우로 130 (창우동,SK하남충전소)",031-795-2373,용기+자동차+탱크+13kg용기
512,경기 하남시,광동충전소,경기도 하남시 아리수로 530,031-792-9088,자동차충전
513,경기 하남시,(주)삼표에너지 삼표충전소,경기도 하남시 서하남로 16 (감북동),02-4711-1151,자동차충전
514,경기 하남시,(주)진모빌리티 위례LPG충전소,경기도 하남시 서하남로 242 (광암동),02-4885-5152,자동차충전
515,경기 하남시,(주)청곡,경기도 하남시 하남대로 267,031-794-4824,자동차충전
516,경기 화성시,해뜨는충전소,경기도 화성시 봉담읍 삼천병마로 1124,031-298-2407,자동차충전
517,경기 화성시,다인산업(주)화성충전소,경기도 화성시 비봉면 비봉로 366 ,,자동차충전
518,경기 화성시,아름다운숲 충전소,경기도 화성시 남양읍 남양리 2173 ,,기타
519,경기 화성시,뉴타운충전소,경기도 화성시 비봉면 화성로 1589,031-355-2045,자동차충전
520,경기 화성시,현대자동차(주) 남양연구소,경기도 화성시 남양읍 현대연구소로 150  연구개발환경방재팀,031-368-6106,자동차충전
521,경기 화성시,기아 주식회사,경기도 화성시 우정읍 기아자동차로 95 (이화리1714),031-359-5075,자동차사
522,경기 화성시,동탄뉴타운충전소,경기도 화성시 동탄면 경기동로 228,031-375-5149,자동차충전
523,경기 화성시,뉴시티충전소,경기도 화성시 화성로 1286 뉴시티충전소,031-357-0405,자동차충전
524,경기 화성시,비봉서일가스충전소,경기도 화성시 비봉면 서해로 1902,031-357-1616,자동차충전
525,경기 화성시,KH에너지(주)직영덕우충전소,경기도 화성시 팔탄면 포승향남로 2294,031-366-5133,자동차충전
526,경기 화성시,케이와이에너지(주) 남양충전소,경기도 화성시 화성로 1412,023-412-3005,자동차충전
527,경기 화성시,"화성제일충전소(구,서원충전소)",경기도 화성시 정남면 세자로 29,031-805-5192,자동차충전
528,경기 화성시,병점대교충전소,경기도 화성시 효행로 869-6,031-223-4249,자동차충전
529,경기 화성시,(주)에코에너텍,경기도 화성시 매송면 매송고색로 131 1동,031-294-8003,자동차충전
530,경기 화성시,화성향남엘피지충전소,경기도 화성시 향남읍 향남로 272,031-354-2186,자동차충전
531,경기 화성시,(주)한일에너지,경기도 화성시 비봉면 화성로 2045,031-355-0675,자동차충전
532,경기 화성시,동탄LPG충전소,경기도 화성시 동탄면 경기동로 541,031-800-6688,자동차충전
533,경기 화성시,송산(평택방향)충전소,경기도 화성시 송산면 평택시흥고속도로 25,031-357-8194,자동차충전
534,경기 화성시,발안엘피지충전소,경기도 화성시 향남읍 서해로 806 화성발안가스충전소,031-354-9581,자동차충전
535,경기 화성시,코끼리충전소,경기도 화성시 마도면 화성로 907,031-355-1589,자동차충전
536,경기 화성시,대경석유(주) 송산마도IC주유소충전소,경기도 화성시 송산면 화성로 624,031-366-7131,자동차충전
537,경기 화성시,희망충전소,경기도 화성시 비봉면 비봉로 487,031-357-9557,자동차충전
538,경기 화성시,두원에너지충전소,경기도 화성시 비봉면 화성로 1980,031-355-7800,자동차충전
539,경기 화성시,다원에프엔씨(주) 조암충전소,"경기도 화성시 우정읍 호곡길 84 (호곡리81-1, 81-2)",031-351-6123,용기+자동차+탱크+13kg용기
540,경기 화성시,청우충전소,경기도 화성시 팔탄면 서해로 1409-9,031-353-5169,자동차충전
541,경기 화성시,캐피탈충전소,경기도 화성시 향남읍 발안로 448,031-366-5139,자동차충전
542,경기 화성시,야목역LPG충전소,경기도 화성시 매송면 매송로 279,031-296-9606,자동차충전
543,경기 화성시,대보유통(주)화성(상)엘피지충전소,경기도 화성시 팔탄면 서해안고속도로 302-1,031-353-8148,자동차충전
544,경기 화성시,장안대충전소,경기도 화성시 봉담읍 삼천병마로 1129-4,031-227-1480,자동차충전
545,경기 화성시,화성융릉LPG충전소,경기도 화성시 효행로 446,031-221-5414,자동차충전
546,경기 화성시,화성엘피지충전소,경기도 화성시 팔탄면 구장길 106,031-354-6610,용기+자동차+탱크+13kg용기
547,경기 화성시,제이에이치충전소,경기도 화성시 팔탄면 서해로 962,031-352-5149,자동차충전
548,경기 화성시,송산(시흥방향)충전소,경기도 화성시 송산면 평택시흥고속도로 25,031-357-8192,자동차충전
549,경기 화성시,대보유통(주) 화성(목포)엘피지충전소,경기도 화성시 팔탄면 서해안고속도로 301-1,031-353-8015,자동차충전
550,경기 화성시,조일엘피지충전소,경기도 화성시 우정읍 기아자동차로 649-17(조일엘피지충전소),031-351-2024,자동차충전
551,경남 거제시,덕포충전소,경상남도 거제시 옥포대첩로 338,055-688-0147,자동차충전
552,경남 거제시,(주)성주에너지 옥포충전소,경상남도 거제시 거제대로 3677(옥포동),055-688-9192,용기+자동차+13kg용기
553,경남 거제시,새거제충전소,경상남도 거제시 거제대로 5050,055-636-8548,자동차충전
554,경남 거제시,(주)성주에너지,경상남도 거제시 거제대로 3241,055-682-3333,용기+자동차+13kg용기
555,경남 거제시,SK충전소,경상남도 거제시 사등면 거제대로 5312 SK충전소,055-634-3603,자동차충전
556,경남 거제시,"거제삼성충전소(구,고현엘피지충전소)",경상남도 거제시 사등면 거제대로 789-15,055-638-5179,자동차충전
557,경남 거제시,엘림가스산업,경상남도 거제시 두모길 3-18,055-682-6699,용기+자동차+13kg용기
558,경남 거제시,청포가스충전소,경상남도 거제시 사등면 거제대로 6060,055-648-6992,자동차충전
559,경남 거제시,초이앤케이(주),경상남도 거제시 상동1길 22,063-423-2300,자동차충전
560,경남 거제시,(주)성주에너지 거제LPG충전소,경상남도 거제시 연초면 죽토로 94,055-634-1239,자동차충전
561,경남 거제시,거제충전소,경상남도 거제시 연초면 거제대로 4417,055-636-3311,자동차충전
562,경남 거제시,거제옥산충전소(주),경상남도 거제시 거제면 읍내로 410-29,055-633-8088,용기+자동차+탱크+13kg용기
563,경남 거창군,거창제일엘피지충전소,경상남도 거창군 거창읍 거함대로 3277,055-945-3051,자동차충전
564,경남 거창군,(주)승진에너지거창담양방향충전소,경상남도 거창군 가조면 가조가야로 1543-81,055-941-0863,자동차충전
565,경남 거창군,거창LPG충전소,경상남도 거창군 거창읍 강남로 80,055-944-6840,용기+자동차+13kg용기
566,경남 고성군,공룡충전소,경상남도 고성군 회화면 남해안대로 4029,055-672-3104,자동차충전
567,경남 고성군,고성엘피지충전소,경상남도 고성군 고성읍 상정대로 532-9,055-674-2558,자동차충전
568,경남 고성군,(주)연합진흥 고성공룡나라(대전)충전소,경상남도 고성군 대가면 통영대전고속도로 32,055-674-8062,자동차충전
569,경남 고성군,금강충전소,경상남도 고성군 고성읍 남해안대로 2537,055-674-8031,자동차충전
570,경남 고성군,(주)연합진흥공룡나라(통영)충전소,경상남도 고성군 대가면 통영대전고속도로 29,055-674-2062,자동차충전
571,경남 고성군,(주)대우에너지,경상남도 고성군 마암면 삼락1길 7,055-674-6771,자동차충전
572,경남 고성군,동방LPG충전소,경상남도 고성군 고성읍 남해안대로 3055,055-674-1976,용기+자동차+탱크+13kg용기
573,경남 고성군,옥수LPG,경상남도 고성군 회화면 남해안대로 4053,055-673-4477,자동차충전
574,경남 고성군,(주)대성종합가스,경상남도 고성군 고성읍 율대5길 15,055-673-4641,용기+탱크+13kg용기
575,경남 김해시,김해어방LPG충전소,경상남도 김해시 분성로 555(어방동),055-327-2311,자동차충전
576,경남 김해시,럭키엘피지충전소,경상남도 김해시 금관대로 1047,055-322-1919,자동차충전
577,경남 김해시,제우스유화공업(주),경상남도 김해시 유하로 131,055-314-8182,용기+탱크+13kg용기
578,경남 김해시,진영가스충전소,경상남도 김해시 진영읍 진산대로 108,055-342-0057,자동차충전
579,경남 김해시,부경에너지(주)알뜰제2충전소,경상남도 김해시 생림대로 162,055-312-6690,자동차충전
580,경남 김해시,동양가스산업(주) 알뜰 서김해IC충전소,경상남도 김해시 금관대로 991,055-325-0047,자동차충전
581,경남 김해시,이원 김해LPG충전소,경상남도 김해시 김해대로2567번길 38-14,055-322-2311,용기+자동차+탱크+13kg용기
582,경남 김해시,태영가스충전소,경상남도 김해시 진영읍 서부로 18,055-345-6345,자동차충전
583,경남 김해시,서일산업(주)김해가스,경상남도 김해시 진영읍 본산로212번길 8,055-345-0210,용기+탱크
584,경남 김해시,풀무원식품(주) 장유(부산방향)충전소,경상남도 김해시 장유로116번길 44-82,055-313-2610,자동차충전
585,경남 김해시,구암충전소,경상남도 김해시 진영읍 본산로 60,055-346-1739,용기+자동차
586,경남 김해시,구산럭키LPG충전소,경상남도 김해시 가야로 353,055-336-2321,자동차충전
587,경남 김해시,관동가스충전소,경상남도 김해시 덕정로 3,055-313-6622,자동차충전
588,경남 김해시,신영충전소,경상남도 김해시 금관대로 994,055-329-2603,자동차충전
