연번,기관명,주소명,전화번호,지정관서
224,산업안전지도사 김윤오(미래안전컨설팅),경상남도 김해시 생림면 나전로249번길 13-67,개인번호 노출제한,부산청
225,"산업안전지도사 배기안(배기안 산업안전지도사, 공인노무사 사무소)",부산광역시 사상구 학감대로 252((감전동) 6층 601-2호),개인번호 노출제한,부산청
226,산업안전지도사 김원기(부울경안전기술원),부산광역시 금정구 무학송로 127-1( (부곡동 23-14) 4층 402호),051-516-1595,부산청
227,사단법인 안전보건진흥원 부산지부,"부산광역시 사상구 백양대로 949-10((모라동, 삼현빌딩) 3층)",051-514-9721,부산청
228,산업안전기술인증지원본부(주),대구광역시 달서구  월곡로28길 10((상인동)),053-635-8660,부산청
229,산업안전지도사 정성율(서현안전경영),"부산광역시 수영구 수영로 759(902호(수영동, 알파오피스텔))",개인번호 노출제한,부산청
230,산업안전지도사 정연석(성진산업안전 지도사사무소),"부산광역시 사상구 강변대로 570(, A동 401호(엄궁동, 부산건재집배송단지))",051-328-9252,부산청
231,세종안전컨설팅주식회사,울산 남구 삼산로143번길 23((달동) 302호),052-256-8771,부산청
232,산업안전지도사 송석원(송원안전기술),"부산광역시 부산진구 중앙대로 584(407호(범천동, 서면베르빌2))",051-636-0399,부산청
233,산업안전지도사 이승태(에스엠 산업안전),경상남도 양산시 소주로 182(108동205호 양산서창대동아파트 (소주동 960-10)),개인번호 노출제한,부산청
234,산업안전지도사 박종현(에이스산업안전지도사사무소),경남 김해시 서김해산단로 20-20((풍유동)),055-323-4785,부산청
235,에이치디안전컨설팅주식회사,"울산광역시 동구 방어진순환도로 733((전하동, 삼전 아이필하모니) 101동209호)",052-252-2167,부산청
236,산업안전지도사 전경수(우리산업안전지도사(기술사)사무소),"부산광역시 강서구 유통단지1로 41(, 111동 222호(대저2동, 부산티플렉스))",051-715-8007,부산청
237,재단법인환경안전교육원,"부산광역시 강서구 유통단지1로 76((대저2동, 건축자재판매단지) 6동203호)",051-971-0102,부산청
238,산업안전지도사 김정환(제이더블유(JW)한국산업안전),"경상남도 양산시 덕계2길 5-21(1층 119호(덕계동, 덕계시장상가아파트))",개인번호 노출제한,부산청
239,제일안전기술（주）,경상남도 김해시 우암로43번길 4-22(1층),055-313-1185,부산청
240,주식회사대한재해예방,"경상남도 김해시  월산로 111-73((부곡동, 아모르빌딩) 404호)",055-336-0320,부산청
241,주식회사베스트원산업안전보건,부산광역시 강서구 유통단지1로 41(125동 2층 213호),개인번호 노출제한,부산청
242,주식회사삼성안전기술지원단,경남 거제시 장평로3길 18-1((장평동) 1층),개인번호 노출제한,부산청
243,주식회사안전관리전문기관벗,경기도 안양시 만안구 전파로44번길 57(701호),031-385-8140,부산청
244,주식회사안전드림컨설팅,"부산 북구 금곡대로 458((금곡동, 금곡월드프라자) 208~210호)",000-1555-4505,부산청
245,주식회사안전보건기술원,경남 양산시 물금읍 증산역로 177((라피에스타) 4층 45호),개인번호 노출제한,부산청
246,주식회사안전보건연구원,부산 강서구 낙동북로 132((강동동) 3층),051-913-0918,부산청
247,주식회사위드안전,"경기 구리시 갈매순환로166번길 45(10층 1018호 (갈매동, 구리갈매 아너시티))",02-6390-6166,부산청
248,주식회사한국경영시스템,부산광역시 수영구  수영로611번길 34((광안동) 라익아파트 상가동 3층),051-758-6665,부산청
249,주식회사한국산업안전검사,경남 창원시 의창구 차상로72번길 2((팔용동)),055-276-3722,부산청
250,주식회사한국산업안전컨설팅,"경남 창원시 성산구 원이대로 320(T동 4층 416호 (대원동, 더시티세븐))",055-277-8200,부산청
251,주식회사한국안전기술원,대구광역시 달서구  성서공단로15길 25((호림동) 3층),053-523-8700,부산청
252,주식회사한국안전기술지원센터부경,부산광역시 강서구  유통단지1로 50((대저2동) 210동 204호),070-8882-9165,부산청
253,케이씨안전기술(주),전남 광양시 옥곡면 신금산단1길 29,061-772-9981,부산청
254,산업안전지도사 김판도(투게더산업안전),부산광역시 금정구 공단로 21(204호),051-911-5488,부산청
255,한국나눔안전주식회사,"서울 구로구 디지털로26길 5(11층 1117호 (구로동, 에이스하이엔드타워1차))",1522-6138,부산청
256,한국산업안전본부(주),"부산광역시 북구  백양대로 1025((구포동, 협진태양쇼핑프라자) 223,224호)",051-866-3655,부산청
257,산업안전지도사 박준영(한국안전관리),경남 창원시 성산구 비음로4번길 37-7((사파동)),055-607-7893,부산청
258,한국안전연구원주식회사,"경상남도 거제시 거제대로 3370((아주동, 대우조선해양))",055-734-7431,부산청
259,한국재해방지(주),경남 김해시 분성로501번길 17(8609호 (어방동)),055-339-4311,부산청
260,해드림안전주식회사,경남 김해시 내덕로126번길 9-12((내덕동) 1층),055-322-9349,부산청
261,（주）미래안전기술원,"부산광역시 동래구 아시아드대로255번길9-1((온천동, 미도빌딩) 제비동401호)",051-916-0114,부산청
262,（주）부경안전컨설팅,"부산광역시 사상구  낙동대로 910((감전동, 마트월드 에이-303))",051-714-6171,부산청
263,(사)대한산업안전협회대구지역본부,"대구 수성구 화랑로 150(4층 (만촌동, 동원빌딩))",053-710-3101,대구청
264,(주)글로벌안전공사,"울산광역시 북구  염포로 177((진장동, 동천강주유소) 203호)",052-289-9504,대구청
265,(주)글로벌안전관리,울산 북구 염포로 177(3호 (진장동)),052-289-9848,대구청
266,(주)대구경북산업안전본부,대구 달서구 성서공단북로 308((갈산동)),053-586-9300,대구청
267,(주)한국산업안전기술원,울산 남구 돋질로81번길 6((신정동)),052-273-4755,대구청
268,(주)한국안전기술지원단,부산광역시 강서구  대저로 294((대저1동) 한국안전기술지원단빌딩),051-332-2114,대구청
269,가톨릭산업안전(주),대구광역시 중구  명륜로12길 25((남산동) 2층),053-255-7343,대구청
270,대한산업안전관리주식회사,"충북 청주시 서원구 두꺼비로 36((산남동, 동우빌딩) 4층)",043-288-9489,대구청
271,사단법인 안전보건진흥원 부산지부,"부산광역시 사상구 백양대로 949-10((모라동, 삼현빌딩) 3층)",051-514-9721,대구청
272,산업안전기술인증지원본부(주),대구광역시 달서구  월곡로28길 10((상인동)),053-635-8660,대구청
273,산업안전지도사 최정규(세일산업안전),경상북도 구미시 수출대로14길 9(가동 203호),054-471-7698,대구청
274,세종안전컨설팅주식회사,울산 남구 삼산로143번길 23((달동) 302호),052-256-8771,대구청
275,영남산업안전관리(주),대구광역시 달서구 성서공단로 217(6층 603호 (비즈니스센터)),053-582-7730,대구청
276,산업안전지도사 우청호(주식회사 안전법인한결),"경상북도 경주시 외동읍 우박길 79-5((문산리 620), 302호)",054-776-0542,대구청
277,주식회사나라안전기술원,대구 달서구 달구벌대로 1657(511호 (감삼동)),053-593-5511,대구청
278,주식회사대경안전센터,대구 달서구 달서대로 475((호산동) 2층),053-263-2800,대구청
279,주식회사대한재해예방,"경상남도 김해시  월산로 111-73((부곡동, 아모르빌딩) 404호)",055-336-0320,대구청
280,주식회사산업안전기술원,대구광역시 달서구  한들로 13((장기동) 3층),053-986-2552,대구청
281,주식회사안전관리전문기관벗,경기도 안양시 만안구 전파로44번길 57(701호),031-385-8140,대구청
282,주식회사한국경영시스템,부산광역시 수영구  수영로611번길 34((광안동) 라익아파트 상가동 3층),051-758-6665,대구청
283,주식회사한국산업안전컨설팅,"경남 창원시 성산구 원이대로 320(T동 4층 416호 (대원동, 더시티세븐))",055-277-8200,대구청
284,주식회사한국안전기술원,대구광역시 달서구  성서공단로15길 25((호림동) 3층),053-523-8700,대구청
285,산업안전지도사 김창록(케이세이프티),대구광역시 수성구 화랑로34길 173(만촌 신동아 파밀리에 (만촌동 276-1) 402동 101호 7호실),개인번호 노출제한,대구청
286,케이씨안전기술(주),전남 광양시 옥곡면 신금산단1길 29,061-772-9981,대구청
287,한국나눔안전주식회사,"서울 구로구 디지털로26길 5(11층 1117호 (구로동, 에이스하이엔드타워1차))",1522-6138,대구청
288,한국산업안전컨설팅(주),경상북도 포항시 남구 상대로 118,054-253-3632,대구청
289,한국안전관리주식회사,대구 달서구 상화로9길 27((진천동)),053-633-7464,대구청
290,한국안전기술공사(주),"대구광역시 달서구  장기로 276((장기동, 케이티장기빌딩) 2층)",053-629-9972,대구청
291,(사)대한산업안전협회광주지역본부,"광주 광산구 무진대로 270((우산동,2층))",062-943-0156,광주청
292,(유)한국안전관리협회,"전북특별자치도 전주시 완산구 백제대로 33((삼천동1가 , 신일아파트상가) 7동 1층 10호)",063-229-4330,광주청
293,(주)미래산업안전기술원,전라남도 여수시 무선중앙로 79(2층),개인번호 노출제한,광주청
294,(주)안전관리기술원,전라북도 전주시 완산구 서곡5길 15(402),063-255-1472,광주청
295,(주)한국산업안전본부,전북 익산시 선화로63길 4(2층 3호 (영등동)),063-831-8004,광주청
296,(주)한국산업안전협회,전라남도 순천시  고지5길 8((가곡동)),061-742-1107,광주청
297,(주)현대산업안전,전북 완주군 이서면 안전로 135(탑빌딩 602호),063-244-2690,광주청
298,(주)호남산업안전본부,전북 전주시 덕진구 기린대로 891(2층),063-252-4243,광주청
299,산업안전지도사 김선기(그린안전기술원),"전라남도 순천시 매산큰길 101(2층 (매곡동, ))",061-752-4382,광주청
300,대한안전관리센터(주),충북 청주시 청원구 율중로79번길 46((율량동) 201호),043-715-8555,광주청
301,대한안전보건기술협회(주),광주광역시 광산구  하남산단8번로 176((도천동) 2층 201호),062-415-3337,광주청
302,산업안전지도사 정원용(베스트안전환경),"전라남도 여수시 대학로 50(5층 519호 (둔덕동, 전남대학교 여수캠퍼스))",061-651-8986,광주청
303,사단법인안전보건진흥원대전지사,대전 중구 보문로 310((선화동)),02-807-3700,광주청
304,산업안전기술인증지원본부(주),대구광역시 달서구  월곡로28길 10((상인동)),053-635-8660,광주청
305,산업안전파트너주식회사,전북 전주시 완산구 홍산북로 25((효자동2가)  4층 2호),063-221-0318,광주청
306,안전경영컨설팅,광주광역시 북구 첨단벤처로60번길 2(101호),062-525-0071,광주청
307,안전보건명장컨설팅(주),광주 광산구 하남산단8번로 164((도천동) 나동207호),062-959-2112,광주청
308,주식회사대한산업안전본부,전북 완주군 이서면 양동길 7(642-8 101호),063-229-4242,광주청
309,주식회사안전관리전문기관벗,경기도 안양시 만안구 전파로44번길 57(701호),031-385-8140,광주청
310,주식회사케이에스안전관리원,"광주광역시 광산구 하남산단4번로 65((장덕동, 하남혁신지원센터) 601호)",개인번호 노출제한,광주청
311,주식회사한국산업안전컨설팅,"경남 창원시 성산구 원이대로 320(T동 4층 416호 (대원동, 더시티세븐))",055-277-8200,광주청
312,케이씨안전기술(주),전남 광양시 옥곡면 신금산단1길 29,061-772-9981,광주청
313,퍼스트안전관리주식회사,광주 북구 하남대로 837((운암동) 4층),062-522-0223,광주청
314,한국나눔안전주식회사,"서울 구로구 디지털로26길 5(11층 1117호 (구로동, 에이스하이엔드타워1차))",1522-6138,광주청
315,(사)대한산업안전협회대전지역본부,대전광역시 유성구  테크노2로 199-0((용산동) 미건테크노월드1차 308호),042-628-2160,대전청
316,(주)경신산업안전,서울 도봉구 덕릉로57길 30(13호 (창동)),02-335-3072,대전청
317,(주)대전충청산업안전본부,충청북도 청주시 청원구 상당로 314(234호 (청주첨단문화산업단지)),043-212-4611,대전청
318,(주)대한산업안전관리본부,충청북도 음성군 대소면 대물1길 11((대소면) 2층),043-882-7915,대전청
319,(주)대한산업안전문화원,"경기도 안산시 단원구  산단로 325((신길동, 리드 스마트스퀘어 지식산업센터) 1325호)",031-365-5365,대전청
320,(주)대한안전경영연구원,경기 수원시 장안구 경수대로 1077(3층 301 (파장동)),031-241-5259,대전청
321,(주)대한안전기술연구원,"경기 안산시 단원구 광덕동로 95(602호 (고잔동, 궁전타워))",031-411-8410,대전청
322,산업안전지도사 서유석((주)더안전지도원),"경기도 오산시 독산성로 425(, 809호(세교동, 더퍼스트타워))",031-8043-1780,대전청
323,(주)산업안전기술공사,"충남 천안시 동남구 서부대로 556((봉명동, (주)산업안전기술공사))",041-576-8032,대전청
324,(주)오성안전관리단,경기 수원시 장안구 장안로 111((정자동) 402호),031-242-5890,대전청
325,(주)중부산업안전기술원,대전광역시 유성구 장대로 72(202호(장대동)),042-537-1117,대전청
326,(주)케이아이세이프티,경기 평택시 진위면 하북2길 87-23(2층),개인번호 노출제한,대전청
327,(주)한국건설안전공사,"대전광역시 유성구  북유성대로 219((지족동, 인앤인주상복합,202호) 201호)",042-825-0804,대전청
328,(주)한국산업안전본부,대전광역시 대덕구 대화로 120(6층 628호 (가온비즈타워)),042-585-6121,대전청
329,(주)한국산업안전컨설팅,경기 안산시 단원구 삼일로 310(705호 (선부동)),031-413-4717,대전청
330,(주)한국안전보건관리협회,"대전 동구 동대전로 336(902호 (가양동, 에스에스빌딩))",042-710-4989,대전청
331,(주)휴먼산업안전센터,"충남 천안시 서북구 성성9로 7(401호 (성성동, 하나타워))",041-592-3600,대전청
332,산업안전지도사 김정희(고산안전기술원 주식회사),충청남도 천안시 동남구 청수14로 62(천안법조타운 903호(청당동)),041-566-9001,대전청
333,국제안전보건알앤디센터협동조합,"경기도 화성시 동탄대로 646-2((영천동, 메가비즈타워)  A동 8층 803호)",070-8888-2899,대전청
334,대한산업안전관리주식회사,"충북 청주시 서원구 두꺼비로 36((산남동, 동우빌딩) 4층)",043-288-9489,대전청
335,대한산업안전기술원주식회사,"경기도 안산시 단원구  광덕4로 260((고잔동, 윈윈프라자) 302호)",031-483-9221,대전청
336,대한산업안전기술주식회사,경기도 수원시 권선구  당진로 13((당수동) 202호),031-296-4200,대전청
337,대한안전관리(주),충청북도 충주시  갱고개로 235((연수동) 2층),043-853-0201,대전청
338,대한안전관리센터(주),충북 청주시 청원구 율중로79번길 46((율량동) 201호),043-715-8555,대전청
339,산업안전지도사 이기연(더쉬레시피),충청북도 청주시 청원구 중심상업로 31-4(7층 701-5호),개인번호 노출제한,대전청
340,드림산업안전센터주식회사,충남 천안시 서북구 두정상가1길 5((두정동) 202호),개인번호 노출제한,대전청
341,산업안전지도사 최성권(리더스안전),"충남 천안시 서북구 두정중2길 19(205호 (두정동, 은형빌딩))",041-900-5268,대전청
342,마루세이프티(주),경기 수원시 영통구 청명로 69(3층(영통동)),031-206-6883,대전청
343,산업안전지도사 김춘성(명품안전컨설팅),충청남도 서산시 예천7로 38-7(2층 203호(예천동)),개인번호 노출제한,대전청
344,산업안전지도사 이성택(비에스티안전기술원),"경기도 안산시 단원구 풍전로 37-9(,304동 3층 325호(원곡동, 트리플렉스))",개인번호 노출제한,대전청
345,사단법인안전보건진흥원대전지사,대전 중구 보문로 310((선화동)),02-807-3700,대전청
346,산업안전기술인증본부(주),대전 유성구 관들1길 23((관평동) 2층 202호),042-721-1100,대전청
347,산업안전기술인증지원본부(주),대구광역시 달서구  월곡로28길 10((상인동)),053-635-8660,대전청
348,산업안전환경기술원(주),"경기도 화성시  동탄기흥로 557((영천동, 금강펜테리움아이티타워) 1207호)",031-258-3225,대전청
349,이현안전환경연구소(주),"충청북도 청주시 흥덕구 가경로 140(4층 402호 (상가동,세원가경골아파트))",개인번호 노출제한,대전청
350,종합안전기술(주),경기도 평택시 죽백7길 2-8(202호),031-618-5631,대전청
351,산업안전지도사 김동섭(주식회사 디에스산업안전컨설팅),"경기도 안산시 단원구 광덕서로 82(716호(고잔동, 한남법조빌딩))",개인번호 노출제한,대전청
352,"산업안전지도사 김형진, 박해진(주식회사 우리안전지도원)",경기도 수원시 영통구 영통로 237(708호),031-224-7721,대전청
353,주식회사뉴세이프컨설팅,경기 화성시 꽃내음1길 17((새솔동) 6층 609호),031-356-7676,대전청
354,주식회사대한산업안전관리,경기 광명시 일직로 43((일직동 ) 제비동 13층 1304호),개인번호 노출제한,대전청
355,주식회사대한산업안전본부,"대전광역시 대덕구  대화로106번길 66((대화동, 펜타플렉스) 928호)",042-223-8500,대전청
356,주식회사셉티코(가산),"서울특별시 금천구 가산디지털2로 143((가산동, 가산 어반워크II)  7층 718호)",02-6263-7702,대전청
357,주식회사안전관리전문기관벗,경기도 안양시 만안구 전파로44번길 57(701호),031-385-8140,대전청
358,주식회사안전세움,"경기 안산시 상록구 안산대학로 155((일동, 안산대학교 창업보육센터) 505호)",031-406-1350,대전청
359,주식회사안전제일기술단,"경기 화성시 동탄영천로 150(A동 1138호 (영천동, 실리콘앨리))",031-630-2019,대전청
360,주식회사위드안전,"경기 구리시 갈매순환로166번길 45(10층 1018호 (갈매동, 구리갈매 아너시티))",02-6390-6166,대전청
361,주식회사일터노무안전관리,"경기 용인시 기흥구 기흥로 58(B동 1202호 (구갈동, 기흥ICT밸리))",031-764-9916,대전청
362,주식회사한국안전기술진흥원,"대전 유성구 학하동로 6(, 2층(학하동))",042-824-3213,대전청
363,케이씨안전기술(주),전남 광양시 옥곡면 신금산단1길 29,061-772-9981,대전청
364,한강산업안전(주),"충북 충주시 연원로 8(2층 202호 (연수동, 예성빌딩))",043-856-0991,대전청
365,한국나눔안전주식회사,"서울 구로구 디지털로26길 5(11층 1117호 (구로동, 에이스하이엔드타워1차))",1522-6138,대전청
366,한국산업안전관리원주식회사대전충청지점,충청북도 청주시 상당구  중고개로 259((금천동) 301호),043-287-1911,대전청
367,한국산업안전보건기술원(주),경기 수원시 권선구 곡반정로 147(2층(곡반정동)),031-8002-4117,대전청
368,한국재해예방관리원(주),경기 안산시 단원구 원포공원1로 30(205호(초지동)),031-405-7833,대전청
369,산업안전지도사 정명홍(현대안전기술연구소),"경기도 안양시 동안구 시민대로 161((비산동, 안양무역센터) 920호)",031-383-2750,대전청
370,（주）한국산업안전기술단,"경기도 수원시 영통구  중부대로447번길 9((원천동, 성민프라자) 401호)",031-223-1920,대전청
