수가코드,한글수가명,산재단가금액,일반단가금액,건강단가금액,보호일반단가금액,산재일반단가금액,산재후유단가금액,감액가능품목여부,해당수가입력일자,적용시작일자,적용종료일자
DIJOY,조이론포르테 주,6159,16829,6159,6159,6159,6159,N,2017-01-04,2017-01-04,
DIJPRJ,진페라존주1g,6537,7531,6537,6537,6537,6537,N,2014-03-18,2018-02-01,
DIJT,제이틴주1g,959,4590,959,959,959,959,N,2014-08-05,2018-02-01,
DIJTAA,제티암주 500mg,3292,3621,3292,3292,3292,3292,N,2016-02-28,2018-02-01,
DIJTAB,제티암주1g(삼진제약),2423,5658,2423,2423,2423,2423,N,2016-02-28,2018-02-01,
DIJW045SL,중외염화나트륨주사액0.45,1471,1656,1471,1471,1471,1471,N,2014-03-18,2018-11-01,
DIJW045SS,중외염화나트륨주사액 0.45% 500ml - 중외제약,1260,1418,1260,1260,1260,1260,N,2014-03-18,2018-08-01,
DIJW10DWM,10% 포도당 주 500ml,1296,1459,1296,1296,1296,1296,N,2014-03-18,2018-11-01,
DIJW10DWM5,10% 포도당 주 500ml,1296,1459,1296,1296,1296,1296,N,2016-06-22,2018-11-01,
DIJW20DWA,중외20%포도당주(20ML),272,309,272,272,272,272,N,2014-03-18,2019-02-01,
DIJW50DWM1,중외 50% DW 주사액100ml,1297,1460,1297,1297,1297,1297,N,2018-05-24,2018-05-24,
DIJW50DWS,중외 50% 포도당주사액 10,1278,1460,1278,1278,1278,1278,N,2014-03-18,2016-11-01,
DIJW5DSL,5% 포도당 가생리식염액 1,1447,1613,1447,1447,1447,1447,N,2014-03-18,2018-08-01,
DIJW5DSS,5% 포도당가 생리식염액 5,1390,1390,1390,1390,1390,1390,N,2016-09-29,2018-03-01,
DIJW5DW1,중외 5% 포도당 주사액 100ml(Bag),1173,1307,1173,1173,1173,1173,N,2018-05-21,2018-08-01,
DIJW5DW100,중외5%포도당주사액 100ml,1173,1307,1173,1173,1173,1173,N,2014-11-28,2018-08-01,
DIJW5DW200,중외5%포도당주사액 200ml,1137,1399,1137,1137,1137,1137,N,2014-03-18,2016-08-01,
DIJW5DWL,5%포도당주 1000ml,1795,1795,1795,1795,1795,1795,N,2014-03-18,2018-03-01,
DIJW5DWM5,5% 포도당주 500ml,1272,1417,1272,1272,1272,1272,N,2016-06-22,2018-11-01,
DIJW5DWS,5% 포도당주 500ml,1272,1417,1272,1272,1272,1272,N,2014-03-18,2018-11-01,
DIJWCAGL,중외글루콘산칼슘주 2.084g/20ml,576,641,576,576,576,576,N,2016-09-29,2018-05-24,
DIJWHSDL,하트만덱스,1023,1745,1023,1023,1023,1023,N,2016-09-29,2016-10-01,
DIJWNS100,중외생리식염주사액100ml,907,998,907,907,907,907,N,2015-11-13,2014-06-01,
DIJWNSL,생리식염수 1L (백),1302,1302,1302,1302,1302,1302,N,2016-09-29,2018-03-01,
DIJWNSL3,중외생리식염주사액 3000ml(중외제약),2360,2596,2360,2360,2360,2360,N,2014-03-18,2014-06-01,
DIJWNSS,중외생리식염주사액 500ml,1132,1132,1132,1132,1132,1132,N,2016-09-29,2018-03-01,
DIK40,케이40주 20ml(중외제약),258,372,258,258,258,258,N,2016-09-29,2016-10-01,
DIKAM,유한황산카나마이신주1g,722,836,722,722,722,722,N,2014-03-18,2016-07-01,
DIKAPA,카비벤페리페랄주1440ml,32709,35980,32709,32709,32709,32709,N,2016-02-26,2018-02-01,
DIKERI,케리에프에이주(휴온스),1534,1687,1534,1534,1534,1534,N,2016-02-28,2016-07-01,
DIKETCJ30,케토신주30MG/ML,352,662,352,352,352,352,N,2016-05-23,2017-08-01,
DIKM,동아카나마이신황산염주,843,843,843,843,843,843,N,2016-09-29,2018-03-01,
DIKOVAX,코박스건조살모사항독소,213317,238281,213317,213317,213317,213317,N,2015-02-27,2019-11-01,
DIKPIN,킨포인주,260,622,260,260,260,260,N,2016-09-29,2016-10-01,
DIKRM,케로민 주사 30MG,163,844,163,163,163,163,N,2015-04-27,2018-02-01,
DIKTM,휴온스염산케타민주50mg/ml,3312,3643,3312,3312,3312,3312,N,2016-09-29,2016-10-01,
DIKTM5,휴온스염산케타민주사250mg,2053,2429,2053,2053,2053,2053,N,2014-07-30,2018-11-01,
DILAENA,라이넥주 2ML,13285,13285,13285,13285,13285,13285,N,2017-10-18,2017-06-30,
DILBP,라보파주(중외제약),1207,1328,1207,1207,1207,1207,N,2016-02-26,2018-02-01,
DILBS,라베신주사 20mg(명문제약),580,686,580,580,580,580,N,2014-03-18,2019-02-01,
DILCAN,엘칸주1g,1507,1658,1507,1507,1507,1507,N,2018-01-26,2018-02-01,
DILDCI,휴온스염산리도카인주 20ml,567,671,567,567,567,567,N,2014-03-18,2018-11-01,
DILDEPI,유한염산리도카인에피네프린 주(1:10만),331,392,331,331,331,331,N,2014-09-16,2018-11-01,
DILEVMS,레보멜스 주사액,661,1557,661,661,661,661,N,2018-01-26,2018-05-01,
DILIDEPIA,염산리도카인2% 1:10만(치과)휴온스,326,392,326,326,326,326,N,2015-11-13,2014-06-01,
DILIDO1,대한염산리도카인1%주(대한약품),472,558,472,472,472,472,N,2015-04-30,2019-08-01,
DILKKI,류코카인주150ug,25492,28414,25492,25492,25492,25492,N,2016-02-26,2018-04-01,
DILPD,리피뎀주250ml,15473,17020,15473,15473,15473,15473,N,2014-03-18,2018-02-01,
DILRGN,대한 엘아르기닌염산염 주 10% 100ML,16841,16841,16841,16841,16841,16841,N,2019-10-01,2019-10-01,
DILSX,라식스주20mg,335,384,335,335,335,335,N,2014-03-18,2018-11-01,
DILTS,란투스주바이알,24191,34761,24191,24191,24191,24191,N,2014-03-18,2019-02-20,
DILTSS,란투스주솔로스타펜(사노피아벤티스),10074,13470,10074,10074,10074,10074,N,2014-03-18,2019-02-20,
DILUTH6,루치온 주,5940,5940,5940,5940,5940,5940,N,2019-10-01,2019-10-01,
DILVFRM,리바후라민주500ml,13803,15697,13803,13803,13803,13803,N,2014-03-18,2018-11-01,
DILVGM,리브-감마주 1000mg,15700,17695,15700,15700,15700,15700,N,2016-02-25,2016-02-01,
DILVMS,레보멜스주500mg,665,770,665,665,665,665,N,2014-03-18,2016-10-01,
DIMAGSA,대한 황산마그네슘주사액 10% 2G/20ML,1288,1524,1288,1288,1288,1288,N,2017-01-23,2019-08-01,
DIMASI,마시주사 10%,1474,1736,1474,1474,1474,1474,N,2016-09-29,2016-10-01,
DIMBT,모박탐정주1g,13127,14440,13127,13127,13127,13127,N,2015-11-12,2014-06-01,
DIMCIHV,마케인 헤비 20mg,2568,2943,2568,2568,2568,2568,N,2014-03-18,2018-08-01,
DIMCL1,메이세린주 1g,3523,5144,3523,3523,3523,3523,N,2016-02-26,2018-02-01,
DIMCL5,메이세린주 500mg,3909,3909,3909,3909,3909,3909,N,2016-09-29,2017-06-01,
DIMCP2,마이세파주200mg(대한뉴팜),1203,1323,1203,1203,1203,1203,N,2015-11-12,2014-06-01,
DIMCP4,마이세파주400mg(대한뉴팜),6366,6366,6366,6366,6366,6366,N,2016-09-29,2018-03-01,
DIMCPT,뮤코펙트주사액 2ml (주)한독,185,185,185,185,185,185,N,2016-09-29,2017-08-01,
DIMCRP,미쎄라프리필드시린지주 100ug,106101,119715,106101,106101,106101,106101,N,2014-03-18,2018-11-01,
DIMCRP150,미쎄라프리필드시린지주 150ug,131287,148133,131287,131287,131287,131287,N,2014-03-18,2018-11-01,
DIMCST,뮤코스텐주 10%,253,645,253,253,253,253,N,2016-09-29,2016-10-01,
DIMDS,메디소루주 125mg (한올제약),1145,3475,1145,1145,1145,1145,N,2016-02-28,2018-06-27,
DIMDTX,메디톡신 주200단위(주.에디톡신),270735,302419,270735,270735,270735,270735,N,2016-02-26,2019-08-01,
DIMDZL5,부광미다졸람주사5mg/5ml(부광약품),664,770,664,664,664,664,N,2014-03-18,2018-11-01,
DIMETOM,명문메토카르바몰주사1g(명문제약),670,1403,670,670,670,670,N,2015-03-31,2016-10-01,
DIMEZOL,메트로니다졸주500mg,481,1405,481,481,481,481,N,2014-03-18,2018-04-01,
DIMILLI,밀리스롤주@5mg inj,1810,1810,1810,1810,1810,1810,N,2016-09-29,2016-12-01,
DIMITOM,미토마이신씨주,2376,2376,2376,2376,2376,2376,N,2015-01-28,2015-02-01,
DIMKL,맥콜주,159,188,159,159,159,159,N,2014-03-18,2018-11-01,
DIMNX,메녹씸정주 0.5g,2835,3757,2835,2835,2835,2835,N,2014-03-18,2018-10-06,
DIMOR10,비씨염산모르핀주사,288,288,288,288,288,288,N,2016-09-29,2018-03-01,
DIMOR5,비씨황산모르핀주사5ml,2021,2223,2021,2021,2021,2021,N,2016-09-29,2016-10-01,
DIMORP,명문염산몰핀주10mg(명문제약),262,288,262,262,262,262,N,2016-09-29,2016-10-01,
DIMPM,메펨주 1g,14683,16151,14683,14683,14683,14683,N,2016-02-28,2018-02-01,
DIMPR,맥페란주,135,492,135,135,135,135,N,2016-02-26,2016-07-01,
DIMRBV,마로비벤-에이주사(삼진제약),536,1003,536,536,536,536,N,2014-03-18,2018-02-01,
DIMRP,유한메로펜주사0.5g,8618,10959,8618,8618,8618,8618,N,2014-03-18,2018-11-01,
DIMRP10,비씨염산몰핀주10mg(명문제약),2793,3334,2793,2793,2793,2793,N,2016-06-13,2019-02-01,
DIMRX,미락산주 10mg(프리필드),1044,1044,1044,1044,1044,1044,N,2016-02-28,2018-03-01,
DIMSF,메소팜주500mg,7470,7470,7470,7470,7470,7470,N,2015-04-30,2015-05-01,
DIMTCBM,휴온스메토카르바몰주사1g,1153,1364,1153,1153,1153,1153,N,2014-03-18,2018-11-01,
DIMTK,메타키트주사,8026,8932,8026,8026,8026,8026,N,2016-02-26,2018-11-01,
DIMTN,뮤테란 주 3ML(한화제약),260,645,260,260,260,260,N,2016-06-13,2016-11-01,
DIMTS125,메치솔주 125mg,995,3020,995,995,995,995,N,2015-10-29,2019-02-01,
DIMULTI5,멀티블루 5주,12100,12100,12100,12100,12100,12100,N,2017-10-18,2019-10-01,
DIMVH,엠브이에취주,975,1073,975,975,975,975,N,2016-02-26,2018-02-01,
DIMXP,보령맥스핌주1g(보령제약),6372,8246,6372,6372,6372,6372,N,2014-03-18,2018-11-01,
DIMXTD30,믹스타드30이노렛100단위/ml(노보노디스크),6481,6481,6481,6481,6481,6481,N,2015-08-31,2015-09-01,
DIMYC120,한올마이신주120만단위,971,1322,971,971,971,971,N,2016-06-13,2016-07-01,
DIMZT,메작탐주사500mg(비티오제약),5069,6723,5069,5069,5069,5069,N,2016-02-28,2016-07-01,
DIMZT1,메작탐주사 1g,10437,11481,10437,10437,10437,10437,N,2016-06-13,2018-02-01,
DINA10,중외 염화나트륨주사액 0.45% 1000ml(백),1471,1656,1471,1471,1471,1471,N,2018-06-21,2018-11-01,
DINA20,중외염화나트륨주사액,254,283,254,254,254,254,N,2014-03-18,2018-11-01,
DINA40K,휴온스염화칼륨주사액20ml,190,254,190,190,190,190,N,2016-09-29,2016-10-01,
DINABK,휴온스탄산수소나트륨주사액(8.4%),448,530,448,448,448,448,N,2014-03-18,2019-02-01,
DINABOT,나보타 주,68285,68285,68285,68285,68285,68285,N,2016-12-14,2016-12-14,
DINCR,노큐론주 10mg (한화제약),1880,1880,1880,1880,1880,1880,N,2016-09-29,2018-03-01,
DINDX,나독솔주사15mg/2ml,144,330,144,144,144,144,N,2014-05-09,2016-07-01,
DINEBIDO,네비도 주사 바이알,144635,144635,144635,144635,144635,144635,N,2019-10-01,2019-10-01,
DINESP60,네스프프리필드시린지주 60ug,36297,39927,36297,36297,36297,36297,N,2016-09-29,2019-05-08,
DINLD,나라돌주,17671,19438,17671,17671,17671,17671,N,2016-02-26,2018-02-01,
DINLX2,삼진날록손염산염주사2mg,2510,2761,2510,2510,2510,2510,N,2016-02-28,2018-02-01,
DINLX5,삼진날록손염산염주사5mg,4164,4580,4164,4164,4164,4164,N,2014-06-28,2018-02-01,
DINORAD,노르아드레0.1%나린주 4ml,2388,2826,2388,2388,2388,2388,N,2014-03-18,2019-08-01,
DINPR,중외네프라민주 250ml,6021,6778,6021,6021,6021,6021,N,2018-06-04,2018-08-01,
DINPRM,중외 네프라민주,6021,6778,6021,6021,6021,6021,N,2014-03-18,2018-11-01,
DINRPB,나로핀주사 7.5mg/ml,5033,5767,5033,5033,5033,5033,N,2016-02-28,2018-11-01,
DINSA,생리식염주사액20ml,247,299,247,247,247,247,N,2016-06-13,2016-07-01,
DINSMC150,네소미신주 150mg(삼진제약),2239,3501,2239,2239,2239,2239,N,2016-02-28,2018-02-01,
DINSP40,네스프프리필드시린지주40ug,25736,25736,25736,25736,25736,25736,N,2014-03-18,2015-05-01,
DINSP60,네스프프리필드시린지주 60ug,19786,19786,19786,19786,19786,19786,N,2014-03-18,2015-05-01,
DINTC,네티신주150mg,708,3410,708,708,708,708,N,2016-02-28,2018-02-01,
DINTR,니트로주사 10mg(명문제약),2577,2866,2577,2577,2577,2577,N,2014-03-18,2018-02-01,
DINVMX30F,노보믹스30플렉스펜주100단위/ml(노보노디스크),0,0,0,0,0,0,N,2016-02-28,2018-02-01,
DIODT8,온단트주 8mg,2953,8070,2953,2953,2953,2953,N,2014-03-18,2018-11-01,
DIOFLU,원플루주 100mg,10370,11407,10370,10370,10370,10370,N,2014-03-18,2018-02-01,
DIOL1500,올리멜엔9이주 1500ml,45222,50402,45222,45222,45222,45222,N,2014-03-18,2018-08-01,
DIOLCL4B,올리클리노멜N4-550E(박스터),40090,44099,40090,40090,40090,40090,N,2015-10-29,2015-11-01,
DIOLCL7,올리클리노멜N7-1000E(박스터),47510,52261,47510,47510,47510,47510,N,2015-10-29,2015-11-01,
DIORF,오르필주사액,3242,4883,3242,3242,3242,3242,N,2014-03-18,2018-11-01,
DIOT320150,옵티레이320주 150ml,55050,60555,55050,55050,55050,55050,N,2016-12-14,2017-04-01,
DIOTR32030,옵티레이 320 주사 30ml,10835,12111,10835,10835,10835,10835,N,2017-03-29,2019-02-01,
DIOXT,옥시톤주,280,312,280,280,280,280,N,2016-09-29,2016-10-01,
DIOZGR80,오자그론주80mg,0,0,0,0,0,0,N,2014-03-18,2018-03-01,
DIPAM,파무에이주 500mg,871,3097,871,871,871,871,N,2016-06-13,2016-07-01,
DIPCT,파세타주 1g,271,1515,271,271,271,271,N,2014-05-09,2016-10-01,
DIPCT1,파세틴주 1g,1923,4780,1923,1923,1923,1923,N,2014-03-18,2019-02-01,
DIPENILE,하나염산페닐에프린주사1%,847,1002,847,847,847,847,N,2016-02-28,2019-02-01,
DIPER1500,페리올리멜엔4이주 1500ml(박스터),32443,35687,32443,32443,32443,32443,N,2014-03-18,2018-02-01,
DIPETH25,제일페티딘염산염주사액25mg,261,311,261,261,261,261,N,2015-04-30,2018-11-01,
DIPF12,포폴주 12ml,1656,2090,1656,1656,1656,1656,N,2014-03-18,2019-02-01,
DIPF12A,포폴주사 12ml,1656,2090,1656,1656,1656,1656,N,2018-11-19,2018-11-15,
DIPF20,포폴주사 20ml,1818,4903,1818,1818,1818,1818,N,2016-02-28,2018-02-01,
DIPGM,피그민주사 1ml,485,573,485,485,485,485,N,2014-03-18,2019-02-01,
DIPGSP,페가시스프리필드주180mcg,151004,166104,151004,151004,151004,151004,N,2015-07-28,2018-02-01,
DIPHOS,포스텐주 20ml,799,799,799,799,799,799,N,2016-02-26,2018-03-01,
DIPIRPOT,피로브이주,709,813,709,709,709,709,N,2014-03-18,2017-02-01,
DIPNMD,페니마돌주 50mg(유영제약),83,306,83,83,83,83,N,2016-09-29,2016-10-01,
DIPNR,파노린주 15mg(한림제약),11501,12651,11501,11501,11501,11501,N,2016-02-28,2018-02-01,
DIPNRM,페니라민주사,137,162,137,137,137,137,N,2014-03-18,2018-11-01,
DIPNT,페니톤주 100mg,665,770,665,665,665,665,N,2014-03-18,2018-10-06,
DIPNTS,페니토인나트륨주사 100MG(삼진),651,770,651,651,651,651,N,2016-06-13,2019-08-01,
DIPRACT,프랙타주 2.2ml,414,1026,414,414,414,414,N,2016-02-26,2019-02-01,
DIPRD,페리돌주..5mg,285,330,285,285,285,285,N,2016-06-13,2019-02-01,
DIPRDP,페르디핀주 10ml,2124,2336,2124,2124,2124,2124,N,2016-02-26,2018-10-05,
DIPRDS,프레디솔주 125mg,1653,3299,1653,1653,1653,1653,N,2016-02-28,2018-02-01,
DIPREP,프리페넴주500mg(중외제약),7963,9258,7963,7963,7963,7963,N,2016-02-25,2018-02-01,
DIPRINK,프링크주(한미약품),27864,27864,27864,27864,27864,27864,N,2014-12-30,2015-01-01,
DIPRL,프롤리아 프리필드시린지,153098,209000,153098,153098,153098,153098,N,2019-03-27,2019-08-01,
DIPRMDR,프리메드롤주125mg,3364,3364,3364,3364,3364,3364,N,2014-04-23,2018-03-01,
DIPRO,푸로아민주500ml(한올제약),5746,8920,5746,5746,5746,5746,N,2016-02-28,2018-04-01,
DIPRS,페라설키트주,8779,9770,8779,8779,8779,8779,N,2014-03-18,2018-11-01,
DIPRTM,한림황산프로타민주사액(한림제약),1434,1696,1434,1434,1434,1434,N,2016-02-28,2019-02-01,
DIPSPN,포스페넴주0.5g,4893,10944,4893,4893,4893,4893,N,2016-02-28,2018-02-01,
DIPTD50,비씨염산페치딘주사액,289,345,289,289,289,289,N,2016-06-13,2017-02-01,
DIPTDM,명문염산페치딘주(명문제약)50mg,314,345,314,314,314,314,N,2016-09-29,2016-10-01,
DIPTL,판토라인주 40mg,1371,3445,1371,1371,1371,1371,N,2014-03-18,2018-10-05,
DIPTR,판토록주사40mg(태평양제약),3761,4137,3761,3761,3761,3761,N,2016-02-28,2018-02-01,
DIPTSP,제일펜타스타치10%주_(50g/500mL/병)(제일약품),26668,26668,26668,26668,26668,26668,N,2016-02-28,2018-03-01,
DIPTTS,펜토탈 소디움,790,1685,790,790,790,790,N,2016-06-13,2016-07-01,
DIPTZ40,펩타졸주사40mg,1332,4550,1332,1332,1332,1332,N,2016-02-28,2018-08-28,
DIRCP,로카핀주 7.5mg/ml,832,5894,832,832,832,832,N,2016-09-29,2016-10-01,
DIRMR,로메론주,4200,5026,4200,4200,4200,4200,N,2016-02-28,2018-11-01,
DIROMA,료마주,208,790,208,208,208,208,N,2016-02-26,2016-10-01,
DISCCL,석시콜린주50mg,846,1001,846,846,846,846,N,2014-03-18,2019-02-01,
DISCCL500,석시콜린주500mg,1939,2133,1939,1939,1939,1939,N,2016-06-13,2016-07-01,
DISCDAMKC,삼천당 아미카신주 250mg/2ml,583,1445,583,583,583,583,N,2018-07-25,2018-07-25,
DISD1:4,에스.디 1-4주 500ml,1212,1364,1212,1212,1212,1212,N,2016-06-22,2018-11-01,
DISD14S,에스.디 1-4주 500ml,1212,1364,1212,1212,1212,1212,N,2014-03-18,2018-11-01,
DISK20ABM,에스케이알부민20%주 100ml(,90783,101181,90783,90783,90783,90783,N,2014-03-18,2018-11-01,
DISK20ABM1,에스케이 알부민 주 20% 100ml,90783,101181,90783,90783,90783,90783,N,2018-07-09,2018-11-01,
DISLQA1040,솔리쿠아 펜주(10-40),37921,43451,37921,37921,37921,37921,N,2018-03-12,2019-02-01,
DISOLUM,솔루메드롤주 125mg,1556,3213,1556,1556,1556,1556,N,2014-03-18,2018-02-01,
DISPAT,스파탐주 10%,261,645,261,261,261,261,N,2014-05-09,2018-05-11,
DISPBRHX,염산브롬헥신주,140,140,140,140,140,140,N,2016-09-29,2018-03-01,
DISPCFTX1,신풍세포탁심나트륨주1g,4327,4760,4327,4327,4327,4327,N,2016-02-28,2018-02-01,
DISPGTMC,겐타마이신주 80mg,242,286,242,242,242,242,N,2014-03-18,2019-02-01,
DISPM,스파몬주,250,275,250,250,250,250,N,2015-11-13,2014-06-01,
DISPTN,국제 스펙티노마이신염산염수화물 주 2G,1804,1984,1804,1804,1804,1804,N,2017-01-17,2017-01-19,
DISTANA,"스텐드로주 1ML(자가투약,차광)",23100,23100,23100,23100,23100,23100,N,2019-07-31,2019-05-31,
DISTREP,종근당황산스트렙토마이신,583,690,583,583,583,583,N,2014-03-18,2016-07-01,
DISULBA,설바실린주750mg(대웅제약),969,969,969,969,969,969,N,2016-02-25,2016-09-01,
DISYNOV,시노비안주,61152,73920,61152,61152,61152,61152,N,2014-04-04,2019-12-05,
DITAGO,타고신주200mg(한올제약),14312,25473,14312,14312,14312,14312,N,2016-02-28,2018-04-01,
DITAICO,타이코신주 200mg,12861,25884,12861,12861,12861,12861,N,2016-02-26,2018-02-01,
DITAMCET,탐세톤주 40MG/ML(한올바이오파마),451,770,451,451,451,451,N,2016-06-13,2018-05-21,
DITAMN,제일티아민염산염주사액50mg,279,330,279,279,279,279,N,2014-03-18,2018-11-01,
DITANAM,타나민주(유유),1582,1740,1582,1582,1582,1582,N,2016-02-26,2018-02-01,
DITAU,삼진타우로린주2%,0,0,0,0,0,0,N,2015-11-13,2014-06-01,
DITAZ4,타조브이주 4.5그람,2843,7778,2843,2843,2843,2843,N,2014-03-18,2018-10-06,
DITBC,타박신주4.5g(펜믹스),4773,7242,4773,4773,4773,4773,N,2016-02-26,2018-02-01,
DITBPPD,튜베르쿨린피피디알티23 SSI,18264,26400,18264,18264,18264,18264,N,2016-12-14,2019-11-01,
DITBR,토브라주 80mg(대웅제약),747,1456,747,747,747,747,N,2016-02-26,2018-08-01,
DITERP,테리핀주1mg(한림제약),17731,35492,17731,17731,17731,17731,N,2016-02-28,2018-02-01,
DITJOS,투제오주 솔로스타,13986,21214,13986,13986,13986,13986,N,2016-07-07,2018-11-01,
DITMP,타미풀주,1246,1790,1246,1246,1246,1246,N,2014-03-18,2018-11-01,
DITNAPD362,폼스 티엔에이 페리 주 362ml,30941,30941,30941,30941,30941,30941,N,2018-08-23,2018-07-27,
DITNAPE,엠지티엔에이주 2053ml,38352,42187,38352,38352,38352,38352,N,2016-02-26,2018-02-01,
DITNMW,트나민 주,1637,1801,1637,1637,1637,1637,N,2017-01-23,2017-01-19,
DITOB80,트로나마이신주 80mg,1234,1486,1234,1234,1234,1234,N,2014-03-18,2018-02-01,
DITOBI,토비시란주80mg,1511,1511,1511,1511,1511,1511,N,2016-02-26,2018-06-01,
DITPC200,타포신주,8642,23594,8642,8642,8642,8642,N,2014-03-18,2018-11-01,
DITPC400,타포신주400mg,8016,30325,8016,8016,8016,8016,N,2014-03-13,2018-04-01,
DITRA100,트리돌주100mg,500,550,500,500,500,500,N,2016-09-29,2016-10-01,
DITRAMHA,한올 트라마돌염산염주 50mg,145,327,145,145,145,145,N,2018-06-18,2018-06-18,
DITRAUM,트라우밀주 2.2ml,584,997,584,584,584,584,N,2016-02-26,2018-02-01,
DITRAX,트리악손주 1g,2037,8482,2037,2037,2037,2037,N,2014-03-18,2018-02-01,
DITRAX1,트리악손주1g typell,5893,8482,5893,5893,5893,5893,N,2018-06-07,2018-06-07,
DITRAX2,트리악손주 2g type2,9556,13754,9556,9556,9556,9556,N,2018-05-18,2018-05-18,
DITRAX500,트리악손주 500mg(한미약품),2549,4239,2549,2549,2549,2549,N,2016-02-26,2018-02-01,
DITRD,트리돌주50mg(유한양행),60,330,60,60,60,60,N,2015-04-23,2016-07-01,
DITRIAM,동광 트리암시놀론 주 40mg(동광제약),642,770,642,642,642,642,N,2014-03-18,2016-10-01,
DITRIAMS,트리암주 40mg,451,770,451,451,451,451,N,2014-10-14,2018-08-01,
DITRL,트롤락주 30mg,352,795,352,352,352,352,N,2016-02-28,2018-06-21,
DITRLCT1,트루리시티 0.75mg/0.5ml 일회용펜,0,21792,0,0,0,0,N,2019-11-28,2019-12-05,
DITRLCT2,트루리시티 1.5mg/0.5ml 일회용펜,0,37718,0,0,0,0,N,2019-11-28,2019-12-05,
DITRMD,신풍트라마돌염산염주,84,293,84,84,84,84,N,2014-03-18,2016-10-01,
DITRMR,토리마론주사,670,1152,670,670,670,670,N,2015-11-13,2014-06-01,
DITROM,이연트롬빈동결건조 분말 5000iu,8230,9053,8230,8230,8230,8230,N,2014-08-29,2018-02-01,
DITRP,트로핀주 200mg,665,1819,665,665,665,665,N,2016-02-28,2018-02-01,
DITRSB,트리손키트주 2g,16128,17928,16128,16128,16128,16128,N,2014-07-29,2018-08-01,
DITRSK,트리손키트주,11079,12309,11079,11079,11079,11079,N,2014-07-29,2018-08-01,
DITRUM,트로우민주,419,1038,419,419,419,419,N,2014-05-09,2019-04-01,
DITRZ,트리젤주,1375,1375,1375,1375,1375,1375,N,2016-02-26,2018-03-01,
DITRZB,트리젤주 100ml(bag),1222,1375,1222,1222,1222,1222,N,2017-06-26,2019-08-01,
DITSVF,티에스벤에프주 3mg (한국유니온제약),1028,1131,1028,1028,1028,1028,N,2015-11-13,2014-06-01,
DITTBL,테타블린주,12273,21201,12273,12273,12273,12273,N,2016-02-25,2016-02-01,
DITZ,타짐주1g,3800,10064,3800,3800,3800,3800,N,2014-03-18,2018-02-01,
DITZCB,타조신주4.5G (한국와이어스),8248,6837,8248,8248,8248,8248,N,2014-03-18,2014-06-01,
DITZL,타조락탐주 4.5g,3387,6972,3387,3387,3387,3387,N,2016-02-25,2018-02-01,
DITZPR,타조페란주 4.5g,1855,7418,1855,1855,1855,1855,N,2014-06-02,2018-08-01,
DITZS45,타조신주 4.5G(제일약품),2967,7370,2967,2967,2967,2967,N,2015-04-24,2018-02-01,
DIULST10,우리스틴주10만단위(한림제약),15612,17173,15612,15612,15612,15612,N,2016-02-28,2018-02-01,
DIUNPNB,유니페낙주 75MG(한국유니온제약),113,622,113,113,113,113,N,2014-06-10,2016-07-01,
DIUNTX,유니티악손주1g,1447,8318,1447,1447,1447,1447,N,2014-04-15,2018-02-01,
DIURKNN50,유로키나제 50만,70594,77653,70594,70594,70594,70594,N,2014-10-16,2018-02-01,
DIUROP,유로패스주250ml(보령제약),5710,6281,5710,5710,5710,5710,N,2016-02-26,2018-02-01,
DIURT10,유로틴주10만단위,5897,5897,5897,5897,5897,5897,N,2016-02-26,2017-05-01,
DIUV370125,울트라비스트370주프리필드125ml,45063,45063,45063,45063,45063,45063,N,2016-06-13,2017-02-01,
DIVASO,바소프레신주 20IU,1808,1989,1808,1808,1808,1808,N,2016-02-28,2018-02-01,
DIVB,비타모주 250MG/ML,1540,1540,1540,1540,1540,1540,N,2019-10-01,2019-10-01,
DIVB12,하이코민주 2ML,1210,1210,1210,1210,1210,1210,N,2019-10-01,2019-10-01,
DIVCC,반코신씨피정주 1g,8755,8755,8755,8755,8755,8755,N,2013-01-07,2017-07-01,
DIVCK,반코키트주,14434,16038,14434,14434,14434,14434,N,2014-03-18,2018-08-01,
DIVCM5,염산반코마이신주 500mg(한국유나이티드),3627,8744,3627,3627,3627,3627,N,2016-02-26,2018-02-01,
DIVCR10,베크론주10mg,1709,1880,1709,1709,1709,1709,N,2015-11-13,2014-06-01,
DIVCR4,베크론주4mg,985,985,985,985,985,985,N,2014-03-18,2014-06-01,
DIVECA4,베카론주사4mg,950,1045,950,950,950,950,N,2016-02-28,2018-02-01,
DIVENOF,베노포르테주 2ml,912,1003,912,912,912,912,N,2015-11-13,2014-06-01,
DIVK1,비타민케이1주사액,218,260,218,218,218,218,N,2014-03-18,2019-11-01,
DIVNFR,베노헤럼주,5254,6215,5254,5254,5254,5254,N,2016-02-26,2019-05-10,
DIWNFA,위너프주 1435ML,34420,53653,34420,34420,34420,34420,N,2014-05-12,2018-02-01,
DIWNFPA,위너프페리주 1085ml,44801,49932,44801,44801,44801,44801,N,2019-07-19,2019-07-19,
DIWNFRB,위너프주 1450ML,30855,54816,30855,30855,30855,30855,N,2014-05-12,2018-02-01,
DIXB,키산본주40mg,13259,13259,13259,13259,13259,13259,N,2015-08-31,2015-09-01,
DIYHCEPH,세프라딘주 1g (유한양행),971,1068,971,971,971,971,N,2016-09-29,2018-02-01,
