폐기물구분,상호명,폐기물종류,연락처,처리방법,사업장주소,신고기준년도,데이터기준일자
사업장배출시설계폐기물,팔공신철,아연광재,053-311-3835,재활용(원료제조),대구광역시 북구 침산로67길50-4(침산동),2015,2024-05-02
사업장배출시설계폐기물,우성산업 제2공장,폐수처리오니,053-358-7714,매립,대구광역시 북구 노원로동39길 19(침산동),2015,2024-05-02
사업장배출시설계폐기물,삼정자동차해체재활용산업㈜,자동차냉매,053-382-3994,재활용(정제),대구광역시 북구 검단북로11길 51(검단동),2015,2024-05-02
사업장배출시설계폐기물,서하산업,폐수처리오니,053-357-7750,매립,대구광역시 북구 팔달북로11길 11-1(노원동),2015,2024-05-02
사업장배출시설계폐기물,범양아노텍,폐수처리오니,053-562-8842,매립,대구광역시 북구 3공단로43길 18-6(노원동),2015,2024-05-02
사업장배출시설계폐기물,하나바렐산업(J.C),폐수처리오니,053-351-2242,매립,대구광역시 북구 노원로1길 163-8(노원동),2016,2024-05-02
사업장배출시설계폐기물,㈜백광테크,폐수처리오니,053-352-0376,매립,대구광역시 북구 노원로 245(침산동),2016,2024-05-02
사업장배출시설계폐기물,신안착색,폐수처리오니(무기성),053-352-2367,매립(민간관리형매립시설),대구광역시 북구 오봉로165-20(노원동),2016,2024-05-02
사업장배출시설계폐기물,대신테크,폐전주,053-359-0610,매립(민간관리형),대구광역시 북구 팔달북로8길 84(노원동),2017,2024-05-02
사업장배출시설계폐기물,대구브라스트,그밖의 분진,053-352-6819,"재활용(직집제품제조), 매립(민간관리형매립)",대구광역시 북구 노원로42길 6(침산동),2019,2024-05-02
사업장배출시설계폐기물,이지테크,그밖의 폐기물,053-571-2050,매립(민간관리형매립시설),대구광역시 북구 검단로 27길 35(검단동),2020,2024-05-02
사업장배출시설계폐기물,한일정밀주조,화학점결폐주물사,053-351-8485,재활용(중간가공폐기물제조),대구광역시 북구 노원로1길 163-2(노원동),2020,2024-05-02
사업장배출시설계폐기물,대구신천하수슬러지건조연료화시설,하수처리오니,053-944-1990,재활용(연료고형연료제품제조),대구광역시 북구 조야로2길 209(서변동),2021,2024-05-02
사업장배출시설계폐기물,대륙정공,그밖의공정오니,053-352-9011,매립(민간관리형매립시설),대구광역시 북구 침산로67길 528(침산동),2022,2024-05-02
사업장배출시설계폐기물,화신금속공업,그밖의공정오니,053-382-8300,매립(민간관리형매립시설),대구광역시 북구 검단로31길 26-7(검단동),2022,2024-05-02
사업장배출시설계폐기물,㈜세진알앤티,폐합성고무류,053-354-2829,재활용(중간가공폐기물제조),대구광역시 북구 오봉로21길 16(노원동3가),2024,2024-05-02
사업장배출시설계폐기물,㈜창완에이엘,폐내화물,053-358-8810,매립(민간관리형매립시설),대구광역시 북구 오봉로 162(침산동),2024,2024-05-02
지정폐기물,소량배출인협의회,폐축전지외,053-356-0014,소각 외,대구광역시 북구 침산남로 7(노원동1가),2001,2024-05-02
지정폐기물,대구광역시자동차전문정비사업조합,폐축전지외,053-651-6691,소각 외,대구광역시 북구 동북로 119(산격동),2017,2024-05-02
지정폐기물,대구제3산업단지 환경협의회,그밖의폐광물류외,053-357-4271,소각,대구광역시 북구 노원로25길 23(노원동),2018,2024-05-02
지정폐기물,자연환경공동관리인협회,그밖의폐광물유외,,재활용,대구광역시 북구 노원로1길 120(노원동3가),2021,2024-05-02
지정폐기물,삼정자동차해체재활용산업㈜,폐황산외,053-382-3993,재활용,대구광역시 북구 검단북로11길 51(검단동),1999,2024-05-02
지정폐기물,㈜코스트코코리아,폐축전지,053-380-1230,재활용,대구광역시 북구 검단로97(산격동),1999,2024-05-02
지정폐기물,국립농산물품질관리원 경북지원,그밖의폐산외,053-327-0701,소각,대구광역시 북구 동암로 76(동천동),2009,2024-05-02
지정폐기물,대구공공시설관리공단 신천사업소,폐축전지외,053-943-9036,재활용,대구광역시 북구 조야로2길209(서변동),2000,2024-05-02
지정폐기물,경북대학교연구실안전관리센터,그밖의폐산외,053-950-7667,소각,대구광역시 북구 대학로80(산격동),2003,2024-05-02
지정폐기물,KT 북대구지사,폐축전지,053-341-0800,재활용,대구광역시 북구 고성로 141(고성동),2008,2024-05-02
지정폐기물,㈜뉴피에스,폐축전지,053-384-1245,재활용,대구광역시 북구 호국로 33(산격동),2009,2024-05-02
지정폐기물,대경산업,그밖의광물유외,053-384-8772,소각외,대구광역시 북구 검단북로 130(검단동),2010,2024-05-02
지정폐기물,대성에너지㈜ 검단CNG충전소,폐기계유,053-606-1418,재활용,대구광역시 북구 검단북로11길 83(검단동),2011,2024-05-02
지정폐기물,대성에너지㈜ 관음CNG충전소,폐기계유,053-606-1418,재활용,대구광역시 북구 관음로 127(관음동),2011,2024-05-02
지정폐기물,신한산업,그밖의폐광물유,053-381-1652,소각,대구광역시 북구 검단로27길 78-6(검단동),2014,2024-05-02
지정폐기물,이화전기 엔지니어링,폐축전지,053-352-7995,재활용,"대구광역시 북구 유통단지로38,나동205호(산격동)",2014,2024-05-02
지정폐기물,한강기전 대구지사,폐축전지,053-351-5417,재활용,대구광역시 북구 유통단지로 16 13동 29호(산격동),2014,2024-05-02
지정폐기물,㈜아크로이엔지,연마유,053-351-9693,재활용,대구광역시 북구 노원로동39길 18(침산동),2015,2024-05-02
지정폐기물,대승정밀㈜,기계유외,053-351-2228,소각,대구광역시 북구 3공단로41길 6(노원동),2015,2024-05-02
지정폐기물,한솔칼라,유성페인트,053-352-2981,소각,대구광역시 북구 팔달로1길 62(노원동),2015,2024-05-02
지정폐기물,대구교통공사,그밖의폐광물유외,053-640-7713,소각외,대구광역시 북구 호국로 872(동호동),2016,2024-05-02
지정폐기물,아이피에스,폐축전지,053-381-2427,재활용,대구광역시 북구 태암남로 11길 31-10(구암동),2017,2024-05-02
지정폐기물,㈜세현이엔지,폐축전지,053-321-4878,재활용,대구광역시 북구 영송로 69-29(태전동),2017,2024-05-02
지정폐기물,㈜삼안환경측정,그밖의폐유기용제,053-321-1234,재활용,대구광역시 북구 팔달북로15길 12(노원동),2017,2024-05-02
지정폐기물,㈜명신정공,폐기계유외,053-351-7936,소각,대구광역시 북구 검단공단로 82-8(검단동),2017,2024-05-02
지정폐기물,㈜성원금속 천황금속지점,그밖의 폐산,053-472-5300,중화,대구광역시 북구 오봉로36길 52(침산동),2017,2024-05-02
지정폐기물,경북동물위생시험소,폐동식물유,053-326-0012,재활용,대구광역시 북구 구리로 43(학정동),2017,2024-05-02
지정폐기물,이음패키지,폐수성페인트,053-358-2477,재활용,대구광역시 북구 침산로67길 57(침산동),2018,2024-05-02
지정폐기물,경신기전,폐축전지,053-383-9198,재활용,대구광역시 북구 복현로20길 86(복현동),2019,2024-05-02
지정폐기물,이화전기 대구,폐축전지,053-353-4942,재활용,대구광역시 북구 유통단지로24길 27(산격동),2019,2024-05-02
지정폐기물,㈜듀켐바이오칠곡경북대학교병원,그밖의폐유기용제,053-200-2591,재활용,대구광역시 북구 호국로 807(학정동),2019,2024-05-02
지정폐기물,㈜제일랩,할로겐족폐유기용제,053-325-7377,소각,대구광역시 북구 칠곡중앙대로 535(읍내동),2020,2024-05-02
지정폐기물,경북대학교 의과대학,할로겐족폐유기용제 등,053-420-4984,재활용,대구광역시 북구 칠곡중앙대로 136길 90(학정동),2020,2024-05-02
지정폐기물,미래테크,"폐기계유, 그 밖의 폐광물유",053-380-3438,"재활용, 소각",대구광역시 북구 검단로 177-17(검단동),2020,2024-05-02
지정폐기물,대구축협배합사료공장,폐기계유외,053-380-3522,재활용,대구광역시 북구 검단북로 154(검단동),2020,2024-05-02
지정폐기물,LS파워시스템,폐황산이포함된 폐축전지,,재활용,대구광역시 북구 서변로3길 89(서변동),2020,2024-05-02
지정폐기물,㈜세화정공,그밖의 폐광물유,053-355-7855,재활용,대구광역시 북구 오봉로 141(노원동),2020,2024-05-02
지정폐기물,대구밧데리할매북구점,폐황산이포함된 폐축전지,,재활용,대구광역시 북구 서변로21길 6(서변동),2020,2024-05-02
지정폐기물,로케트밧데리 북대구점,폐황산이포함된 폐축전지,053-604-4595,재활용,대구광역시 북구 유통단지로 16(산격동),2020,2024-05-02
지정폐기물,한국기초과학지원연구원,연구검사용폐시약,053-717-4320,소각 ,대구광역시 북구 대학로 80(산격동),2021,2024-05-02
지정폐기물,팔공밧데리,폐황산이포함된 폐축전지,053-939-3340,재활용,대구광역시 북구 검단공단로 19(산격동),2020,2024-05-02
지정폐기물,천운,폐황산이 포함된 2차폐축전지,,재활용,대구광역시 북구 작원길 2-1(팔달동),2021,2024-05-02
지정폐기물,서보정밀,그밖의폐광물유,053-384-3331,재활용(중간가공폐기물제조),대구광역시 북구 유통단지로7길 31-11(산격동),2021,2024-05-02
지정폐기물,재단법인 한국로봇산업진흥원,폐연마유외,053-210-9635,재활용(연료고형연료제품제조),대구광역시 북구 노원로 77(노원동),2021,2024-05-02
지정폐기물,대구밧데리파파,폐황산이포함된 폐축전지,,재활용,대구광역시 북구 매천로 147(매천동),2021,2024-05-02
지정폐기물,착한종합상사,폐황산이포함된 폐축전지,053-262-7986,재활용(원료제조),대구광역시 북구 동북로 1311(복현동),2022,2024-05-02
지정폐기물,성광포장박스 주식회사,그밖의폐유기용제,,소각,대구광역시 북구 동변로24길 66(동변동),2023,2024-05-02
지정폐기물,칠곡경북대학교병원,폐유성페인트외,053-200-7677,소각,대구광역시 북구 호국로 807(학정동),2023,2024-05-02
지정폐기물,동명중공업대구지점,폐황산이포함된 폐축전지,053-383-4366,재활용(원료제조),대구광역시 북구 유통단지로3길 12-5(산격동),2023,2024-05-02
지정폐기물,이화전기,폐황산이포함된 폐축전지,053-604-2560,재활용(원료제조),"대구광역시 북구 유통단지로 16,7동 17호 2층(산격동)",2024,2024-05-02
지정폐기물,이월드테크(e-world tech),그밖의폐광물유,053-384-5211,재활용,대구광역시 북구 검단공단로 60-8(검단동),2024,2024-05-02
지정폐기물,세원델코,폐황산이포함된 폐축전지,053-357-1385,재활용(원료제조),"대구광역시 북구 침산로52길 13,102/105(침산동,침산세정드림타운상가)",2024,2024-05-02
지정폐기물,㈜한성에프에이,그밖의폐광물유,053-591-0187,재활용,대구광역시 북구 노원로1길 125-19(노원동3가),2024,2024-05-02
