인증번호,사업체명,관할지사,대표자,사업자등록번호,소재지,인증일자,전화번호,업종 및 주요생산품,비고
제2016-024호,(주)동아위드,부산지역본부,"이경숙, 이경희",561-81-00561,"부산광역시 사하구 낙동대로 542, 대우에덴프라자 지하3층 제301호(하단동)",2016-06-08,051-714-1327,"제조업(인쇄, 출판물)",일반
제2016-025호,㈜네오누리콤,서울남부지사,"신성호, 강지연",110-81-77391,"서울특별시 금천구 가산디지털1로 119(가산동, 에스케이트윈테크타워 제3층 제에이303,304호)",2016-07-06,02-394-1821,제조업(판촉기념품 / PVC 고주파 상품),일반
제2016-026호,㈜예원,충북지사,지이규,301-81-89402,충청북도 청주시 청원구 북이면 내추옥수길 109,2016-07-06,043-216-2263,제조업(종이용기),일반
제2016-027호,㈜강동오케익,전북지사,강동오,402-81-69316,전라북도 전주시 덕진구 오신2길 24-21(성덕동) ,2016-07-06,063-211-9400,"제조업(제과, 제빵)",일반
제2016-028호,천일장갑,대구지역본부,김원수,514-24-60288,대구광역시 서구 와룡로72길 12 (중리동),2016-07-06,053-522-2230,제조업(장갑류),일반
제2016-031호,부국에프앤씨,충남지사,하지영,316-04-34719,충청남도 서산시 운산면 운암로 1166-16,2016-07-20,041-664-8974,제조업(떡류),일반
제2016-032호,(사)남북장애인교류협회,서울남부지사,강석승,101-82-17848,"서울특별시 영등포구 경인로82길 3-4, 1105호(문래동1가, 센터플러스)",2016-07-20,02-738-2212,제조업(인쇄물),일반
제2016-033호,㈜오넥트,경기서부지사,박미설,137-81-89252,"경기도 시흥시 서울대학로 264번길 22, 8층 817호",2016-07-20,032-575-9900,제조업(사무용 가구),일반
제2016-035호,㈜영탑,대전지역본부,최장영,867-87-00215,"대전광역시 유성구 대학로 99(궁동, 충남대학교)",2016-08-03,042-821-8797,서비스업(카페),자회사
제2016-038호,(사)장애인동반성장협회,서울남부지사,정영석,206-82-13088,"서울특별시 금천구 가산디지털1로 33-33(가산동, 대륭테크노타운2차505-2호)",2016-08-03,02-2269-5565,"제조업(인쇄물, CCTV, LED조명)",일반
제2016-039호,오죤,충남지사,신현미,129-15-66781,충청남도 당진시 석문면 대호만로 1867,2016-08-03,031-264-2845,제조업(칫솔 등),일반
제2016-044호,㈜위드림,경기지역본부,이정열,135-86-48416,"경기도 오산시 가장산업동로 37, 3층(가장동)",2016-10-31,031-8047-2994,사업지원(제품포장),자회사
제2016-045호,㈜사나래,경기동부지사,이영옥,126-86-53384,경기도 이천시 모가면 진상미로1385번길 70,2016-10-31,031-631-2445,제조업(비닐봉투),일반
제2016-047호,(유)청정클린,전북지사,고현미,403-81-82137,전라북도 익산시 옛둑2길 126(석탄동),2016-10-31,063-858-9924,세탁업,일반
제2016-048호,㈜행복마루,서울지역본부,이순환,461-88-00542,"서울특별시 마포구 매봉산로 75, 12층(상암동, DDMC빌딩)",2016-11-10,02-6941-0907,"서비스업(미화), 음식점업(비알콜 음료 및 커피전문점)",자회사
제2016-050호,㈜청호,경기북부지사,지태옥,131-81-52586,경기도 김포시 통진읍 김포대로1978번길 97,2016-11-10,031-982-4537,제조업(육가공업),일반
제2016-051호,㈜누리,경남동부지사,강은정,613-81-62382,경상남도 산청군 단성면 목화로474번길 14-2,2016-11-10,055-972-7676,"기타보건업(돌봄, 재가장기요양기관방문요양방문목욕 등), 태양광발전",일반
제2016-052호,㈜한강산업,제주지사,"허영범, 김호일",616-81-83727,제주특별자치도 제주시 애월읍 신엄8길 21,2016-11-30,064-744-0160,서비스업(세탁),일반
제2016-053호,조양산업,제주지사,남혁우,616-26-27328,제주특별자치도 제주시 화남로 48(화북일동),2016-11-30,064-732-1500,"제조업(침대시트, 커버 등), 서비스업(세탁)",일반
제2016-055호,㈜어울림에프,경기지역본부,주은환,422-87-00443,경기도 수원시 영통구 영통로 331번길 12,2016-11-30,031-217-9400,"도소매업, 임가공업(청소용품 등)",자회사
제2016-056호,(사)한국선원장애인복지협회,부산지역본부,김미옥,606-82-10466,"부산광역시 진구 범일로 154번길 33, 2층(범일역풍림아이언)",2016-11-30,051-315-4863,"제조업(장갑, 화장지, 쇼핑백 등), 서비스업(주차장위탁관리)",일반
제2016-057호,㈜대동소방,경기북부지사,김희진,137-81-86459,경기도 김포시 양촌읍 양곡2로 133-11,2016-12-12,031-989-8653,제조업(소화기약제 및 소화기계기구),일반
제2016-059호,㈜자파즈,대구지역본부,한지민,170-88-00272,대구광역시 동구 화랑로91길 18-17(용계동),2016-12-12,053-985-3881,제조업(섬유제품),자회사
제2016-060호,㈜백양실업,광주지역본부,최희숙,409-81-39642,전라남도 장성군 황룡면 신기길 93,2016-12-12,061-392-7900,"제조업(린넨), 세탁업",일반
제2016-063호,㈜현테크,충남지사,김승섭,868-81-00235,충청남도 아산시 둔포면 아산밸리서로 70-11,2016-12-29,041-547-0552,제조업(자동차부품),자회사
제2016-064호,연연칠백리(주),경남동부지사,유원관,195-86-00336,경상남도 거제시 연초면 오비3길 21-1,2016-12-29,055-635-2256,제조업(조선소모품),일반
제2016-066호,㈜이지앤,경기북부지사,박순식,127-86-35981,경기도 포천시 가산면 정금로473번길 16,2016-12-29,031-544-0882,제조업(플라스틱밀폐용기),일반
제2016-067호,㈜흥일기업,경기북부지사,정대완,121-81-01358,경기도 양주시 남면 현석로785번길 228,2016-12-29,031-863-4904,"제조업(린넨), 세탁업",일반
제2017-002호,㈜유상엠엘에스,대구지역본부,정창배,271-87-00016,경상북도 고령군 대가야읍 장기공단 1길 46,2017-02-24,054-956-3445,세탁업,일반
제2017-004호,㈜자연애나누미,전남지사,김도곤,678-81-00137,전라남도 순천시 별량면 봉림리 901-1,2017-03-10,061-723-0330,제조업(떡류),일반
제2017-005호,㈜우리행성,서울북부지사,유수진,658-88-00258,서울특별시 노원구 노원로32길 42-22(상계동),2017-04-21,02-933-1214,서비스업(카페 등),자회사
제2017-007호,(주)대건솔루션,전남지사,김범수,417-81-45301,전라남도 여수시 화양면 영터길 35-13,2017-04-21,061-691-9788,서비스업(세탁),일반
제2017-008호,(주)에이치엘티,제주지사,김창섭,249-87-00270,제주특별자치도 서귀포시 토평공단로127번길 23(토평동),2017-04-21,064-746-9996,서비스업(세탁),일반
제2017-009호,㈜비알인포텍,인천지사,"김경님, 오상록",122-86-43768,"인천광역시 연수구 송도과학로 32, M동 2001호",2017-05-25,031-364-8896,"제조업(무선통신기기, CCTV 등)",일반
제2017-010호,㈜성일정판,경남동부지사,신판갑,615-81-55252,경상남도 김해시 생림면 나전로 372,2017-05-25,055-325-1405,"제조업(종이상자, 식품용기 등)",일반
제2017-011호,㈜모두락,서울남부지사,이정석,731-88-00553,"서울특별시 강서구 하늘길 70 1층 L103-2호(과해동, 항공지원센터)",2017-06-13,070-7420-7497,"사업지원서비스업(네일아트, 사내카페 등)",자회사
제2017-013호,(사)나너우리,경기서부지사,김명정,402-82-25218,"경기도 의왕시 이미로 40, 에이동 213호(포일동, 인덕원아이티밸리)",2017-06-13,031-424-2111,"도소매업(컴퓨터 및 주변장치) 및 제조업(컴퓨터 등 전자부품 조립, 마스크), 인쇄업, 판촉물",일반
제2017-014호,㈜샤프에스이,인천지사,"김남기, 박성환",101-86-60227,인천광역시 서구 건지로97번길 33-37(석남동),2017-07-07,02-6096-6392,"식자재유통업, 사업지원서비스업",자회사
제2017-015호,㈜동구밭,경기동부지사,"노순호, 박상재",114-87-23152,"경기도 하남시 미사강변서로 25(풍산동, 미사테스타타워지식산업센터) 지하 3층 에프비 329호",2017-07-07,070-4842-9626,제조업(친환경 비누),일반
제2017-018호,스위트위드㈜,경기지역본부,박경섭,891-86-00486,경기도 평택시 진위면 경기대로 1952,2017-08-02,031-668-9302,제조업(과자 완제품 소분),자회사
제2017-019호,㈜기장사람들,부산지역본부,박상호,621-81-97543,부산광역시 기장군 일광면 일광로 747-2,2017-08-02,051-722-2248,제조업(수산물 가공),일반
제2017-020호,부산커피협동조합,부산지역본부,이성록,617-86-22368,"부산광역시 남구 황령대로319번가길 53(대연동, 1층)",2017-08-02,1877-1212,"제조업, 도소매업(커피 등)",일반
제2017-022호,청기와산업,대구지역본부,문무학,504-01-71057,대구광역시 북구 검단북로 2-13 (산격동),2017-08-25,053-381-9787,세탁업,일반
제2017-024호,㈜금경라이팅,부산지역본부,김금연,617-81-82323,부산광역시 기장군 정관읍 산단6로 12-6,2017-09-20,055-602-2222,제조업(조명기구 등),일반
제2017-025호,㈜이오에스,경기서부지사,김성희,749-87-00673,"경기도 부천시 도약로 261, 디동 1102호(도당동, 부천대우테크노파크)",2017-09-20,032-670-7714,제조업(LED실내조명 등),일반
제2017-027호,㈜코페아,부산지역본부,정광식,894-86-00689,"부산광역시 금정구 부산대학로63번길 2, 301호(장전동)",2017-10-11,051-510-2742,음식점업(커피 등),자회사
제2017-030호,씨앤비물산크린㈜,대구지역본부,김홍범,515-81-41782,경상북도 경산시 남산면 경리길 11-7,2017-10-19,053-852-5225,세탁업(의료기관 세탁물),일반
제2017-031호,㈜에이스엘이디,경기동부지사,"김민정, 정우숙",143-81-16962,경기도 용인시 처인구 남사면 처인성로 928 (완장리 316),2017-10-19,070-4410-3994,"제조업(전광판, CCTV, 전기공사, 태양광, 일반등, LED조명)",일반
제2017-033호,행복모아㈜,충북지사,안민,307-87-00542,충청북도 청주시 흥덕구 화계동 테크노폴리스 일반산업단지 에프 6-2,2017-11-03,043-901-7213,"세탁업, 제조업",자회사
제2017-034호,㈜원스타인터내셔널,인천지사,손재훈,120-87-27788,"인천광역시 연수구 송도미래로 30, 에이동 1404호, 1405호(송도동, 스마트밸리지식산업센터)",2017-11-03,032-299-0665,"제조업, 도소매업(전동칫솔 등)",일반
제2017-035호,엔젤위더스㈜,울산지사,이재수,486-87-00845,"경상남도 양산시 장터1길 5-11, 1층(중부동)",2017-11-03,055-912-9990,"제조업(제과, 제빵)",자회사
제2017-036호,㈜크린산업,강원지사,이미옥,178-86-00234,강원도 춘천시 동산면 원무동길 108-19,2017-11-03,033-241-7761,"제조업(종량제봉투, 쇼핑백, 우산비닐 등)",일반
제2017-037호,금강산업,경남동부지사,"박연실, 이상민",609-01-55600,경상남도 김해시 진례면 테크노밸리1로 115-12,2017-11-03,055-342-5696,제조업(자동차부품),일반
제2017-038호,꿈더하기 사회적협동조합,서울남부지사,전영화,415-82-15695,"서울특별시 영등포구 선유로3길 10, 106호, 405호 (문래동5가, 하우스디 비즈)",2017-11-10,02-842-9200,"제조업(빵류, 과자류, 견과류 외)",일반
제2017-039호,㈜케이펙,강원지사,김도영,420-86-00663,"강원도 강릉시 정원로 54, 9층(교동, 주니어타운)",2017-11-28,070-5003-6527,도매 및 소매업(농축산물),자회사
제2017-040호,오라이트,대전지역본부,노창현,502-26-65945,세종특별자치시 연기면 수왕로 507-16,2017-11-28,044-868-0084,"제조업(칫솔, 기타솔 등)",일반
제2017-041호,씨엠테크,광주지역본부,추용호,410-26-99001,광주광역시 광산구 평동로 803번길 146-14,2017-11-28,062-945-5310,제조업(가전제품),일반
제2017-042호,(유)성지에프앤디,전남지사,김재욱,411-81-84761,전라남도 무안군 청계면 청계공단1길 68,2017-11-28,061-281-7070,"제조업(떡류, 면류)",일반
제2017-044호,㈜삼덕씨앤피,대구지역본부,박상연,503-81-86374,대구광역시 달성군 논공읍 노이1길 46-16,2017-11-28,053-615-6600,"제조업((종이컵, 인쇄 등)",일반
제2017-045호,(사)동반성장산업협회,경기지역본부,임승택,561-82-00200,경기도 수원시 권선구 산업로156번길 201(고색동),2017-11-28,070-4213-1761,"제조업, 도소매업(LED조명, CCTV, 공기순환기 등)",일반
제2017-046호,㈜시아스쿡,충북지사,배상열,521-86-00476,충청북도 음성군 삼성면 대성로 274-38,2017-11-30,043-881-9455,제조업(식품류),자회사
제2018-001호,㈜광진산업,대전지역본부,정진백,305-81-60014,충청남도 금산군 추부면 장대리 549-1,2018-01-08,041-752-9922,제조업(위생용지 등),일반
제2018-002호,(사)꿈드래장애인협회,전북지사,하태복,402-82-12917,"전라북도 전주시 덕진구 기린대로 451, 1층(덕진동1가)",2018-01-08,063-261-7023,제조업(배전반 및 자동제어반 등),일반
제2018-005호,㈜크리앤조이,서울남부지사,함병섭,214-88-24517,"서울특별시 금천구 가마산로 72(가산동, 신화빌딩)",2018-02-07,02-704-7351,"도소매업(문구, 완구 등)",일반
제2018-008호,㈜위드케이텔,경기북부지사,김찬중,254-87-00646,"경기도 의정부시 산단로132번길 98, 비동(용현동)",2018-03-09,031-852-7372,제조업(소방용품),자회사
제2018-009호,㈜뉴딘파스텔,서울동부지사,한태정,532-87-00721,"서울특별시 강남구 영동대로 735(청담동, 골프존타워서울)",2018-03-28,070-8640-6235,공연단체(합창단),자회사
제2018-010호,㈜두루행복한세상,서울지역본부,이시우,607-86-09771,"서울특별시 중구 퇴계로 235, 218호(충무로4가, 남산센트럴 자이)",2018-03-28,1644-0728,"제조업, 도소매업(인쇄, 판촉물 등)",일반
제2018-011호,(사)한국장애인자립협회,부산지역본부,이혜영,606-82-09805,부산광역시 강서구 체육공원로52번길 79(대저1동),2018-03-28,051-959-4511,"제조업(종량제봉투), 용역(공공기관 이전 서비스)",일반
제2018-013호,㈜드림누리,서울남부지사,정만근,356-88-00857,서울특별시 강서구 마곡중앙로 150(마곡동),2018-04-10,02-6924-1302,사업시설관리 및 사업지원서비스업,자회사
제2018-014호,㈜큰희망,서울남부지사,김중혁,697-87-00877,"서울특별시 영등포구 버드나루로2길 7, 1층(영등포동2가, 흥국생명빌딩)",2018-05-04,070-8188-0566,사업시설 유지관리 서비스업 등,자회사
제2018-015호,파란행복㈜,서울동부지사,이호준,332-88-00851,"서울특별시 강남구 논현로85길 28, 1층(역삼동, 대한성서공회빌딩)",2018-05-04,02-2112-0980,"음식점업(카페), 서비스업(인쇄, 출판) 등",자회사
제2018-016호,(주)프로투게더,서울동부지사,장공진,436-87-00627,서울특별시 강남구 테헤란로 310 2층(두꺼비빌딩),2018-05-04,070-4334-2102,"제조업(인쇄물 등), 서비스업(문서보안 및 파쇄) 등",자회사
제2018-019호,담양실업,광주지역본부,"김경연, 장병님",389-81-01653,"전라남도 담양군 금성면 새덕굴길 64, 66",2018-05-23,061-381-2267,서비스업(세탁),일반
제2018-021호,(주)새빛테크놀러지,경기동부지사,"이경숙, 김상현",489-88-00410,경기도 광주시 오포읍 오포로 285-23,2018-05-31,031-798-6172,제조업(LED조명기구 등),일반
제2018-022호,(주)모던크린,전남지사,박병두,416-81-98222,전라남도 순천시 서면 산단2길 49,2018-05-31,061-752-8289,서비스업(세탁),일반
제2018-023호,㈜홍익덕원,서울남부지사,강자원,101-86-70652,"서울특별시 영등포구 영등포로5길 19, 8층 813호(양평동2가, 동아프라임밸리)",2018-06-07,02-6096-6393,"서비스업(콜센터, 주차관리 등)",자회사
제2018-025호,㈜그린누리,충북지사,이성호,710-86-01022,충청북도 청주시 흥덕구 옥산산단3로 9,2018-06-07,052-231-3332,"서비스업(카페, 청소 등)",자회사
제2018-026호,(유)삼일행복나눔,서울지역본부,황영달,499-87-00841,"서울특별시 용산구 한강대로 92, LS용산타워 5층",2018-06-12,02-3781-9623,"서비스업(카페, 기타 서비스)",자회사
제2018-027호,(사)우리들행복나눔,경기지역본부,송순호,124-82-20370,"경기도 평택시 고덕면 고덕중앙로 320, 937호(원희캐슬고덕 지식산업센터)",2018-06-14,031-749-2200,"제조업(종합가구, 인쇄, 일회용위생용품)",일반
제2018-029호,㈜티엘,경기북부지사,최종석,126-86-22940,"경기도 고양시 일산동구 하늘마을로 158(중산동, 대방트리플라온 C동 1202호)",2018-06-28,031-798-6198,제조업(조명기기 등),일반
제2018-030호,(사)아름다움나눔협회,경기북부지사,방준혁,394-82-00070,"경기도 고양시 덕양구 호국로 787, 306호(주교동, 원당메디컬프라자)",2018-06-28,070-4866-3218,"제조업(CCTV, LED, 전광판 등)",일반
제2018-031호,(주)쓰리에이치,전북지사,이현승,301-86-34085,"전라북도 전주시 덕진구 도당산2길 7, 1층",2018-07-10,063-250-9247,"서비스업(주차관리, 콜센터 등)",자회사
제2018-032호,(주)한빛누리,인천지사,홍영표,569-81-01147,"인천광역시 남동구 남동대로 150, 7층 708, 709호(고잔동)",2018-07-10,032-811-9200,"제조업(전자부품, 자동차 부품 등)",자회사
제2018-035호,(주)천우굿프랜즈,인천지사,우재금,121-86-14988,"인천광역시 남동구 호구포로 50, 2층 225호(고잔동, 엘아이지식산업센터)",2018-07-27,032-864-9988,"제조업(칫솔소독기, 판촉물 등)",일반
제2018-036호,(주)크린탑,광주지역본부,최원석,115-87-00550,"전라남도 장성군 삼서면 삼계리 310-1, 2",2018-07-27,061-394-7782,서비스업(세탁업),일반
제2018-037호,(주)한울타리,서울지역본부,김성욱,584-86-00991,"서울특별시 종로구 새문안로 58, 2층(신문로2가, LG광화문빌딩)",2018-08-08,02-3771-2100,"서비스업(사무지원서비스, 카페, 헬스키퍼 등)",자회사
제2018-039호,(사)한국사회적일자리개발원,경기지역본부,이정웅,778-82-00069,"경기도 수원시 영통구 매영로238번길 21, 5층 501호(원천동)",2018-09-13,031-705-9791,"제조업(컴퓨터, 배전반, CCTV 등)",일반
제2018-041호,㈜빛누리,경기북부지사,"이진철, 류경미",214-86-44708,경기도 김포시 통진읍 고척로 203,2018-09-28,031-989-3485,"제조업(전기조명장치, 태양광발전 등)",일반
제2018-042호,유진텍스타일,부산지역본부,"양정순, 이성규",606-11-73743,"부산광역시 사하구 장림로 283, 1층 101호, 102호(장림동)",2018-09-28,051-204-6257,"제조업(섬유, 피복제조 등)",일반
제2018-044호,대구쇼핑백,대구지역본부,김강진,504-03-78845,대구광역시 북구 오봉로 24길 13,2018-10-19,053-355-7405,제조업(쇼핑백),일반
제2018-045호,사회적협동조합 푸른하늘,경기동부지사,정성대,291-82-00107,경기도 용인시 처인구 원삼면 백원로262번길 46,2018-10-19,031-767-1825,"제조업(LED조명, 전기배전 ,CCTV, 비철처리 등)",일반
제2018-046호,라이트팹,경기서부지사,정태영,123-06-93672,경기도 안양시 만안구 덕천로34번길 35(안양동),2018-10-31,031-447-1165,"제조업(조명기구, 가로등주 등)",일반
제2018-048호,한국자재산업㈜,강원지사,김홍일,225-81-22349,강원특별자치도 영월군 영월읍 팔괴로 130-15,2018-11-02,033-373-8778,"제조업(가구제작, 이동식주택, 도료, 인쇄판촉 등), 도소매업(발전산업자재, 공구 등)",일반
제2018-049호,(주)모두락 애경산업,서울지역본부,김상준,467-86-01190,"서울특별시 마포구 양화로 188, 7층(동교동, 애경타워)",2018-11-09,02-768-2013,음식점업(사내카페),자회사
제2018-050호,제이에스산업,경남동부지사,송미령,761-34-00740,"경상남도 창원시 의창구 동읍 자여로78번길 7-26, B동 1층",2018-11-09,055-297-0005,서비스업(세탁),일반
제2018-052호,㈜오성누리,전북지사,정시양,251-86-00859,"전라북도 군산시 조촌로 149, 8층(조촌동)",2018-11-09,063-440-0700,"서비스업(전자의료의무기록 관리, 시스템개발 등)",자회사
제2018-053호,(주)이케이산업,경기북부지사,김영호,460-88-02310,경기도 파주시 조리읍 장곡리 602-16,2018-11-16,031-941-8433,서비스업(세탁),일반
제2018-054호,(주)네이처앤드피플,강원지사,김찬중,183-87-00136,강원도 춘천시 금강로83번길 26(조양동),2018-11-16,070-5121-0073,"제조업(인쇄물, 광고물 및 판촉물)",일반
제2018-055호,(주)위드플러스,경기북부지사,염규진,689-88-01076,"경기도 양주시 남면 화합로430번길 229-39, 가동, 나동",2018-11-16,031-863-6411,"제조업(태양광, 배전반, LED조명, CCTV, 경관조명등, 터널등 등)",일반
제2018-058호,현수산업,울산지사,김대현,620-08-34289,울산광역시 북구 괴정1길 10-10,2018-11-23,052-282-4512,제조업(자동차부품),일반
제2018-061호,(주)제주런드리,제주지사,이정근,613-86-00644,제주특별자치도 서귀포시 토평공단로139번길 5(토평동),2018-11-23,064-733-0053,서비스업(세탁),일반
제2018-063호,㈜더하이,광주지역본부,김정기,424-81-00258,광주광역시 광산구 평동산단7번로 72-28(연산동),2018-11-30,070-4070-0578,제조업(쌀과자 등),일반
제2018-065호,㈜신풍쇼핑백,대구지역본부,김영희,514-81-50783,대구광역시 달성군 현풍면 현풍서로 74,2018-11-30,053-767-8124,제조업(쇼핑백),일반
제2018-066호,신흥ENG,부산지역본부,이광호,605-29-61744,부산광역시 사하구 장평로15번길 1(장림동),2018-11-30,051-941-6455,"제조업(커텐, 블라인드 등)",일반
제2018-067호,한국엠씨(주),충남지사,서명렬,312-81-25994,충청남도 천안시 동남구 수신면 5산단4로 66,2018-11-30,041-556-6812,제조업(자동차부품),일반
제2018-071호,킹덤플랜트협동조합,경북지사,김한동,649-88-00555,경상북도 안동시 중앙로 72(동부동),2018-12-28,054-853-0207,"제조업(커피가공, 빵류)",일반
제2018-072호,(주)바르미글로벌크리닝,대구지역본부,김성곤,470-81-00891,대구광역시 수성구 팔현길 212(만촌동),2018-12-28,053-602-7103,서비스업(세탁),자회사
제2019-001호,㈜나눔세상,광주지역본부,"송민기, 이난희",768-86-00473,광주광역시 북구 첨단중앙로182번길 147(대촌동),2019-01-23,062-515-0991,"제조업(사무용가구, 인쇄물 등)",일반
제2019-002호,㈜행복한세상을만드는사람들,충남지사,차기순,293-88-00750,충청남도 당진시 대호지면 한다리길 60-11,2019-01-23,041-353-6161,제조업(화장지),자회사
제2019-004호,㈜춤추는북카페,충북지사,김윤모,301-86-19013,충청북도 청주시 상당구 가덕면 가덕시동길 74-4,2019-02-28,043-260-3116,제조업(커피 가공 등),일반
제2019-005호,투인산업㈜,인천지사,"박준희, 최영석",137-81-70087,인천광역시 서구 봉수대로 1171(백석동),2019-03-22,032-564-6907,제조업(교통안전표지판 등),일반
제2019-006호,㈜효성앤플러스,경기북부지사,조이금,804-86-00575,경기도 김포시 양촌읍 황금3로 75,2019-03-22,031-985-9827,"제조업(LED조명), 도소매업(건축자재 등)",일반
제2019-008호,㈜씨비엔유스타,충북지사,김양훈,165-86-00941,충청북도 청주시 서원구 충대로 1 N3-1,2019-04-09,043-2110-3490,음식점업(커피 등),자회사
제2019-009호,㈜예스바이오,서울지역본부,권용찬,110-81-84849,"서울특별시 서대문구 모래내로 227 (남가좌동, 지층및,1층,2층,3층)",2019-04-19,02-336-9111,제조업(치과용 합금 등),일반
제2019-010호,(유)청샘비앤에프,전북지사,최규완,402-86-02362,전라북도 전주시 완산구 삼천동 3가 309-9,2019-04-26,063-225-7475,제조업(닭 식육포장처리),일반
제2019-011호,㈜웹젠애플트리,경기동부지사,오현승,687-81-01178,"경기도 성남시 분당구 판교로 242, 1층(삼평동)",2019-04-26,031-627-6520,음식점업(카페),자회사
제2019-013호,㈜케이에스위드엔젤,강원지사,손영득,862-88-00236,강원도 춘천시 영서로 2491 (근화동),2019-05-10,033-815-8095,서비스업(콜센터 운영 등),자회사
제2019-014호,㈜향기내는사람들,경북지사,"임정택, 이민복",506-81-73091,"경상북도 포항시 북구 장량로226번길 6, 2층 (양덕동, 남천빌딩)",2019-05-10,054-262-4620,음식점업(카페),일반
제2019-015호,㈜제이투컴퍼니,경기지역본부,김정순,897-88-01323,경기도 화성시 봉담읍 시냇말길 35,2019-05-10,070-8802-7118,"제조업(CCTV, LED등)",일반
제2019-016호,해피엔젤㈜,서울북부지사,허재강,482-81-01253,"서울특별시 성동구 연주장5가길 7, 더블류 130호",2019-05-30,02-540-6134,음식점업(카페),자회사
제2019-017호,(주)거림이앤시,대구지역본부,이창원,363-88-01382,경상북도 고령군 대가야읍 장기공단1길 38-13,2019-05-30,054-955-1719,세탁업,자회사
제2019-019호,사단법인 장애인한빛,경기지역본부,권도근,158-82-00173,"경기도 수원시 권선구 오목천로152번길 40, 210호(고색동, 첨단벤처밸리)",2019-05-30,031-278-5662,"제조업(LED조명, CCTV 등)",일반
제2019-020호,(주)케이티희망지음,경기서부지사,김영진,441-88-01101,"경기도 과천시 새술막길 39, 2층(중앙동, kt과천스마트타워)",2019-06-11,02-504-8300,"사업지원서비스업(사무지원, 세차, 인쇄 등)",자회사
제2019-021호,㈜청신,경남동부지사,고동우,608-86-06122,경상남도 함안군 군북면 월촌리 2003-2 1층,2019-06-11,055-231-0340,세탁업,일반
제2019-022호,(주)엔씨소프트서비스,부산지역본부,조정호,120-87-38650,"부산광역시 동구 중앙대로 192(초량동, 한국교직원공제회 부산회관 4층)",2019-06-28,02-6201-8618,"사업지원서비스업(사무지원, 콜센터 등)",자회사
제2019-024호,(주)우리나눔,서울북부지사,이태영,878-81-01212,"서울특별시 성동구 아차산로15길 19, 1층(성수동2가)",2019-06-28,02-460-3011,"사업지원서비스업(사무지원, 헬스키퍼)",자회사
제2019-025호,농업회사법인 맛정㈜,경기지역본부,박민훈,267-88-00260,경기도 화성시 봉담읍 마당바위로 198,2019-07-16,031-296-0770,제조업(떡류),일반
제2019-026호,(사)전라북도장애인미술협회,전북지사,정성수,418-82-07059,전라북도 전주시 완산구 관선3길 21-15,2019-07-16,063-278-5978,제조업(인쇄),일반
제2019-027호,농업회사법인 ㈜화산,전북지사,박노희,403-81-56658,전라북도 익산시 금마면 호남로 1018,2019-07-16,063-833-0003,제조업(가금류 가공),일반
제2019-028호,스마일위드㈜,서울지역본부,신종훈,672-81-01273,서울특별시 중구 을지로 30,2019-08-12,02-779-5433,"사업지원서비스업(주방보조, 미화 등)",자회사
제2019-030호,㈜이투인,인천지사,임춘임,567-88-00840,"인천광역시 서구 거북로 25-50, 비동 2층(석남동)",2019-08-12,032-577-0940,제조업(LED 등),일반
제2019-031호,행복디딤(주),서울지역본부,한영수,734-88-01231,서울특별시 종로구 종로 26,2019-09-04,02-2121-7693,사업지원서비스업(사내 스팀세차 등),자회사
제2019-032호,행복키움(주),서울지역본부,한영수,539-88-01150,서울특별시 종로구 종로 26,2019-09-04,02-2121-7693,사업지원서비스업(사내 카페 등),자회사
제2019-033호,제주신화월드 행복공작소(주),제주지사,푸션천,175-88-01432,제주특별자치도 서귀포시 안덕면 녹차분재로 217,2019-09-04,064-794-3091,"사업지원서비스업(사내 카페, 시설관리)",자회사
제2019-034호,㈜엠컴(엠텍정보),광주지역본부,정성철,410-86-26915,광주광역시 서구 마륵로 13(마륵동),2019-09-04,062-961-5454,제조업(컴퓨터 및 주변기기),일반
제2019-035호,㈜로리에,인천지사,이진상,231-81-10120,인천광역시 서구 백범로 810(가좌동),2019-09-04,032-584-0981,제조업(목재가구),일반
제2019-036호,행복채움(주),경북지사,노주현,268-81-01661,경상북도 구미시 임수로 53(임수동),2019-09-10,054-470-8322,"사업지원서비스업(사내 환경미화, 인쇄 등)",자회사
제2019-037호,(주)세광산업조명,경기지역본부,이봉자,125-81-31515,경기도 평택시 청북읍 어소길 109-37,2019-09-10,031-683-8700,제조업(산업용조명기구 등),일반
제2019-038호,(사)더불어사는장애인복지회,광주지역본부,박숙희,409-82-10910,"광주광역시 북구 양일로 180, C동 별관 1층(양산동)",2019-09-25,062-525-6540,"제조업(배전반, 분전반 등)",일반
제2019-039호,(사)힘찬장애인복지회,광주지역본부,박치근,409-82-17913,"광주광역시 광산구 평동산단로143번길 16, 바동(월전동)",2019-09-25,062-511-1164,"제조업(배전반, 분전반 등)",일반
제2019-040호,㈜참전유공자회,경기북부지사,임혜림,823-81-00528,경기도 김포시 고촌읍 금파로213번길 265,2019-09-25,031-996-3081,"제조업(배전반, 전기자동제어반 등)",일반
제2019-041호,행복동행(주),경북지사,진석룡,846-81-01419,경상북도 영주시 가흥공단로 63(상줄동),2019-10-10,054-630-8496,"사업지원서비스업(세탁, 환경미화 등)",자회사
제2019-042호,(사)한국장애인사진콘텐츠협회,대전지역본부,김지환,731-82-00186,"대전광역시 동구 새울로 41, 2층 203호(판암동)",2019-10-16,042-274-5581,제조업(인쇄 등),일반
