발생연도,성별,국제질병분류,암종,발생자수,조발생률,연령표준화발생률
2005,여자,C70-C72,뇌 및 중추신경계,770,3.2,3.9
2005,여자,C73,갑상선,11046,45.5,52.6
2005,여자,C81,호지킨림프종,53,0.2,0.2
2005,여자,"C82-C86,C96",비호지킨림프종,1091,4.5,6.0
2005,여자,C90,다발성 골수종,388,1.6,2.3
2005,여자,C91-C95,백혈병,1015,4.2,4.9
2005,여자,Re.C00-C96,기타 암,4743,19.5,27.4
2006,남녀전체,C00-C96,모든암,155120,317.3,476.9
2006,남녀전체,C00-C14,"입술, 구강 및 인두",2312,4.7,7.0
2006,남녀전체,C15,식도,2049,4.2,7.0
2006,남녀전체,C16,위,26463,54.1,84.6
2006,남녀전체,C18-C20,대장,19941,40.8,64.9
2006,남녀전체,C22,간,14994,30.7,47.0
2006,남녀전체,C23-C24,담낭 및 기타담도,4147,8.5,14.9
2006,남녀전체,C25,췌장,3802,7.8,13.3
2006,남녀전체,C32,후두,1073,2.2,3.6
2006,남녀전체,C33-C34,폐,17767,36.3,62.0
2006,남녀전체,C50,유방,10965,22.4,27.0
2006,남녀전체,C53,자궁경부,4069,8.3,10.9
2006,남녀전체,C54,자궁체부,1293,2.6,3.5
2006,남녀전체,C56,난소,1716,3.5,4.6
2006,남녀전체,C61,전립선,4535,9.3,16.4
2006,남녀전체,C62,고환,182,0.4,0.3
2006,남녀전체,C64,신장,2667,5.5,7.9
2006,남녀전체,C67,방광,3092,6.3,10.8
2006,남녀전체,C70-C72,뇌 및 중추신경계,1565,3.2,4.0
2006,남녀전체,C73,갑상선,16200,33.1,38.2
2006,남녀전체,C81,호지킨림프종,177,0.4,0.4
2006,남녀전체,"C82-C86,C96",비호지킨림프종,2773,5.7,8.0
2006,남녀전체,C90,다발성 골수종,771,1.6,2.6
2006,남녀전체,C91-C95,백혈병,2446,5.0,6.2
2006,남녀전체,Re.C00-C96,기타 암,10121,20.7,31.9
2006,남자,C00-C96,모든암,83079,339.0,631.9
2006,남자,C00-C14,"입술, 구강 및 인두",1704,7.0,11.9
2006,남자,C15,식도,1880,7.7,15.3
2006,남자,C16,위,17756,72.5,132.6
2006,남자,C18-C20,대장,11695,47.7,88.4
2006,남자,C22,간,11237,45.9,77.5
2006,남자,C23-C24,담낭 및 기타담도,2135,8.7,18.4
2006,남자,C25,췌장,2094,8.5,17.2
2006,남자,C32,후두,996,4.1,7.8
2006,남자,C33-C34,폐,12705,51.8,109.9
2006,남자,C50,유방,51,0.2,0.4
2006,남자,C53,자궁경부,0,,
2006,남자,C54,자궁체부,0,,
2006,남자,C56,난소,0,,
2006,남자,C61,전립선,4535,18.5,42.5
2006,남자,C62,고환,182,0.7,0.7
2006,남자,C64,신장,1820,7.4,11.9
2006,남자,C67,방광,2504,10.2,21.9
2006,남자,C70-C72,뇌 및 중추신경계,812,3.3,4.4
2006,남자,C73,갑상선,2345,9.6,11.7
2006,남자,C81,호지킨림프종,109,0.4,0.5
2006,남자,"C82-C86,C96",비호지킨림프종,1650,6.7,10.6
2006,남자,C90,다발성 골수종,385,1.6,3.0
2006,남자,C91-C95,백혈병,1345,5.5,7.6
2006,남자,Re.C00-C96,기타 암,5139,21.0,37.7
2006,여자,C00-C96,모든암,72041,295.5,383.1
2006,여자,C00-C14,"입술, 구강 및 인두",608,2.5,3.2
2006,여자,C15,식도,169,0.7,1.0
2006,여자,C16,위,8707,35.7,49.1
2006,여자,C18-C20,대장,8246,33.8,48.0
2006,여자,C22,간,3757,15.4,22.2
2006,여자,C23-C24,담낭 및 기타담도,2012,8.3,12.5
2006,여자,C25,췌장,1708,7.0,10.4
2006,여자,C32,후두,77,0.3,0.5
2006,여자,C33-C34,폐,5062,20.8,30.4
2006,여자,C50,유방,10914,44.8,52.3
2006,여자,C53,자궁경부,4069,16.7,20.3
2006,여자,C54,자궁체부,1293,5.3,6.8
2006,여자,C56,난소,1716,7.0,8.7
2006,여자,C61,전립선,0,,
2006,여자,C62,고환,0,,
2006,여자,C64,신장,847,3.5,4.6
2006,여자,C67,방광,588,2.4,3.6
2006,여자,C70-C72,뇌 및 중추신경계,753,3.1,3.7
2006,여자,C73,갑상선,13855,56.8,64.2
2006,여자,C81,호지킨림프종,68,0.3,0.3
2006,여자,"C82-C86,C96",비호지킨림프종,1123,4.6,6.0
2006,여자,C90,다발성 골수종,386,1.6,2.3
2006,여자,C91-C95,백혈병,1101,4.5,5.2
2006,여자,Re.C00-C96,기타 암,4982,20.4,28.0
2007,남녀전체,C00-C96,모든암,168317,342.6,497.4
2007,남녀전체,C00-C14,"입술, 구강 및 인두",2467,5.0,7.3
2007,남녀전체,C15,식도,2112,4.3,7.0
2007,남녀전체,C16,위,26854,54.7,82.7
2007,남녀전체,C18-C20,대장,21568,43.9,67.7
2007,남녀전체,C22,간,15424,31.4,46.9
2007,남녀전체,C23-C24,담낭 및 기타담도,4401,9.0,15.2
2007,남녀전체,C25,췌장,4083,8.3,13.7
2007,남녀전체,C32,후두,1121,2.3,3.6
2007,남녀전체,C33-C34,폐,18498,37.7,62.2
2007,남녀전체,C50,유방,12052,24.5,28.8
2007,남녀전체,C53,자궁경부,3790,7.7,9.7
2007,남녀전체,C54,자궁체부,1391,2.8,3.7
2007,남녀전체,C56,난소,1931,3.9,5.1
2007,남녀전체,C61,전립선,5574,11.3,19.1
2007,남녀전체,C62,고환,182,0.4,0.3
2007,남녀전체,C64,신장,2969,6.0,8.6
2007,남녀전체,C67,방광,3249,6.6,10.8
2007,남녀전체,C70-C72,뇌 및 중추신경계,1683,3.4,4.2
2007,남녀전체,C73,갑상선,21331,43.4,49.4
2007,남녀전체,C81,호지킨림프종,205,0.4,0.5
2007,남녀전체,"C82-C86,C96",비호지킨림프종,2936,6.0,8.3
2007,남녀전체,C90,다발성 골수종,890,1.8,2.8
2007,남녀전체,C91-C95,백혈병,2476,5.0,6.1
2007,남녀전체,Re.C00-C96,기타 암,11130,22.7,33.8
2007,남자,C00-C96,모든암,88670,360.1,646.9
2007,남자,C00-C14,"입술, 구강 및 인두",1818,7.4,12.3
2007,남자,C15,식도,1907,7.7,14.9
2007,남자,C16,위,17907,72.7,128.5
2007,남자,C18-C20,대장,12790,51.9,92.5
2007,남자,C22,간,11530,46.8,77.2
2007,남자,C23-C24,담낭 및 기타담도,2191,8.9,18.4
2007,남자,C25,췌장,2273,9.2,17.9
2007,남자,C32,후두,1054,4.3,7.9
2007,남자,C33-C34,폐,13227,53.7,110.2
2007,남자,C50,유방,35,0.1,0.3
2007,남자,C53,자궁경부,0,,
2007,남자,C54,자궁체부,0,,
2007,남자,C56,난소,0,,
2007,남자,C61,전립선,5574,22.6,48.7
2007,남자,C62,고환,182,0.7,0.7
2007,남자,C64,신장,2047,8.3,13.1
2007,남자,C67,방광,2579,10.5,21.1
2007,남자,C70-C72,뇌 및 중추신경계,880,3.6,4.8
2007,남자,C73,갑상선,3200,13.0,15.2
2007,남자,C81,호지킨림프종,131,0.5,0.7
2007,남자,"C82-C86,C96",비호지킨림프종,1742,7.1,11.0
2007,남자,C90,다발성 골수종,460,1.9,3.4
2007,남자,C91-C95,백혈병,1388,5.6,7.7
2007,남자,Re.C00-C96,기타 암,5755,23.4,40.2
2007,여자,C00-C96,모든암,79647,325.0,409.2
2007,여자,C00-C14,"입술, 구강 및 인두",649,2.6,3.4
2007,여자,C15,식도,205,0.8,1.2
2007,여자,C16,위,8947,36.5,48.6
2007,여자,C18-C20,대장,8778,35.8,49.4
2007,여자,C22,간,3894,15.9,22.2
2007,여자,C23-C24,담낭 및 기타담도,2210,9.0,13.0
2007,여자,C25,췌장,1810,7.4,10.6
2007,여자,C32,후두,67,0.3,0.4
2007,여자,C33-C34,폐,5271,21.5,30.6
2007,여자,C50,유방,12017,49.0,56.1
2007,여자,C53,자궁경부,3790,15.5,18.4
2007,여자,C54,자궁체부,1391,5.7,7.1
2007,여자,C56,난소,1931,7.9,9.6
2007,여자,C61,전립선,0,,
2007,여자,C62,고환,0,,
2007,여자,C64,신장,922,3.8,4.9
2007,여자,C67,방광,670,2.7,3.9
2007,여자,C70-C72,뇌 및 중추신경계,803,3.3,3.9
2007,여자,C73,갑상선,18131,74.0,82.9
2007,여자,C81,호지킨림프종,74,0.3,0.3
2007,여자,"C82-C86,C96",비호지킨림프종,1194,4.9,6.3
2007,여자,C90,다발성 골수종,430,1.8,2.4
2007,여자,C91-C95,백혈병,1088,4.4,5.0
2007,여자,Re.C00-C96,기타 암,5375,21.9,29.3
2008,남녀전체,C00-C96,모든암,182893,370.2,517.8
2008,남녀전체,C00-C14,"입술, 구강 및 인두",2640,5.3,7.4
2008,남녀전체,C15,식도,2205,4.5,6.9
2008,남녀전체,C16,위,28427,57.5,84.0
2008,남녀전체,C18-C20,대장,23275,47.1,70.1
2008,남녀전체,C22,간,15815,32.0,46.4
2008,남녀전체,C23-C24,담낭 및 기타담도,4564,9.2,15.0
2008,남녀전체,C25,췌장,4381,8.9,14.0
2008,남녀전체,C32,후두,1108,2.2,3.5
2008,남녀전체,C33-C34,폐,19204,38.9,61.6
2008,남녀전체,C50,유방,12919,26.1,30.4
2008,남녀전체,C53,자궁경부,4034,8.2,10.0
2008,남녀전체,C54,자궁체부,1595,3.2,4.1
2008,남녀전체,C56,난소,1905,3.9,4.8
2008,남녀전체,C61,전립선,6651,13.5,21.6
2008,남녀전체,C62,고환,177,0.4,0.3
2008,남녀전체,C64,신장,3268,6.6,9.1
2008,남녀전체,C67,방광,3343,6.8,10.7
2008,남녀전체,C70-C72,뇌 및 중추신경계,1693,3.4,4.1
2008,남녀전체,C73,갑상선,27373,55.4,62.0
2008,남녀전체,C81,호지킨림프종,219,0.4,0.5
2008,남녀전체,"C82-C86,C96",비호지킨림프종,3006,6.1,8.2
2008,남녀전체,C90,다발성 골수종,918,1.9,2.8
2008,남녀전체,C91-C95,백혈병,2601,5.3,6.3
2008,남녀전체,Re.C00-C96,기타 암,11572,23.4,34.0
2008,남자,C00-C96,모든암,95055,384.0,660.3
2008,남자,C00-C14,"입술, 구강 및 인두",1954,7.9,12.4
2008,남자,C15,식도,2008,8.1,14.9
2008,남자,C16,위,19116,77.2,131.3
2008,남자,C18-C20,대장,13946,56.3,96.0
2008,남자,C22,간,11906,48.1,76.6
2008,남자,C23-C24,담낭 및 기타담도,2260,9.1,17.8
2008,남자,C25,췌장,2442,9.9,18.4
2008,남자,C32,후두,1032,4.2,7.7
2008,남자,C33-C34,폐,13645,55.1,107.6
2008,남자,C50,유방,76,0.3,0.6
2008,남자,C53,자궁경부,0,,
2008,남자,C54,자궁체부,0,,
2008,남자,C56,난소,0,,
2008,남자,C61,전립선,6651,26.9,54.4
2008,남자,C62,고환,177,0.7,0.6
2008,남자,C64,신장,2252,9.1,13.8
2008,남자,C67,방광,2675,10.8,21.0
2008,남자,C70-C72,뇌 및 중추신경계,903,3.6,4.7
2008,남자,C73,갑상선,4349,17.6,20.2
2008,남자,C81,호지킨림프종,131,0.5,0.6
2008,남자,"C82-C86,C96",비호지킨림프종,1748,7.1,10.7
2008,남자,C90,다발성 골수종,493,2.0,3.5
2008,남자,C91-C95,백혈병,1453,5.9,7.7
2008,남자,Re.C00-C96,기타 암,5838,23.6,39.7
2008,여자,C00-C96,모든암,87838,356.4,435.6
2008,여자,C00-C14,"입술, 구강 및 인두",686,2.8,3.5
2008,여자,C15,식도,197,0.8,1.1
2008,여자,C16,위,9311,37.8,48.7
2008,여자,C18-C20,대장,9329,37.8,50.6
2008,여자,C22,간,3909,15.9,21.6
2008,여자,C23-C24,담낭 및 기타담도,2304,9.3,13.0
2008,여자,C25,췌장,1939,7.9,10.8
2008,여자,C32,후두,76,0.3,0.4
2008,여자,C33-C34,폐,5559,22.6,30.9
2008,여자,C50,유방,12843,52.1,59.0
2008,여자,C53,자궁경부,4034,16.4,18.9
2008,여자,C54,자궁체부,1595,6.5,7.9
2008,여자,C56,난소,1905,7.7,9.1
2008,여자,C61,전립선,0,,
2008,여자,C62,고환,0,,
2008,여자,C64,신장,1016,4.1,5.2
2008,여자,C67,방광,668,2.7,3.7
2008,여자,C70-C72,뇌 및 중추신경계,790,3.2,3.7
2008,여자,C73,갑상선,23024,93.4,103.1
2008,여자,C81,호지킨림프종,88,0.4,0.4
2008,여자,"C82-C86,C96",비호지킨림프종,1258,5.1,6.3
2008,여자,C90,다발성 골수종,425,1.7,2.4
2008,여자,C91-C95,백혈병,1148,4.7,5.3
2008,여자,Re.C00-C96,기타 암,5734,23.3,30.0
2009,남녀전체,C00-C96,모든암,196898,396.5,536.4
2009,남녀전체,C00-C14,"입술, 구강 및 인두",2594,5.2,7.0
2009,남녀전체,C15,식도,2175,4.4,6.5
2009,남녀전체,C16,위,30066,60.5,85.5
2009,남녀전체,C18-C20,대장,25577,51.5,74.2
2009,남녀전체,C22,간,16041,32.3,45.2
2009,남녀전체,C23-C24,담낭 및 기타담도,5032,10.1,15.8
2009,남녀전체,C25,췌장,4505,9.1,13.8
2009,남녀전체,C32,후두,1171,2.4,3.5
2009,남녀전체,C33-C34,폐,20147,40.6,61.9
2009,남녀전체,C50,유방,13737,27.7,31.6
2009,남녀전체,C53,자궁경부,3852,7.8,9.5
2009,남녀전체,C54,자궁체부,1750,3.5,4.3
2009,남녀전체,C56,난소,1859,3.7,4.6
2009,남녀전체,C61,전립선,7570,15.2,23.4
2009,남녀전체,C62,고환,202,0.4,0.4
2009,남녀전체,C64,신장,3523,7.1,9.5
2009,남녀전체,C67,방광,3336,6.7,10.3
2009,남녀전체,C70-C72,뇌 및 중추신경계,1725,3.5,4.2
2009,남녀전체,C73,갑상선,32586,65.6,72.0
2009,남녀전체,C81,호지킨림프종,220,0.4,0.5
2009,남녀전체,"C82-C86,C96",비호지킨림프종,3240,6.5,8.5
2009,남녀전체,C90,다발성 골수종,1039,2.1,3.0
2009,남녀전체,C91-C95,백혈병,2714,5.5,6.5
2009,남녀전체,Re.C00-C96,기타 암,12237,24.6,34.7
2009,남자,C00-C96,모든암,101333,407.3,672.1
2009,남자,C00-C14,"입술, 구강 및 인두",1929,7.8,11.8
2009,남자,C15,식도,2011,8.1,14.1
2009,남자,C16,위,20155,81.0,131.6
2009,남자,C18-C20,대장,15422,62.0,102.3
2009,남자,C22,간,11990,48.2,73.8
2009,남자,C23-C24,담낭 및 기타담도,2528,10.2,19.1
2009,남자,C25,췌장,2477,10.0,17.9
2009,남자,C32,후두,1103,4.4,7.5
2009,남자,C33-C34,폐,14312,57.5,107.4
2009,남자,C50,유방,62,0.2,0.4
2009,남자,C53,자궁경부,0,,
2009,남자,C54,자궁체부,0,,
2009,남자,C56,난소,0,,
2009,남자,C61,전립선,7570,30.4,58.2
2009,남자,C62,고환,202,0.8,0.7
2009,남자,C64,신장,2376,9.6,14.1
2009,남자,C67,방광,2656,10.7,20.1
2009,남자,C70-C72,뇌 및 중추신경계,931,3.7,4.7
2009,남자,C73,갑상선,5255,21.1,23.7
2009,남자,C81,호지킨림프종,146,0.6,0.7
2009,남자,"C82-C86,C96",비호지킨림프종,1878,7.5,11.2
2009,남자,C90,다발성 골수종,577,2.3,3.9
2009,남자,C91-C95,백혈병,1503,6.0,7.8
2009,남자,Re.C00-C96,기타 암,6250,25.1,41.0
2009,여자,C00-C96,모든암,95565,385.6,459.0
2009,여자,C00-C14,"입술, 구강 및 인두",665,2.7,3.2
2009,여자,C15,식도,164,0.7,0.9
2009,여자,C16,위,9911,40.0,50.0
2009,여자,C18-C20,대장,10155,41.0,53.0
2009,여자,C22,간,4051,16.3,21.4
2009,여자,C23-C24,담낭 및 기타담도,2504,10.1,13.5
2009,여자,C25,췌장,2028,8.2,10.8
2009,여자,C32,후두,68,0.3,0.4
2009,여자,C33-C34,폐,5835,23.5,31.2
2009,여자,C50,유방,13675,55.2,61.5
2009,여자,C53,자궁경부,3852,15.5,17.9
2009,여자,C54,자궁체부,1750,7.1,8.4
2009,여자,C56,난소,1859,7.5,8.7
2009,여자,C61,전립선,0,,
2009,여자,C62,고환,0,,
2009,여자,C64,신장,1147,4.6,5.8
2009,여자,C67,방광,680,2.7,3.6
2009,여자,C70-C72,뇌 및 중추신경계,794,3.2,3.7
2009,여자,C73,갑상선,27331,110.3,119.9
2009,여자,C81,호지킨림프종,74,0.3,0.3
2009,여자,"C82-C86,C96",비호지킨림프종,1362,5.5,6.6
2009,여자,C90,다발성 골수종,462,1.9,2.5
2009,여자,C91-C95,백혈병,1211,4.9,5.6
2009,여자,Re.C00-C96,기타 암,5987,24.2,30.2
2010,남녀전체,C00-C96,모든암,208777,418.6,548.2
2010,남녀전체,C00-C14,"입술, 구강 및 인두",2832,5.7,7.5
2010,남녀전체,C15,식도,2252,4.5,6.5
2010,남녀전체,C16,위,30770,61.7,84.4
2010,남녀전체,C18-C20,대장,26767,53.7,74.6
2010,남녀전체,C22,간,16217,32.5,44.3
2010,남녀전체,C23-C24,담낭 및 기타담도,5182,10.4,15.6
2010,남녀전체,C25,췌장,4767,9.6,14.0
2010,남녀전체,C32,후두,1183,2.4,3.4
2010,남녀전체,C33-C34,폐,21373,42.8,62.9
2010,남녀전체,C50,유방,14759,29.6,33.2
2010,남녀전체,C53,자궁경부,4031,8.1,9.5
2010,남녀전체,C54,자궁체부,1812,3.6,4.3
2010,남녀전체,C56,난소,2081,4.2,5.0
2010,남녀전체,C61,전립선,8202,16.4,24.3
2010,남녀전체,C62,고환,211,0.4,0.4
2010,남녀전체,C64,신장,3691,7.4,9.6
2010,남녀전체,C67,방광,3553,7.1,10.5
2010,남녀전체,C70-C72,뇌 및 중추신경계,1811,3.6,4.3
2010,남녀전체,C73,갑상선,36873,73.9,79.8
2010,남녀전체,C81,호지킨림프종,249,0.5,0.5
2010,남녀전체,"C82-C86,C96",비호지킨림프종,3386,6.8,8.7
2010,남녀전체,C90,다발성 골수종,1081,2.2,3.0
2010,남녀전체,C91-C95,백혈병,2761,5.5,6.5
2010,남녀전체,Re.C00-C96,기타 암,12933,25.9,35.3
2010,남자,C00-C96,모든암,106359,425.8,675.8
2010,남자,C00-C14,"입술, 구강 및 인두",2009,8.0,12.0
2010,남자,C15,식도,2064,8.3,13.9
2010,남자,C16,위,20599,82.5,129.3
2010,남자,C18-C20,대장,16224,65.0,102.5
2010,남자,C22,간,12060,48.3,71.9
2010,남자,C23-C24,담낭 및 기타담도,2701,10.8,19.4
2010,남자,C25,췌장,2569,10.3,17.4
2010,남자,C32,후두,1107,4.4,7.3
2010,남자,C33-C34,폐,15064,60.3,108.2
2010,남자,C50,유방,70,0.3,0.4
2010,남자,C53,자궁경부,0,,
2010,남자,C54,자궁체부,0,,
2010,남자,C56,난소,0,,
2010,남자,C61,전립선,8202,32.8,60.3
2010,남자,C62,고환,211,0.8,0.8
2010,남자,C64,신장,2586,10.4,14.7
2010,남자,C67,방광,2863,11.5,20.5
2010,남자,C70-C72,뇌 및 중추신경계,971,3.9,4.9
2010,남자,C73,갑상선,6368,25.5,28.0
2010,남자,C81,호지킨림프종,172,0.7,0.8
2010,남자,"C82-C86,C96",비호지킨림프종,1955,7.8,11.2
2010,남자,C90,다발성 골수종,571,2.3,3.8
2010,남자,C91-C95,백혈병,1572,6.3,8.1
2010,남자,Re.C00-C96,기타 암,6421,25.7,40.4
2010,여자,C00-C96,모든암,102418,411.3,477.2
2010,여자,C00-C14,"입술, 구강 및 인두",823,3.3,3.9
2010,여자,C15,식도,188,0.8,1.0
2010,여자,C16,위,10171,40.8,49.7
2010,여자,C18-C20,대장,10543,42.3,52.9
2010,여자,C22,간,4157,16.7,21.2
2010,여자,C23-C24,담낭 및 기타담도,2481,10.0,12.9
2010,여자,C25,췌장,2198,8.8,11.3
2010,여자,C32,후두,76,0.3,0.4
2010,여자,C33-C34,폐,6309,25.3,32.3
2010,여자,C50,유방,14689,59.0,64.9
2010,여자,C53,자궁경부,4031,16.2,18.1
2010,여자,C54,자궁체부,1812,7.3,8.5
2010,여자,C56,난소,2081,8.4,9.5
2010,여자,C61,전립선,0,,
2010,여자,C62,고환,0,,
2010,여자,C64,신장,1105,4.4,5.3
2010,여자,C67,방광,690,2.8,3.6
2010,여자,C70-C72,뇌 및 중추신경계,840,3.4,3.8
2010,여자,C73,갑상선,30505,122.5,131.3
2010,여자,C81,호지킨림프종,77,0.3,0.3
2010,여자,"C82-C86,C96",비호지킨림프종,1431,5.7,6.9
2010,여자,C90,다발성 골수종,510,2.0,2.6
2010,여자,C91-C95,백혈병,1189,4.8,5.3
2010,여자,Re.C00-C96,기타 암,6512,26.1,31.7
2011,남녀전체,C00-C96,모든암,222996,445.0,566.0
2011,남녀전체,C00-C14,"입술, 구강 및 인두",2955,5.9,7.5
2011,남녀전체,C15,식도,2290,4.6,6.4
2011,남녀전체,C16,위,32041,63.9,84.8
2011,남녀전체,C18-C20,대장,28758,57.4,77.2
2011,남녀전체,C22,간,16434,32.8,43.2
2011,남녀전체,C23-C24,담낭 및 기타담도,5444,10.9,15.7
2011,남녀전체,C25,췌장,5185,10.3,14.6
2011,남녀전체,C32,후두,1136,2.3,3.1
2011,남녀전체,C33-C34,폐,22331,44.6,63.1
2011,남녀전체,C50,유방,16261,32.4,35.9
2011,남녀전체,C53,자궁경부,3828,7.6,8.8
2011,남녀전체,C54,자궁체부,1964,3.9,4.5
2011,남녀전체,C56,난소,2086,4.2,4.9
2011,남녀전체,C61,전립선,9159,18.3,26.1
2011,남녀전체,C62,고환,228,0.5,0.4
2011,남녀전체,C64,신장,4043,8.1,10.1
2011,남녀전체,C67,방광,3692,7.4,10.5
2011,남녀전체,C70-C72,뇌 및 중추신경계,1688,3.4,3.9
2011,남녀전체,C73,갑상선,41396,82.6,88.2
2011,남녀전체,C81,호지킨림프종,265,0.5,0.6
2011,남녀전체,"C82-C86,C96",비호지킨림프종,3666,7.3,9.1
2011,남녀전체,C90,다발성 골수종,1080,2.2,2.9
2011,남녀전체,C91-C95,백혈병,2902,5.8,6.7
2011,남녀전체,Re.C00-C96,기타 암,14164,28.3,37.5
2011,남자,C00-C96,모든암,112594,448.9,686.9
2011,남자,C00-C14,"입술, 구강 및 인두",2157,8.6,12.3
2011,남자,C15,식도,2092,8.3,13.5
2011,남자,C16,위,21592,86.1,130.0
2011,남자,C18-C20,대장,17558,70.0,106.9
2011,남자,C22,간,12190,48.6,70.1
2011,남자,C23-C24,담낭 및 기타담도,2749,11.0,19.1
2011,남자,C25,췌장,2864,11.4,18.8
2011,남자,C32,후두,1069,4.3,6.8
2011,남자,C33-C34,폐,15530,61.9,106.4
2011,남자,C50,유방,75,0.3,0.5
2011,남자,C53,자궁경부,0,,
2011,남자,C54,자궁체부,0,,
2011,남자,C56,난소,0,,
2011,남자,C61,전립선,9159,36.5,63.3
2011,남자,C62,고환,228,0.9,0.8
2011,남자,C64,신장,2764,11.0,15.2
2011,남자,C67,방광,2973,11.9,20.7
2011,남자,C70-C72,뇌 및 중추신경계,890,3.5,4.4
2011,남자,C73,갑상선,7121,28.4,30.4
2011,남자,C81,호지킨림프종,167,0.7,0.7
2011,남자,"C82-C86,C96",비호지킨림프종,2114,8.4,11.7
2011,남자,C90,다발성 골수종,609,2.4,3.8
2011,남자,C91-C95,백혈병,1622,6.5,8.2
2011,남자,Re.C00-C96,기타 암,7071,28.2,43.1
2011,여자,C00-C96,모든암,110402,441.1,500.8
2011,여자,C00-C14,"입술, 구강 및 인두",798,3.2,3.7
2011,여자,C15,식도,198,0.8,1.0
2011,여자,C16,위,10449,41.7,49.6
2011,여자,C18-C20,대장,11200,44.7,54.2
2011,여자,C22,간,4244,17.0,20.8
2011,여자,C23-C24,담낭 및 기타담도,2695,10.8,13.4
2011,여자,C25,췌장,2321,9.3,11.5
2011,여자,C32,후두,67,0.3,0.3
2011,여자,C33-C34,폐,6801,27.2,33.5
2011,여자,C50,유방,16186,64.7,70.3
2011,여자,C53,자궁경부,3828,15.3,16.8
2011,여자,C54,자궁체부,1964,7.8,8.9
2011,여자,C56,난소,2086,8.3,9.3
2011,여자,C61,전립선,0,,
2011,여자,C62,고환,0,,
2011,여자,C64,신장,1279,5.1,6.0
2011,여자,C67,방광,719,2.9,3.6
2011,여자,C70-C72,뇌 및 중추신경계,798,3.2,3.6
2011,여자,C73,갑상선,34275,136.9,145.5
2011,여자,C81,호지킨림프종,98,0.4,0.4
2011,여자,"C82-C86,C96",비호지킨림프종,1552,6.2,7.2
2011,여자,C90,다발성 골수종,471,1.9,2.3
2011,여자,C91-C95,백혈병,1280,5.1,5.5
2011,여자,Re.C00-C96,기타 암,7093,28.3,33.5
2012,남녀전체,C00-C96,모든암,228956,454.8,562.6
2012,남녀전체,C00-C14,"입술, 구강 및 인두",3013,6.0,7.5
2012,남녀전체,C15,식도,2391,4.7,6.4
2012,남녀전체,C16,위,31215,62.0,79.9
2012,남녀전체,C18-C20,대장,29617,58.8,76.6
2012,남녀전체,C22,간,16187,32.2,41.2
2012,남녀전체,C23-C24,담낭 및 기타담도,5579,11.1,15.4
2012,남녀전체,C25,췌장,5524,11.0,14.9
2012,남녀전체,C32,후두,1128,2.2,3.0
2012,남녀전체,C33-C34,폐,22646,45.0,61.5
2012,남녀전체,C50,유방,16873,33.5,36.8
2012,남녀전체,C53,자궁경부,3698,7.3,8.3
2012,남녀전체,C54,자궁체부,2014,4.0,4.6
2012,남녀전체,C56,난소,2239,4.4,5.1
2012,남녀전체,C61,전립선,9458,18.8,25.9
2012,남녀전체,C62,고환,248,0.5,0.5
2012,남녀전체,C64,신장,4226,8.4,10.3
2012,남녀전체,C67,방광,3644,7.2,9.9
2012,남녀전체,C70-C72,뇌 및 중추신경계,1751,3.5,4.0
2012,남녀전체,C73,갑상선,44798,89.0,94.3
2012,남녀전체,C81,호지킨림프종,269,0.5,0.6
2012,남녀전체,"C82-C86,C96",비호지킨림프종,3787,7.5,9.1
2012,남녀전체,C90,다발성 골수종,1295,2.6,3.4
2012,남녀전체,C91-C95,백혈병,2872,5.7,6.6
2012,남녀전체,Re.C00-C96,기타 암,14484,28.8,37.1
2012,남자,C00-C96,모든암,114713,455.4,672.5
2012,남자,C00-C14,"입술, 구강 및 인두",2206,8.8,12.1
2012,남자,C15,식도,2165,8.6,13.3
2012,남자,C16,위,21070,83.7,121.8
2012,남자,C18-C20,대장,17822,70.8,104.2
2012,남자,C22,간,12138,48.2,67.7
2012,남자,C23-C24,담낭 및 기타담도,2863,11.4,19.0
2012,남자,C25,췌장,3004,11.9,18.8
2012,남자,C32,후두,1064,4.2,6.5
2012,남자,C33-C34,폐,15679,62.2,103.0
2012,남자,C50,유방,70,0.3,0.4
2012,남자,C53,자궁경부,0,,
2012,남자,C54,자궁체부,0,,
2012,남자,C56,난소,0,,
2012,남자,C61,전립선,9458,37.6,62.9
2012,남자,C62,고환,248,1.0,0.9
2012,남자,C64,신장,2927,11.6,15.5
2012,남자,C67,방광,2933,11.6,19.5
2012,남자,C70-C72,뇌 및 중추신경계,955,3.8,4.6
2012,남자,C73,갑상선,8199,32.6,34.7
2012,남자,C81,호지킨림프종,179,0.7,0.8
2012,남자,"C82-C86,C96",비호지킨림프종,2199,8.7,11.9
2012,남자,C90,다발성 골수종,707,2.8,4.3
2012,남자,C91-C95,백혈병,1623,6.4,8.3
2012,남자,Re.C00-C96,기타 암,7204,28.6,42.4
2012,여자,C00-C96,모든암,114243,454.1,505.8
2012,여자,C00-C14,"입술, 구강 및 인두",807,3.2,3.6
2012,여자,C15,식도,226,0.9,1.1
2012,여자,C16,위,10145,40.3,46.5
2012,여자,C18-C20,대장,11795,46.9,55.0
2012,여자,C22,간,4049,16.1,19.2
2012,여자,C23-C24,담낭 및 기타담도,2716,10.8,13.0
2012,여자,C25,췌장,2520,10.0,11.9
2012,여자,C32,후두,64,0.3,0.3
