의료기관기호,의료기관명,우편번호,주소,전화번호
1012424,홍정형외과의원,44209,울산 북구 신답로 35 (상안동),052-285-1100
1012425,의)환명의료재단조은금강병원,50880,경남 김해시 김해대로 1814-37 (삼계동),055-330-0319
1012430,보성의원,10029,경기 김포시 통진읍 김포대로 2347-19 (무의도한방병원),031-999-2222
1012433,휘담메디김포한방병원,10029,경기 김포시 통진읍 김포대로 2347-19 (무의도한방병원),031-999-2222
1012437,의료법인 그린한방병원,14582,"경기 부천시  부흥로303번길 36 금호프라자 3,4층 (중동)",032-327-6116
1012440,천안중앙병원,31109,"충남 천안시 서북구 동서대로 129-16 (성정동, MS빌딩 1-9층)",041-561-0245
1012447,토마토정형외과의원,27386,"충북 충주시 중앙로 67 신천지타운 1,2층 (충의동)",043-845-8654
1012448,가톨릭연합정형외과의원,42741,"대구광역시 달서구  월배로 379 (송현동) 1,4층",053-629-9119
1012450,늘푸른정형외과,11346,"경기 동두천시 지행로 59 2층,7층 (지행동)",031-862-8275
1012452,현대정형외과의원,17763,경기 평택시 지산로 62 (지산동),031-665-4119
1012459,광주희망병원,61019,"광주 북구 하서로 429 (용두동, 광주희망병원)",062-608-6006
1012466,대구연합정형외과의원,42409,"대구 남구 명덕로 140 1,3층 (대명동)",053-639-1119
1012469,자작나무한의원,47145,부산 부산진구 당감로 45 (당감동),051-893-9006
1012474,엠플러스병원,17006,"경기 용인시 기흥구 동백중앙로 265 엠프라자 8,9층 (중동)",031-285-6900
1012483,굿모닝정형외과의원,54992,전북 전주시 완산구 노송여울2길 100 (서노송동),063-273-0700
1012490,나사렛종합병원,42784,"대구광역시 달서구  월배로 97 (진천동, 나사렛종합병원)",053-212-3433
1012495,하나정형외과의원,54546,전라북도 익산시  하나로 445 (영등동),063-838-3601
1012498,김호일정형외과의원,46630,"부산 북구 시랑로 12 (구포동, 김호일정형외과)",051-342-3355
1012502,참미르 한의원,61071,광주 북구 하서로 356 1층 (양산동),062-576-7533
1012507,제천노인전문요양병원,27191,충북 제천시 북부로13길 94 (천남동),043-640-6000
1012508,부천우리병원,14466,"경기 부천시 오정구 소사로 726 (원종동, 부천우리병원)",032-672-4100
1012513,안산조은요양병원,15462,경기 안산시 단원구 광덕4로 180 3층 (고잔동),031-403-8312
1012515,장백한의원,50514,경남 양산시 소주회야1길 3 (소주동),055-362-2345
1012517,서울정형외과의원,61052,광주 북구 설죽로 338 일곡빌딩 2층 (오치동),062-433-3300
1012520,삼성제일외과의원,5063,"서울 광진구 뚝섬로 613 2,3층 (자양동)",02-458-8921
1012522,오창제일정형외과의원,28120,충북 청주시 청원구 오창읍 중심상업로 17 (오창프라자),043-241-5000
1012525,(복)성화 대전재활병원,34185,대전 유성구 문화원로146번길 7-24 (봉명동),042-717-7503
1012533,(의)푸른솔의료재단김해한솔요양병원,50924,"경남 김해시 김해대로 2379 (부원동, 김해한솔재활요양병원)",055-329-3340
1012538,진량정형외과의원,38486,경북 경산시 진량읍 다문로 65 ,053-856-7575
1012541,모아메디컬의원,22180,인천 미추홀구 인주대로 191 (용현동),032-876-3114
1012550,에스앤케이병원,35229,대전 서구 둔산북로 36 (둔산동),042-476-9000
1012559,방용석한의원,1852,서울 노원구 동일로 1101 하니빌딩 3층 (공릉동),02-975-1075
1012561,성민의원,15393,경기 안산시 단원구 중앙대로 457-1 2-3층 (원곡동),031-493-7572
1012564,서울삼성정형외과,10275,"경기 고양시 덕양구 고양동 240-8번지 2,3층",031-962-1515
1012566,강남수병원,5594,"서울 송파구 삼전로2길 3 (삼전동, 삼전로 2길 11)",02-421-7100
1012567,태릉마이크로의원,2039,서울 중랑구 동일로 872 지하1~6층 (묵동),02-970-0900
1012568,진연합의원,37335,경북 의성군 의성읍 문소3길 109 (의성시외버스터미널),054-832-7588
1012578,현정형외과의원,33467,"충남 보령시 중앙로 16 2층 (동대동, 현정형외과의원)",041-933-7588
1012585,굿모닝정형외과의원,1157,서울 강북구 도봉로 190 강북메디컬센터3층 (미아동),02-986-8411
1012588,연세정형외과의원,12804,경기 광주시 곤지암읍 곤지암로50번길 27 ,031-762-6058
1012611,서부정형외과의원,42482,"대구 남구 대명로 12 1~2층 (대명동, 서부정형외과)",053-657-1199
1012621,연세요양병원,26441,강원 원주시 남원로 631 (명륜동),033-765-5001
1012624,신세계정형외과의원,39887,경북 칠곡군 왜관읍 중앙로 242 ,054-976-6119
1012627,김기현정형외과의원,31981,충남 서산시 안견로 174 (동문동),041-668-0094
1012637,고명철정형외과,30028,세종 조치원읍 새내로 77 ,044-868-3414
1012646,효사랑가족요양병원,55054,"전북 전주시 완산구 용머리로 77 (효자동1가, 효사랑가족요양병원)",063-711-1114
1012647,안동용상병원,36715,경북 안동시 전거리길 57 (용상동),054-820-1159
1012649,무룹병원,51264,경남 창원시 마산합포구 3·15대로 243 (중앙동3가),055-246-7300
1012652,조앤조병원,2177,서울 중랑구 망우로 474 (망우동),02-433-3336
1012663,바른신경외과의원,21323,"인천 부평구 평천로 402 2,3,4층 (삼산동)",032-523-7585
1012669,본앤본정형외과의원,7574,서울 강서구 공항대로43길 123 송원빌딩3층 (등촌동),02-3663-9208
1012670,순천미르치과의원,57967,전남 순천시 연향번영길 118 (연향동),061-729-7091
1012675,강북가톨릭정형외과의원,41447,대구 북구 칠곡중앙대로 427 (관음동),053-327-1199
1012679,센트로신경외과정형외과의원,14473,경기 부천시 오정구 소사로 694 2층 (원종동),032-675-0030
1012681,의료법인 대전병원,34380,대전 대덕구 대전로 1215 (오정동),042-625-0700
1012686,대송의료재단 곡성사랑병원,57540,전남 곡성군 곡성읍 곡성로 761 ,061-360-6000
1012689,익산제일병원,54604,전북 익산시 평동로 665 (인화동1가),063-840-2305
1012692,원광대학교치과대학대전치과병원,35233,대전 서구 둔산로 77 (둔산동),042-366-1110
1012694,한마음의원,5043,서울 광진구 자양로 126 성지하이츠빌딩 301호 (구의동),02-455-2264
1012696,모두병원,21667,인천 남동구 논고개로 88 (논현동),032-430-0904
1012699,강남루덴플러스치과의원,6134,서울 강남구 테헤란로 115 2층 (역삼동),02-2051-2875
1012706,안암정형외과의원,2578,"서울 동대문구 무학로 197 2층 (용두동, 안암빌딩)",02-926-5311
1012715,방촌동산정형외과의원,41162,대구 동구 동촌로 238 (방촌동),053-986-6911
1012716,한양 재활의학과의원,6921,서울 동작구 상도로 247 (상도동),02-817-8131
1012719,형곡정형외과,39294,경북 구미시 형곡중앙로 53-1 (형곡동),054-451-5119
1012720,백선열정형외과,22186,인천 미추홀구 아암대로 93 (용현동),032-891-0119
1012732,강남병원,57794,전남 광양시 중마중앙로 17 (중동),061-818-7579
1012738,MS재건병원,41905,"대구 중구 동덕로 194 (동인동1가, 동화빌딩)",053-653-0119
1012741,해남우리종합병원,59021,전남 해남군 옥천면 해남로 597 (해남우리종합병원),061-530-7007
1012745,김해굿모닝병원,50928,경남 김해시 분성로 444 (삼정동),055-335-0300
1012747,장성혜원병원,57221,전남 장성군 장성읍 강변안길 22 (장성혜원병원),061-399-3013
1012749,서울아산이비인후과의원,51504,"경남 창원시 성산구 상남로 73 8,9층 (상남동)",055-282-2800
1012753,(의)청십자의료재단행복한병원,47318,부산 부산진구 봉수로 18 (전포동),051-757-5119
1012756,의료법인정애의료재단 서울초이스병원,5520,서울 송파구 올림픽로 579 (풍납동),02-473-0620
1012758,하정한 정형외과의원,7055,서울 동작구 대방동 405-11,02-812-2211
1012765,연세한의원,54511,전북 익산시 함열읍 함열3길 4 (주택),063-862-7582
1012766,동두천중앙성모병원,11326,경기 동두천시 동광로 53 1.2층 (생연동),031-863-0550
1012769,명문정형외과의원,42090,대구 수성구 달구벌대로 2578 (만촌동),053-741-2520
1012778,서울우리정형외과의원,2088,서울 중랑구 동일로 786 (중화동),02-438-4500
1012780,새론정형외과의원,15856,"경기 군포시 고산로264번길 13 (당동, 그린프라자 5층)",031-393-0075
1012782,동명병원,61435,"광주 동구 동명로70번길 5 (동명동, 동명병원)",062-652-4511
1012785,의료법인영제의료재단 영남제일병원,37312,경북 의성군 안계면 용기4길 36 ,054-861-9111
1012789,운암한국병원,61266,"광주 북구 북문대로 191 (운암동,한국병원)",062-608-8111
1012802,건양대학교부여병원,33169,충남 부여군 부여읍 계백로 200 (건양대부여병원),041-837-1200(1)
1012813,하나외과의원,34198,"대전 유성구 월드컵대로316번길 64 1층 (상대동, 하나크리닉)",042-823-5090
1012814,서울의원,15521,경기 안산시 상록구 건건3길 5 (건건동),031-437-9437
1012820,미르치과병원,37755,경북 포항시 북구 포스코대로 288 (죽도동),054-277-2800
1012825,본정형외과의원,17753,경기 평택시 탄현로 337 (신장동),031-666-8267
1012829,삼성정형외과의원,14580,경기 부천시 원미구 조마루로285번길 34 이스트타워 3층 (중동),032-326-9001
1012830,의료법인 의향의료재단 그린의원,14582,경기 부천시 원미구 부흥로303번길 36 금호프라자 3층 (중동),032-327-6116
1012845,한양정형외과의원,16286,경기 수원시 장안구 조원로 73-1 (조원동),031-243-1075
1012847,예함정형외과의원,49494,부산 사하구 다대로 576 (다대동),051-266-1400
1012849,포근한병원,1128,서울 강북구 도봉로 266 (미아동),02-986-9988
1012851,삼성정형외과의원,42681,대구 달서구 구마로 197 (성당동),053-622-8275
1012863,최일규정형외과의원,2418,서울 동대문구 이문로 128 (이문동),02-959-8312
1012870,삼성정형외과의원,8554,서울 금천구 독산로 290 (독산동),02-858-3307
1012872,논현메디칼,21636,"인천 남동구 남동대로370번길 113 2층 (논현동, 우진프라자)",032-446-9700
1012877,본정형외과의원,15056,경기 시흥시 봉우재로 13 (정왕동),031-432-7575
1012883,금촌치과의원,10929,경기 파주시 명동길 75 (금촌동),031-945-8275
1012887,의료법인 본플러스재단 분당병원,13558,경기 성남시 분당구 정자로 13 801호 (정자동),031-714-0141
1012890,(의)영문의료재단 다보스병원,17063,"경기 용인시 처인구 백옥대로1082번길 18 (김량장동, 다보스종합병원)",031-8021-2115
1012893,광주새우리병원,61978,광주 서구 군분2로 8 (화정동),062-603-8007
1012897,덕신정형외과의원,45006,울산 울주군 온산읍 덕남로 31 덕신정형외과의원,052-237-2281
1012898,밀양병원,50434,경남 밀양시 밀양대로 1823 (삼문동),055-351-3993
1012903,경기도의료원 파주병원,10922,경기 파주시 중앙로 207 (금촌동),031-940-9100
1012917,연세밝은미소치과의원,2604,서울 동대문구 천호대로 307 3층 (답십리동),02-6219-2875
1012920,아카시아병원,8579,서울 금천구 시흥대로114길 5 (독산동),02-852-0067
1012921,서민정형외과의원,48528,부산 남구 용호로 132-1 (용호동),051-621-7890
1012928,경북한의원,34411,대전 대덕구 계족산로 1 (중리동),042-632-7600
1012930,에이치요양병원,61219,광주 북구 서암대로 187 (신안동),062-510-2001
1012931,한빛영상의학과의원,5408,"서울 강동구 양재대로 1303 6층 (성내동, 평원빌딩)",02-472-0082
1012933,한마음요양병원,14963,경기 시흥시 월곶해안로 97 (월곶동),031-317-6400
1012939,미래한국병원,31526,충남 아산시 번영로230번길 13 (모종동),041-545-6114
1012940,사과나무치과의원,17936,경기 평택시 안중읍 안중로 132 ,031-683-7575
1012941,금강한의원,28145,충북 청주시 청원구 내수읍 마산리 197-78,043-213-8275
1012952,황금철신경외과,10381,경기 고양시 일산서구 중앙로 1564 (대화동),031-914-0070
1012953,포항재활의학병원,37754,경북 포항시 북구 포스코대로 271-1 (죽도동),054-272-7582
1012960,본정형외과의원,35012,대전 중구 보문산로 61 (산성동),042-587-8275
1012965,서울특별시립동부병원,2584,서울 동대문구 무학로 124 (용두동),02-920-9335
1012969,원치과의원,3499,서울 은평구 증산로 305 2층 (증산동),02-376-7007
1012982,마디편한정형외과의원,42088,대구 수성구 달구벌대로 2512 (범어동),053-743-0088
1012986,구리치과,11922,경기 구리시 경춘로 239 리맥스 5층 (인창동),031-568-2875
1012990,광양사랑병원,57788,"전남 광양시 공영로 71 (중동, 사랑병원)",061-797-7815
1012993,송재정형외과,34973,대전 중구 계백로 1592 (유천동),042-583-2500
1012994,안민의료재단 안성동인병원,17583,경기 안성시 인지1길 9 (인지동),031-677-0300
1012995,강화병원(의료법인해인의료재단),23025,인천 강화군 강화읍 강화대로312번길 11 (강화병원),032-930-8150
1013004,오창중앙병원,28125,충북 청주시 청원구 오창읍 중부로 683 ,043-218-0119
1013005,삼성정형외과의원,51236,경남 창원시 마산회원구 내서읍 삼계4길 34 (등산아웃도어),055-231-0008
1013009,연세기쁨정형외과,14493,경기 부천시 오정구 신흥로 379 (내동),032-675-1151
1013018,뉴스타트병원,5707,서울 송파구 송이로 76 (가락동),02-407-7700
1013030,이성우치과의원,41558,대구 북구 팔달로 179 (노원동2가),053-357-9889
1013033,경기도노인전문동두천병원,11322,"경기 동두천시 탑신로 536 (탑동동, 경기도동두천노인전문병원)",031-860-4133
1013041,누가의원,21318,인천 부평구 후정동로 21 2층 (삼산동),032-362-7582
1013046,의료법인백세의료재단 실로암사랑요양병원,54629,전북 익산시 선화로 389 (영등동),063-830-6000
1013051,오창본메디신경외과의원,28120,충북 청주시 청원구 오창읍 중심상업로 7 오창프라자1 3층,043-241-4114
1013058,라파엘요양병원,32930,충남 논산시 강경읍 대흥로 45-1 ,041-745-6771
1013065,굿모닝신경외과의원,12756,"경기 광주시 광주대로55번길 21 (경안동, 디에이치타워 4층)",031-763-7272
1013072,연합신경외과의원,32937,충남 논산시 강경읍 계백로153번길 5 ,041-745-0119
1013076,송효의료재단 효산요양병원,42140,대구 수성구 동대구로 245 (범어동),053-766-2114
1013085,차정형외과의원,50598,"경남 양산시 물금읍 황산로 643 2,3층 (가비부동산)",055-388-7582
1013086,중동서울정형외과,16988,경기 용인시 기흥구 언동로217번길 1 (중동),031-287-0770
1013087,석적영남정형외과의원,39839,경북 칠곡군 석적읍 북중리3길 33 (석적영남정형외과의원),054-976-8275
1013090,유일정형외과의원,413200,경기 파주시 야당동 NG-5 홍원프라자 403호,031-8071-3075
1013094,자연그린한방병원,62328,광주 광산구 사암로 396 (월곡동),062-952-3366
1013097,의료법인주은복지의료재단 주은라파스요양병원,32611,충남 공주시 탄천면 효자길 100 (주은요양병원),041-854-6701
1013102,안산시립노인전문병원,15585,"경기 안산시 상록구 차돌배기로 24 (사동, 안산시립노인전문병원)",031-8040-5114
1013106,이지의원,14202,경기 광명시 광명3동 158-189 솔목타워 8층,02-2686-2784
1013109,센트럴병원,15079,경기 시흥시 공단1대로 237 (정왕동),031-8041-3962
1013114,부경영상의학과의원,46567,부산 북구 만덕대로 54 5층 (덕천동),051-365-0086
1013124,고려한사랑정형외과의원,8247,서울 구로구 고척로27길 7 (개봉동),02-2612-5115
1013126,(의)경빈의료재단 김해센텀병원,50948,경남 김해시 구지로 56 (내동),055-330-9100
1013136,(의료법인)(의료법인)이루의료재단임실병원,55927,전북 임실군 임실읍 운수로 15 (임실병원),063-640-8888
1013140,성모정형외과마취통증의학과 의원,34849,대전 중구 동서대로 1388 (목동),042-223-3375
1013142,미래영상의학과의원,47877,부산 동래구 충렬대로238번길 7 상가 611호 (수안동),051-553-0036
1013148,의료법인 상보의료재단 경상병원,42659,대구 달서구 달구벌대로 1762 (두류동),053-620-7304
1013149,신세계영상의학과의원,42646,대구 달서구 달구벌대로 1740 (두류동),053-621-0100
1013151,도신경외과의원,54928,전북 전주시 덕진구 안덕원로 139 (진북동),063-273-0007
1013155,고려정형외과의원(서천),33647,충남 서천군 서천읍 충절로 50 (고려정형외과의원),041-951-9595
1013159,북구우리들병원,61198,광주 북구 동문대로 84 (두암동),062-260-8000
1013164,푸른정형외과의원,33471,충남 보령시 명천중앙길 8 104호 (명천동),041-931-2387
1013175,초이스병원,16531,경기 수원시 영통구 중부대로 268 (매탄동),031-216-8275
1013187,광주동림병원,61903,광주 서구 하남대로 686 (동천동),062-510-6000
1013192,현대영상의학과의원,7072,서울 동작구 신대방1가길 38 105동 301호 (신대방동),02-3289-1515
1013196,연세나은요양병원,18577,경기 화성시 팔탄면 버들로 1576 (연세 나은 병원),031-350-0001
1013200,왕십리정형외과의원,4715,"서울 성동구 왕십리로 311 (행당동, 이경영정형외과)",02-2299-1337
1013211,제일영상의학과의원,31123,"충청남도 천안시 동남구 충절로 6 (신부동, 동아빌딩 5층)",041-553-9600
1013215,의)동원의료재단 동강한방병원,44691,울산 남구 돋질로 80 (달동),052-241-3720
1013219,목감정형외과의원,14984,경기 시흥시 동서로 1106 (목감동),031-480-0911
1013225,구미강동병원,39399,경북 구미시 인동20길 46 (진평동),054-478-9561
1013233,본정형외과의원,48227,부산 수영구 수영로725번길 4 (수영동),051-752-1700
1013235,우리병원,16480,경기 수원시 팔달구 경수대로 419 (인계동),031-211-1700
1013244,고려정형외과,55772,전북 남원시 용성로 100 (죽항동),063-634-5119
1013250,(의료법인)(의료법인)삼백의료재단상주성모병원,37179,경북 상주시 냉림서성길 7 (냉림동),054-530-7812
1013251,울산영상의학과의원,44719,울산 남구 삼산로 266 6층 (삼산동),052-276-2450
1013254,미추홀병원,21555,"인천 남동구 남동대로799번길 25 구월동 1층~7층 전부 (구월동, 대흥빌딩)",032-430-6273
1013257,논현연세정형외과,21666,인천 남동구 논고개로 114 6층 (논현동),032-423-7117
1013266,미래영상의학과의원,54637,전북 익산시 무왕로 1074 (영등동),063-836-3737
1013272,경일신경과내과의원,42660,대구 달서구 달구벌대로 1814 (두류동),053-652-2525
1013273,지인마취통증의학과의원,1099,"서울 강북구 삼양로 319 (수유동, 지인통증빌딩 지하1, 2~5층)",02-986-9669
1013274,서울영상의학과의원,35261,대전 서구 문정로 30 (탄방동),042-472-7501
1013277,박경석신경외과의원,33145,충남 부여군 부여읍 성왕로 192 ,041-833-8370
1013278,늘사랑 치과의원,42030,대구 수성구 달구벌대로 2501 옥산빌딩 3층 (범어동),053-751-2825
1013280,K마디병원(의료법인 백산의료재단),41558,대구 북구 팔달로 217 (노원동2가),053-341-0119
1013285,(의)염광의료재단세광병원,51679,경남 창원시 진해구 중원동로 55-1 (중앙동),055-540-3700
1013290,연세정형외과의원,17895,경기 평택시 평택1로 48 (비전동),031-618-8302
1013294,신관연합정형외과의원,32581,충남 공주시 번영1로 130 201호 (신관동),041-854-0075
1013297,(의료법인)진의료재단 순천평화병원,58028,전남 순천시 양율길 180 (대룡동),061-750-1120
1013303,루아한의원,7235,"서울특별시 영등포구  여의공원로 13 (여의도동, 한국방송공사) 누리동 3층",02-761-2618
1013315,효경지요양병원,41241,대구 동구 화랑로 157 (효목동),053-746-3232
1013318,서 요양병원,38616,경북 경산시 계양로 193 (계양동),053-811-7000
1013319,노은정형외과의원,34086,대전 유성구 노은로 170 B L 401호~406호 (지족동),042-826-8271
1013326,온누리치과의원,49493,부산 사하구 윤공단로 144 1층 (다대동),051-262-7528
1013329,현대영상의학과의원,54899,"전북 전주시 덕진구 백제대로 631 (금암동, 현대영상의학과)",063-272-3323
1013332,탑동병원,63165,제주 제주시 탑동로 26 홍해빌딩 (삼도이동),064-754-1001
1013335,늘빛영상의학과의원,47814,"부산 동래구 명륜로 106 , 3,4층 (명륜동, 혜준빌딩)",051-555-3119
1013341,미소사랑치과의원,2038,서울 중랑구 동일로 890 5층 (묵동),02-976-2875
1013344,답십리연세정형외과의원,2621,서울 동대문구 전농로 24 3층 (답십리동),02-2215-6753
1013347,허리편한병원,17564,경기 안성시 공도읍 진건중길 9 ,031-656-2110
1013348,정병원,26410,강원 원주시 원문로 141 (단계동),033-733-9988
1013356,심중섭방사선과의원,13992,경기 안양시 만안구 안양로 316 본프라자 405호 (안양동),031-442-1865
1013361,새우리남산병원,46224,부산 금정구 중앙대로 2025 (남산동),051-516-9999
1013363,행복한병원,50460,경남 밀양시 하남읍 수산중앙로 56-2 ,055-391-0090
1013364,새서울연합의원,1625,서울 노원구 동일로 1678 (상계동),02-930-5858
1013369,이병택정형외과의원,14066,경기 안양시 동안구 관평로170번길 43 2층 (관양동),031-386-7579
1013373,한마음정형외과의원,31127,충남 천안시 동남구 충절로 116 (원성동),041-562-0777
1013374,새로나병원,31068,충남 천안시 동남구 향교1길 130-23 (유량동),041-520-7010
1013383,장동욱 병원,15434,"경기 안산시 단원구 동산로 60 (원시동, 반월공단종합상가)",031-493-2119
1013385,의료법인 우리들병원,7505,서울 강서구 하늘길 70 (과해동),02-2660-7518
1013412,강북성심요양병원,10518,경기 고양시덕양구 행신동 996-2,031-978-1122
1013413,경희요양병원,51264,경남 창원시 마산합포구 3·15대로 243 금강펠렉스타운7층-11층 (중앙동3가),055-245-9988
1013428,장윤석정형외과의원,50948,경남 김해시 내외로 79 6층 (내동),055-329-8787
1013430,참서울의원,13345,경기 성남시 수정구 산성대로 207 에드모스빌딩4층 (신흥동),031-734-3500
1013433,휴앤유병원,14736,경기 부천시 소사구 심곡로10번길 63 (송내동),032-202-0114
1013437,순천제일병원,57968,전남 순천시 기적의도서관1길 3 (조례동),061-720-3427
1013438,행복한의원,59743,전남 여수시 동문로 100 (공화동),061-665-8275
1013439,서울영상의학과의원,6173,"서울 강남구 영동대로96길 34 지하1층 (삼성동, 대윤빌딩)",02-508-8778
1013441,굿모닝정형외과연합의원,38881,경북 영천시 금호읍 금호로 78 ,054-338-8000
1013457,금산송외과의원,32737,충남 금산군 금산읍 후곤천길 58 (금산송외과의원),041-754-7552
1013460,에스엠영상의학과의원,41940,"대구 중구 공평로 16 (삼덕동2가, 5~13층)",053-420-1100
1013470,가톨릭대학교서울성모병원,6591,서울 서초구 반포대로 222 (반포동),02-2258-2383
1013471,연세대의대세브란스병원,3722,서울 서대문구 연세로 50-1 원무팀 (신촌동),02-2228-7212
1013472,서울아산병원,5505,서울 송파구 올림픽로43길 88 (풍납동),
1013473,서울대학교병원,3080,"서울 종로구 대학로 101 (명륜4가, 서울대학교병원 대한외래 지하2층 외래원무과)",02-2072-2071
1013477,(사)삼성생명공익재단삼성서울병원,135839,서울 강남구 일원로 81 (일원동),02-3410-3274
1013494,목포정형외과의원,58663,전남 목포시 하당로 278 (옥암동),061-282-0022
1013503,아카시아신경외과의원,11946,경기 구리시 이문안로 140 (토평동),031-569-7542
1013509,(의)상원의료재단 부평힘찬병원,21399,"인천 부평구 장제로 78 (부평동, 부평힘찬병원)",032-363-9121
1013511,서울재활병원,3428,서울 은평구 갈현로11길 30 (구산동),02-6020-3010
1013512,방대홍영상의학과의원,1762,서울 노원구 동일로 1379 다모아빌딩 4층 (상계동),02-931-6000
1013516,브래덤병원,21558,인천 남동구 예술로192번길 36 (구월동),032-456-7600
1013517,세명영상의학과의원,39254,경북 구미시 구미대로 312 (신평동),054-461-1500
1013533,논현우리정형외과,21653,인천 남동구 청능대로 583 중앙프라자 5층 (논현동),032-435-1175
1013547,율하경대연합정형외과,41102,"대구 동구 율하동로 46 (율하동, 1층, 2층, 4층)",053-961-9119
1013549,참좋은정형외과의원,41557,대구 북구 팔달로 135 (노원동3가),053-357-4975
1013552,필외과의원,16240,"경기 수원시 팔달구 팔달문로 156-1 (우만동, 남양빌딩 2층)",031-217-7582
1013555,의료법인 사랑나무의료재단 서수원요양병원,16642,"경기 수원시 권선구 오목천로152번길 68 3,4,5층 (고색동)",031-221-2222
1013556,울들병원,44690,울산광역시 남구  중앙로 228 (신정동),052-706-1111
1013560,통영신경외과의원,53037,경남 통영시 안개로 45-10 (무전동),055-641-5551
1013571,화성중앙종합병원,18592,경기 화성시 향남읍 발안로 5 ,031-371-8057
1013577,서대구방사선과의원,41870,대구 서구 달구벌대로 1895 (내당동),053-555-6008
1013582,스마일영상의학과의원,3636,"서울 서대문구 통일로 451 (홍제동, 홍제빌딩)",02-396-3996
1013585,허창재치과의원,27173,충북 제천시 독순로 79 (중앙로2가),043-648-7575
1013587,계현정형외과,17874,경기 평택시 중앙로 296 (합정동),031-618-6600
1013592,목포미래병원,58606,전남 목포시 녹색로 41 (석현동),061-800-1145
1013599,사과나무치과병원,46525,부산 북구 금곡대로303번길 2 5층 (화명동),051-362-2804
1013606,양평효노인전문병원,12521,경기 양평군 용문면 다문북길 12 ,031-771-6545
1013612,일산튼튼정형외과,10386,경기 고양시일산서구 주엽동 102 BYC빌딩 3층 301호,031-924-5252
1013614,의료법인영재의료재단 큰솔병원,47050,부산 사상구 대동로 141 (학장동),051-325-9700
1013626,평화연합정형외과,41207,대구 동구 아양로 40 (신암동),053-955-9119
1013629,나은병원,54634,전북 익산시 무왕로 1004 (영등동),063-859-7778
1013635,혜화영상의학과의원,3073,서울 종로구 창경궁로 233 (명륜4가),02-766-6117
1013640,가톨릭병원,35301,대전 서구 도산로 351 B L (용문동),042-537-0222
1013643,새통영병원,53034,"경남 통영시 무전7길 192 (무전동, 새통영병원)",055-640-4132
1013648,서울조인스정형외과,35265,"대전 서구 대덕대로 164 (2층일부,7층일부) (갈마동)",042-538-2543
1013651,수원영상의학과의원,16531,경기 수원시 영통구 중부대로 268 3층 (매탄동),031-214-6565
1013654,푸른정형외과의원,8859,서울 관악구 난곡로 107 (신림동),02-858-5095
1013657,천안세인트요양병원,31192,충남 천안시 동남구 구성2길 11 (구성동),041-552-0700
1013659,이천정형외과의원,17374,경기 이천시 중리천로82번길 25 (중리동),031-632-7525
1013662,삼성정형외과의원,11730,경기 의정부시 발곡로 34 장암프라자2층 (신곡동),031-826-0093
1013665,메트로병원,51370,"경남 창원시 의창구 평산로219번길 3 (서상동, 메트로병원)",055-259-7786
1013666,의료법인현백의료재단사상고려병원,46954,부산 사상구 사상로 282 (덕포동),051-301-
1013672,효성사랑정형외과의원,21109,인천 계양구 안남로 512 대신증권3층 (효성동),032-555-8275
1013674,체담한방병원,46548,"부산 북구 만덕대로 23 (덕천동, 폴라렉스(뉴코아아울렛, 11층/12층))",051-753-1500
1013676,의료법인 일산복음의료재단,10355,경기 고양시 일산동구 고양대로 760 (중산동),031-929-0476
1013681,굿모닝신경외과,28413,"충북 청주시 흥덕구 가경로 9-19 201,202 (가경동)",043-239-7533
1013686,열린외과의원,33466,충남 보령시 목장3길 10 대영B/D 2층 (대천동),041-931-8700
1013688,센텀척신경외과의원,48060,부산 해운대구 센텀2로 15 센텀브라인빌딩 501호901호 (우동),051-743-1300
1013696,고려정형외과의원,21420,인천 부평구 동수로 184 (부개동),032-511-7582
1013697,제일연합신경외과,38456,경북 경산시 진량읍 공단로 496 ,053-852-6699
1013704,의료법인길정의료재단대남병원,47055,부산 사상구 학감대로39번길 116 (학장동),051-320-6325
1013706,조원석치과의원,31514,"충남 아산시 충무로 14 (온천동, 양재우정형외과)",041-547-0007
1013714,서울제일병원,17936,경기 평택시 안중읍 안현로 429 1층 (서울제일병원),031-686-7273
1013715,허리나은병원,5375,서울 강동구 양재대로 1415 (성내동),02-472-0114
1013720,보문정형외과의원,46230,부산 금정구 중앙대로 1933 (구서동),051-581-0012
1013730,루덴치과,7591,"서울 강서구 공항대로 287 (등촌동, 화인빌딩 7층)",02-2668-4477
1013738,성당연합정형외과,42669,대구 달서구 성당로 195 B L (성당동),053-625-9119
1013741,연세남부정형외과,26443,"강원 원주시 치악로 1788 연세남부정형외과(개운동, 개운새마을금고)",033-761-9128
1013747,현대병원,38143,경북 경주시 화랑로 51 (성건동),054-745-8118
1013749,의료법인정산의료재단 효성병원,28736,충북 청주시 상당구 쇠내로 16 (금천동),043-221-5000
1013751,소망한의원,41462,대구 북구 칠곡중앙대로 324 (태전동),053-314-9972
1013754,장현대치과의원,1631,서울 노원구 수락산로 190 희락아파트상가 202호 (상계동),02-951-2825
1013758,에이스가정의원,21376,인천 부평구 마장로242번길 5 (산곡동),032-507-2140
1013778,학)동은학원순천향대학교부속천안병원,31151,"충남 천안시 동남구 순천향6길 31 (봉명동, 순천향대학교병원)",041-570-2040
1013780,동아영상의학과의원,34552,대전 동구 계족로 420 (용전동),042-624-0405
